codice,progetto,istituzione
2022BcEY22,Coping with multiple crises: Youth between individualization and cooperation inMilan and Naples,Università degli studi di MILANO
2022C7PR32,PLACES - PORTRAITs AND LANDSCAPES OF ACADEMIC COMMUNITYENGAGEMENT SCHOLARSHIP,Università degli studi di SASSARI
2022E2RB3H,"Usurious activity, patrimonialisation and recycling of profits. Distorting effects inthe economic and social context in the medium and long term.",Università degli studi delMOLISE
2022E4C3YK,Labour in transition: job-skills development and firm innovation competencies,Università degli Studi di PADOVA
2022E9MLs5,To Be Present: parental phubbing implications on childrens lives. How canparents smartphone overuse decrease? An awareness-raising project on the risks of phubbingand on the importance of reciprocity in parental relations.,Università degli studi di CAGLIARI
2022E9YKYZ,Deviant behaviors and violence in young people after CovID-19: sign of the timesor consequence of the pandemic?,Università degli Sstudi di SIENA
2022EL4MPH,Working for INclusion. The well-being of sexual minority people: Neurophysiological and Behavioral mechanisms (WiN-NB),Università degli studi di ROMA La Sapienza
2022EP5M3B,ECHOES - Epistemic Communities in Healthcare and prOfessional ExpertiSe. The case of early home care network during COVID pandemic in Italy,Università degli studi di BERGAMO
2022EYX28N,Big Sistah — Quantifying the wellbeing of multilingual remote workers in real-time,Università degli studi di BOLOGNA
2022F2TWKY,TRAMIGRART From “places of violence to spaces of memory: the role ofartistic practices in the inscription of forced migration as cultural trauma in the public discourse,Università degli studi ROMATRE
2022F3KA2N,School needs and service delivery models in school psychology. A mixed methodsstudy.,Università degli studi di BOLOGNA
2022F5EZ43,D.A.N.T.E.-U. Design Accessibiity Network to Enjoy University.Design and Implementation of UDL-based university teachers Training online Platform,Università del SALENTO
2022F74XBL,Active Online Assessment in Higher Education (AcOnHE),Università Telematica E-CAMPUS
2022H2CFLZ,Datafication and Citizenship: the case of Public Administrations in Italy,Università degli studi di Napoli Federico II
2022H4RAYW,Social representations of cyber-violence against women and girls: advancingknowledge on an under-conceptualized issue,Università degli studi di BOLOGNA
2022HH4xNP,Aloud! Reading aloud to stop the decline of reading literacy in the secondaryschools (middle school).Subtitle: Read aloud to prevent early school leaving and promote equity of learningopportunities. A contribution from educational research to the rebirth and resilience of thecountry.,Università degli studi di PERUGIA
2022HKAc59,The school as a democratic learning environment: promoting a whole-schoolapproach to civic and citizenship education in the first cycle of instruction,Università degli Studi di BOLOGNA
2022HMCJPH,Family Caregivers and Alzheimer: Promoting Engagement and Community Care inthe Post-Pandemic Society,Università degli studi di BOLOGNA
2022HN5FZ,Fostering the Right to Equality in Education (FREE): Mental health and academicachievement among LGBTQl+ university students,Università degli studi ROMATRE
2022HRFH2C,"Teen-agers and sustainable food (TAsF): how teen-agers conceive, practice andenact sustainable food consumption in the Italian context.",Università degli studi di MILANO-BICOCCA
2022HX2LZ,"REady, SeT, wOrk (RESTO): promoting graduates employability andentrepreneurial skills",Università degli studi della Campania Luigi Vanvitelli
2022HXLH47,"STEMMA - Science, Technology, Engineering and Math Motivation & Accessibility",Università degli studi di ROMA La Sapienza
2022HZ4N3H,Fandom democracy? Celebrity and new forms of citizens engagement,Università degli studi di BERGAMO
2022J3cxWT,An online community of relationship-centred university educational innovation,Università degli studi di MILANO
2022J9FXZM,FORWOMEN- FOsteRing WOMens necessity ENtrepreneurship,Università Cattolica delSacro Cuore
2022JF3LC5,"Attributions, Perceptions, and Practices of Political Incivility in Europe (APP_PIE)",Università degli studi di ROMA La Sapienza
2022JcFTxW,"(Citizen) Engagement for climate change and environmental sustainability: (howdoes it work/change) online, offline or onsite? (E-CLIc)",Università degli Studi di BOLOGNA
2022K479M8,Severe forms of labour exploitation in shipbuilding and tourism industry,Università degli studi di PADOVA
2022K7JAMP,DYNOSOR: DYnamics of SOcial NOrms under collective Risk,Università degli studi di BOLOGNA
2022K7YFCN,"Forgetfulness, between rights, duties and technological possibilities",Università degli studi di BOLOGNA
2022K8NPZR,"Active Labor Policies, North-South Gaps and Crisis Areas. New Programmes forTerritorial Development, Transitions and the Labor Market: the Role of Public Actors and theSocial Partners",Università degli studi di CATANIA
2022K9RP5Y,Social and Spatial Inequalities Under Pressure (So Spln UP).Individual Life Courses in context during the Covid-19 Pandemic.,Università degli studi di MILANO-BICOCCA
2022KRTPZP,"Profiling traditional, episodic, and online volunteering: pathways from civicengagement to local collaborative networks",Università degli studi di Napoli Federico II
2022LB3WKL,"Water management and environmental change in Central Asia: politics, societyand transnational connections (1948-2020s)",Università degli studi di PADOVA
2022LF9LAS,Developing inclusive societies: The role of valence and intensity of offine andonline interethnic contact,Università degli studi di BOLOGNA
2022LRH5XY,"Digital practices, Gender, and Intimacy in Teens everyday life. (Di.G.1.T.)",Università degli studi di PADOVA
2022LTZXNA,Reconsidering Graduate Employability: Educational Pathways for Transitions toWork,Università degli Studi di FIRENZE
2022LWYSYL,Stem in Higher Education & Women INequalities SHE WINs,Università degli Studi di NAPOLI Parthenope
2022M8R7CA,NAVIGATING RETURNS: West African Experiences of Difficult Homecoming(NADIHO),Università degli studi di MILANO-BICOCCA
2022MBPWH7,"Indoor and outdoor school environment impact on students cognition, affect,socialization, and well-being",Università degli studi di ROMA La Sapienza
2022MCAA2T,Share_Div: Unveiling the social lives of shared housing between strangers in Italy,Università degli studi di TRENTO
2022MY3W9P,NUEcity: Mapping and Critically Assessing New Urban Economies in ThreeMetropolitan Areas,Università degli studi di BOLOGNA
2022MsL3AY,Methods for the analysis of scientific collaboration networks,Università degli studi di TRIESTE
2022NEP5BC,Unraveling school segregation causes and effects towards an Italian urban model,Università degli studi di BOLOGNA
2022NP4FNB,GeNoMa Violence.,Università degli studi di GENOVA
2022NPTNEZ,URBAN GOVERNANCE OF RELIGIOUS DIVERSITY - GoVREL,Università degli studi di PADOVA
2022PAXZ5J,Contrasting Violence against LGBTQl+ people: towards innovation of territorialpolicies,Università degli Studi di PALERMO
2022PX2RAR,"Food MeaSure: Poverty, Vulnerable individuals and Sustainable Diets - Newperspectives on Official Statistical data",Università degli studi della TUSCIA
2022RAYR4H,Young Carers in Italy. A study to design new social work practices and welfarepolicies.,Università Cattolica delSacro Cuore
2022RLTNH3,Care and control of service users: organizational learning and professional practices of social workers in the first and second-level access to social services,Università degli studi di MILANO-BICOCCA
2022RZ7PRM,SEVeso - Support Eco-Victims: strategies and tools for supporting rights andcompensation of environmental harms victims,Università degli studi di BOLOGNA
2022TWcJAS,Coming to terms not only with the pandemic.Mathematics learning loss in primary school: underlying factors and interventions,Università degli Studi di MILANO-BICOCCA
2022TcKFYE,Sociology of Taste. Knowledge and judgment in taste-professions,Università degli studi di TRENTO
2022W2L3LT,"Maternal guilt: Measurement, correlates, and policy solutions in the Italiancontext (MatGuilt)",Università degli studi di MILANO
2022W3Nc33,CHECK OUT - Cultural heritage and educating communities. Training competences and professionalism for a new urban welfare,Università degli studi di Napoli Federico II
2022WB2s72,Giving Birth with Care. Conceptions of maternity and professional ethics inobstetrics and gynecology for the prevention of obstetric violence,Università del SALENTO
2022WY5Z7P,SOCIAL WORK AND SUSTAINABLE LOCAL DEVELOPMENT IN ITALY: TOWARDSECOSOCIAL WORK? (ECOSOW),Università degli studi di TRENTO
2022WYEW47,"MIsperceptions, information disorder and polarisation between MEdia andpolitical SYStems (MiMesys)",Università degli studi di MILANO
2022Wc8J4,Fostering text comprehension as a Way to make learning and thinking visible,Università degli studi di  MODENA e REGGIO EMILIA
2022X44WX4,Human connections in the Digital Era (CONNECT),Università degli studi di MILANO-BICOCCA
2022XFX3EN,"Di.Co.EACH. - Digital competence in Early Childhood: educating parents andteachers in conscious, critical and creative uses of digital media",Università degli studi di FIRENZE
2022XLc85S,CITYBLE - Developing Two-Sided Citizen Analytics for the Sustainable DigitalSociety,Università degli studi di FERRARA
2022XSS48C,Attitudes towards End-of-Life ISsues in Italy: the ELISI project,Università degli studi di BOLOGNA
2022YRJ83A,Feedback culture: assessing the effects of algorithmic recommendations onplatformized consumption - ALGOFEED,Università degli Studi di MILANO
2022YXHTK4,"Local regimes of poverty: A systematic comparison of poverty determinants inMilan, Rome and Naples.",Università degli studi di MILANO-BICOCCA
2022Z2T23H,Migrant Digital Work (MiDi Work),Università degli studi di MESSINA
2022Z2Y4EC,ADELANTE - Adopting Digitally-Enhanced LAboratories in a Network of TEachers,Università degli Studi di ROMA La Sapienza
2022Z78M8J,"The Digital Transition and the World of Work: Labour markets, Organizations, Jobquality and Industrial Relations",Università degli studi di BARI ALDO MORO
2022ZMYYTH,Artificial intelligence & feedback for effective learning (Al&F),Università degli Studi di MACERATA
2022c7N58K,Promoting Social Inclusion and Psychological Well-being through ProsocialFunctioning: From an Ecological-Causal Perspective to Intervention Design,Università degli studi di ROMA La Sapienza
2022cKWY77,Mathematics standardized assessment as a tool for teachers professionaldevelopment,Università degli studi di FERRARA
2022cTPP38,"We Are Multiple-A Web-Based Patient Engagement Platfrm for PromotingPsychological Well-Being, Social Inclusion and Healthy Lifestyle Behaviours in Multiple Sclerosis",Università degli studi di PAVIA
2022s2Y4PC,Just transition in the factory. Workers mobilizations and participatory innovation in emergent Italian experiences,Scuola Normale Superioredi PISA
2022s3FszE,SIsEA / Symbolic Inequality at Work: gendered exclusion and imaginaries ofempowerment in Southeast Asia,Università degli studi di MILANO-BICOCCA
2022s5R95P,Fostering compassion abilities: potential benefits on body image and healthrelated outcomes,Università degli studi di FIRENZE
2022sWM2E5,Promoting Healthy And Sustainable Eating (PHASE). A deep investigation toreduce and replace meat consumption.,Università degli studi di PADOVA
2022xYHRRL,Evaluating School Inclusion: a shared quality index for developing a more inclusiveeducation for all.,Università degli StudiMagna Graecia di CATANZARO
2022z85NcT,Violence against women: modelling misreported information in social data,Università del SALENTO
2022zFMxME,Local museums and ecomuseums. Heritage spaces of active participation,Università degli studi di ROMA La Sapienza
