codice,progetto,istituzione
202227YF9Z,Promoting Teachers Health through an Interactive Web Portal,Università Cattolica delSacro Cuore
2022287PHF,FROB - Family of ROBots for children with disabilities,Università degli studi di BERGAMO
20222RZYJ5,TArgeting Bullying and probullying behaviors using Virtual Reality: indicated actionswithin a multi-tiered approachTAB - VR,Università degli studi di FIRENZE
20223AXXN5,START Surfing Transition to Adulthood: Resources and Timing,Università degli studi di MILANO
20223F9sRE,Learning math in prison: educational design in context of multi-complexity,Università degli Studi di PAVIA
20223JY7Ns,National survey on guidance in school. Research-training for the experimentationof a training orientation model and the development of an online community.,Università degli Studi ROMATRE
202243X77E,"Migrants, Institutions, TranslationsEasy-read Law",Università del SALENTO
20224984HS,Pathways for Transversal Competencies and Orientation (PCTO) as a device fordeveloping personal resources and contrasting scholastic dispersion. Tools of analysis and paths of research training in upper secondary school,Università degli studi di ROMA La Sapienza
20224WRLFE,"Educational poverty, cultural disadvantage and social inclusion inside and outside the school. Teachers professional development Research in the post-Covid era",Università degli studi di BOLOGNA
202255J32W,"For a Multivocal History of the Attitudes Towards Non-human Animals in SouthAsia. Ethics, Practices, Symbolism. Investigating New and Unsolved Issues.",Università degli studi di MILANO
20225JPcTL,From high school to university: Assessing peers influence in educational inequalities and performances,Università degli studi di CAGLIARI
20225R7XB3,Preventing Premature Family Maladjustment: an e-Health InterdisciplinaryResearch (e-ParWelB),Università degli studi di MILANO-BICOCCA
20225YEWAB,"Covid-19 as Cultural Trauma. Transformations in Social Solidarity, in Italian PublicOpinion and Public Sphere, following the pandemic",Università degli studi di SALERNO
202272BY39,Gender bias in language: Testing INClusive ITalian language feasibility and impact,Università degli studi di MILANO-BICOCCA
202272TYME,Public policies and collective representation for creative work (CREW),Università degli studi di MILANO
20227BCP93,FEEL GOOD! SOCIAL ROBOT-MEDIATED VIDEO MODELING INTERVENTION TO FACILITATE COMMUNICATION BETWEEN HEALTHCARE PROFESSIONAL AND PATIENT WITHAUTISM SPECTRUM DISORDER,Università degli studidell'AQUILA
20227ZCTKZ,THROUGH THE CITYCo-design of immersive serious games for urban and periurban landscape education and interpretation in formal and informal contexts.,Università degli studi di GENOVA
20228J9LTM,MORality and SciencE communication (MORSE): Social psychological factorsmaking people trust science and scientists,Università degli studi di MILANO-BICOCCA
20228L2432,Police and social change: the challenges of gender and ethnicity in contemporaryItaly,Università degli studi di BOLOGNA
20228R992T,"Islam and Muslims in Italy: Actors, Social Space and Relations between ReligiousCommunities and the State",Università degli studi di PADOVA
20228W9NE7,Caring for Children with an Immigrant Background: A Cross-Sequential Longitudinal Study on Kindness Pillars and the Role of Dispositional and Contextual Factors inEarly Childhood,Università degli studi di ROMA La Sapienza
20228YKXAB,"TASKs (Trust, Authority, Sense and Knowledge)",Università degli studi di MILANO
202295MWTJ,Religion in Public: Forms and Dynamics of Religious Publicization in Italy(Acronym: RE-PUBLIC),Università degli studi di MILANO
202297CKET,ALGOLIT: Understanding and boosting algorithmic literacy,Università degli Studi di TRENTO
20229P5J3H,From netizens to metazens: Exploring narratives of virtual worlds and civicengagement in the Metaverse.,Università degli studi di SIENA
20229PZXAF,Global Civic Education. Transforming global citizenship education into practicethrough civic education (GloCivEd),Università degli studi di BOLOGNA
20229RL8z9,Voluntering across Crises: a comparative and longitudinal analysis of social innovation potential VolACRoss,Università degli Studi di MILANO
20229TM9ZJ,Evidence 4 Preventing Early school Dropout (E4PED),Università degli studi di CAGLIARI
2022AJZTLS,CON.CA - Controlling or Caring? Theories and practices of (neo)institutionalization,Università degli Studi di TORINO
2022AWATR2,E-Hand. Empowering middle childhood Handwriting,Università degli Sstudi di MACERATA
2022B4s7s8,Framing visual politics in the platform society: the case of the Italian electoralcampaign.,Università degli Studi ROMATRE
2022B58JHF,Social capital as resource of care practice in Italy: Caregiving and social support inpandemic time,Università Cattolica delSacro Cuore
2022BAHBX4,Explicit and mplicit Investigation of LGBTQ Conspiracy Beliefs from an Intergroupand Intragroup Perspective,Università degli studi di VERONA
2022BJLN99,ALMADIA: Active Labour Market Policies and Street-Level Bureaucracy: Discretionin Action,Università degli studi di BOLOGNA
2022BXT34T,The Psychology of Gender Inequality: Processes Underlying the Status Quo andActions for Social Change.,Università degli studi di BOLOGNA
2022BYS4N5,"INWARD. IN-Work poverty, consumption And Regional Disparities in Italy",Università degli studi di TORINO
