codice,finanziamento
202227YF9Z,201.67200000000003
2022287PHF,255.732
20222HX2LZ,265.36
20222RZYJ5,225.128
20223AXXN5,223.625
20223F9SRE,211.572
20223JY7NS,331.755
202243X77E,251.73399999999998
20224984HS,228.457
20224WRLFE,257.819
202255J32W,256.172
20225JPCTL,239.651
20225R7XB3,223.69299999999998
20225YEWAB,234.738
202272BY39,225.178
202272TYME,223.778
20227BCP93,264.236
20227ZCTKZ,237.63299999999998
20228J9LTM,202.5
20228L2432,240.21800000000002
20228R992T,309.936
20228W9NE7,220.1
20228YKXAB,272.027
202295MWTJ,233.13400000000001
202297CKET,197.997
20229P5J3H,271.04200000000003
20229PZXAF,277.868
20229RL8Z9,224.72400000000002
20229TM9ZJ,260.03
2022AJZTLS,215.668
2022AWATR2,241.12
2022B4S7S8,229.31799999999998
2022B58JHF,285.635
2022BAHBX4,211.767
2022BCEY22,219.162
2022BJLN99,240.654
2022BXT34T,235.406
2022BYS4N5,246.26500000000001
2022C7N58K,232.748
2022C7PR32,250.904
2022CKWY77,221.626
2022CTPP38,261.233
2022E2RB3H,344.611
2022E4C3YK,233.762
2022E9MLS5,217.108
2022E9YKYZ,306.387
2022EL4MPH,244.962
2022EP5M3B,184.84199999999998
2022EYX28N,286.102
2022F2TWKY,232.877
2022F3KA2N,230.618
2022F5EZ43,244.62
2022F74XBL,313.43
2022H2CFLZ,292.894
2022H4RAYW,253.704
2022HH4XNP,263.25
2022HKAC59,285.014
2022HMCJPH,227.35999999999999
2022HN5SFZ,210.631
2022HRFH2C,229.461
2022HXLH47,252.072
2022HZ4N3H,250.417
2022J3CXWT,215.538
2022J9FXZM,254.808
2022JCFTXW,243.383
2022JF3LC5,267.92
2022K479M8,221.409
2022K7JAMP,222.183
2022K7YFCN,291.2
2022K8NPZR,202.485
2022K9RP5Y,202.268
2022KRTPZP,235.058
2022LB3WKL,230.441
2022LF9LAS,227.874
2022LRH5XY,294.124
2022LTZXNA,222.962
2022LWYSYL,538.542
2022M8R7CA,199.15
2022MBPWH7,298.416
2022MCAA2T,241.35
2022MSL3AY,235.60000000000002
2022MY3W9P,233.403
2022NEP5BC,235.728
2022NP4FNB,245.326
2022NPTNEZ,222.648
2022PAXZ5J,246.351
2022PX2RAR,242.798
2022RAYR4H,283.179
2022RLTNH3,187.131
2022RZ7PRM,279.61
2022S2Y4PC,232.227
2022S3FSZE,201.06
2022S5R95P,267.595
2022SWM2E5,218.36200000000002
2022TCKFYE,261.241
2022TWCJAS,272.49
2022W2L3LT,203.44
2022W3NC33,250.768
2022WB2S72,265.475
2022WY5Z7P,299.011
2022WYEW47,219.72
2022X44WX4,219.363
2022XFX3EN,206.562
2022XLC85S,267.359
2022XSS48C,192.017
2022XYHRRL,230.153
2022YRJ83A,211.37800000000001
2022YXHTK4,231.228
2022Z2T23H,200.398
2022Z2Y4EC,268.823
2022Z78M8J,246.248
2022Z85NCT,366.849
2022ZFMXME,202.5
2022ZMYYTH,263.71999999999997
