codice,progetto,istituzione
2022PMRYCF,RE-PLACE. REframing PLace-based Approach through the Cultural Ecosystemservices of inner areas,Università degli studi di CAGLIARI
2022PZ5MWJ,BETTER POLICY Building Environmental Tools To Empower Responsive PoliciesOutreaching LIfecYcleGuide lines and protocols to enable Public Administrations-driven processes in the Italianconstruction sector,Università degli studi di GENOVA
2022RK5MRN,Urban Greening for Pervasive and Resilient Proximity,Università degli Studi di GENOVA
2022RNKSEL,"Depopulation Risk: Experiences, Mobility and Subjective Wel-being (DREAMs)",Università degli studi di ROMA La Sapienza
2022RcxRB2,Accelerating the sustainable path to the Circular Economy focusing on theBiobased industry,Università degli Studi di NAPOLI Parthenope
2022T4P5WP,"Islands_4_FutureProtecting next generations from marginalization: a field-based, multi-dimensional andparticipatory intervention on promoting cultural heritage, future opportunities and tourism onsmall islands.",Università degli studi ROMATRE
2022T7TMsM,TRIALs - Transformative Resilience for Inner Areas and Local communities. Strategies and actions for disaster risk reduction and post-disaster recovery,Università degli Studi di CAMERINO
2022WBH59A,Smart Road for Smart Drivers toward Smart Vehicles (Smart RoDriVe),Università degli studi di CATANIA
2022WHTWJJ,Models and methods for the optimal allocation of resources assigned by thePNRR to hydrogen experimentation for road and rail transport,Università degli studi di Napoli Federico II
2022WXH873,REtiring Well: defining an Index of Risk and modelling of an Effective integratedcognitive-physical intervention (REWiRE),Università degli studi di BOLOGNA
2022X2788M,Sustainable Textile - SusTex: exploring and adapting good practices for valorizingwastes in the textile and apparel supply chain,Università degli studi di PARMA
2022XLX3FF,PRICE - PRoductivity and equity Implications of Climate change in Europe,Università Ca' Foscari'VENEZIA
2022XSM5sX,AVRAl - Assessing the Vulnerability of Refugees and Asylum seekers in Italy,Università degli studi di PALERMO
2022XzzYA5,Places and stories of proximity.A methodology for the regeneration of collective spaces in modern neighborhoods,Università degli Studi ROMATRE
2022YL3NHN,Designing transitions of rural environment from fragility of Italian teraces totheir re-use,Università degli Studi di Napoli Federico II
2022Z4L3HK,Mapping local economic activity using night-time light data: statistical indicatorsand long-term determinants of economic geography in Italy at municipality and sub-municipalitylevel.,Università degli studi di PADOVA
2022ZEEEPN,FER-MO: Italians FERtility MOtivations in disorienting and uncertain time,Università Commerciale Luigi Bocconi MILANO
2022ZFT73K,A STATIC AND DYNAMIC DATABASE FOR HISTORIC URBAN CONTEXTSACCESSIBILITY,Università degli studi di BRESCIA
2022ZLE8HC,Nature for sustainable cities: planning cost-effective and just solutions for urbanissues (Natsolis),Università degli studi di CATANIA
2022cHTHEF,The subjective well-being of immigrants and natives: taly in the European context(WELL-MIG),Università degli Studi di ROMA La Sapienza
2022czzXZS,Socio-Environmental Crises and Local Responses in African Drylands: Lessons fromthe Global South (SECA),Università degli Studi di PADOVA
2022kKY5LY,HEALING - HEAlthy Lifestyles in an Italian community: a Network Groundedapproach,Università degli studi di MILANO
2022s34259,"EXplaining the determinants of the URBan-rural Interface: local governance,climate change and urban Adaptation (EXURBIA)",Università degli studi di Urbino Carlo Bo
2022sjPjYM,"The city, outdoors. Learnings and practices for a more sustainable and sociable citythrough urban green spaces",Università degli studi di FIRENZE
2022z348HC,Farms on the move. Rethinking the geographies of transhumances community-based economies: a more-than-human approach.,Università Ca' FoscariVENEZIA
2022zBRAY8,Connect to grow: high-speed rail and development of the urban areas of Naplesand Bari,Università degli studi di BARI ALDO MORO
2022zCM5MY,"sMArT cities CHAllenges and opportunities: a participatory approach to the design of sustainable, creative and connected cities (MATcHA)",Università degli Studi di PADOVA
2022zkKW4F5,The geography of the “twin transition: mapping the regional combination of thegreen and the digital transition - GEoTWIN,Università degli studi di PADOVA
