codice,progetto,istituzione
202239PCNR,Fostering climate change adaptation of local communities through a participatoryrisk communication strategy,Università Politecnica delleMARCHE
20223CEZSR,MNEMET = Modelling Non-standard data and Extremes in MultivariateEnvironmental Time series,Università degli studi di TRIESTE
20223PNJ8K,Impact of the Human Activities on the Environment andEconomic Decision Making in a Heterogeneous Setting:Mathematical Models and Policy Implications,Università degli studi di BOLOGNA
20224HPEJP,ScENES – Solar ENergy Expansion Strategies,Università degli studi di MILANO-BICOCCA
202253N2NY,Urban parks biodiversity to enhance city dwellers health. URBioPark,Università degli studi di BRESCIA
20225A8KMN,MATCH-RES Multidimensional Analysis To Connect Housing Retrofit with Energy Sharing awareness,Università degli Studi ROMATRE
20225JYFET,"System-wide assessment of truck platooning: market potential, business models,operations, and policy implications",Università degli studi di Napoli Federico II
20225YEWNs,"Administrative capacity: definitions, measurement, policy interventions andeconomic impacts",Università degli studi di PADOVA
20225YY2HL,PULSe: Pre-feasibility analysis for Urban Logistics Solutions based on Eco-friendlyvehicles,Università degli Studi ROMATRE
20227LAPJT,Plastic or elastic? Exploring the spatialities of post-Covid 19,Università degli studi di FIRENZE
20227Ts4WN,Sustainable Occupational Health and Safety (SOHs) in waste treatment plants: agamified training tool for workers,Università degli Studi ROMATRE
20228H7WF3,Reloading city: a new systemic approach to urban and territorial regeneration,Università degli studi di PERUGIA
20228PSZC8,NEXT GENERATION SOLAR LANDSCAPES METHODS AND TOOLS FOR NEXT GENERATION SOLAR LANDSCAPES DESIGN: THE RENEWAL OF PHOTOVOLTAIC FIELDS AT THE END OF LIFE.,Università degli studi di TORINO
20229KAEFJ,Health Bordering: Managing Mobility during Pandemics,Università degli studi di BOLOGNA
20229KFBTY,Metropolitan Cities under PNRR: the design of a Metropolitan Decision SupportingSystem,Università degli Studi di FIRENZE
20229cWYXC,A geo-localized data framework for managing climate risks and designing policiesto support sustainable investments,Università degli studi di PAVIA
2022AKRM8s,RETiN: Responses To Inequalities in Non-communicable diseases: measurementand management challenges through an inter-regional perspectives,Scuola Superiore di  StudiUniversitari ePerfezionamento Sant'Anna
2022AMC93A,WEATHER AND CLIMATE VULNERABILITY IN ITALIAN DEMOGRAPHIC HISTORY,Università degli studi di BOLOGNA
2022AYFBNT,COsTA|Med - Catching Opportunities for Strategic Transformation and Adaptationof Mediterranean coasts,Università degli Studi ROMATRE
2022B4TT2M,RISK: Recovery Increasing by Social Knowledge,Università degli studiMediterranea di  REGGIOCALABRIA
2022BLK9Ts,MOVING StEPS - MOVING from Street Experiments to adaptive Planned Solutions.,Università degli Studi di PARMA
2022CENE9F,The pre-Covid-19 stallin life expectancy in Italy: looking for explanations,Università degli studi di FIRENZE
2022E3JYZA,"WasToy: Was Waste, will be ToyCombining design and material science to develop made in Italy toys from organic waste througha bioeconomy approach",Università degli Studi di Napoli Federico II
2022E3RY23,Complex Environmental Data and Modeling (CoEnv),Università degli Studi G.d'Annunzio CHIETI-PESCARA
2022E7XKX5,Territorilizing the National Recovery and Resilience Plan (PNRR),Università IUAV di  VENEZIA
2022EE33TA,The geography and economics of new technological transformations-related jobsin Italy,Università degli studi di TRENTO
2022EJRHK7,RECAP - Reducing car dependency through tailored policies to improveaccessibility by proximity in highly car dependent territories,Università IUAV di  VENEZIA
2022EKEcsT,Bridging geography and history of woodlands: analysing mountain woodedlandscapes through multiple sources and historical GIs,Università degli studi di TRENTO
2022EKH5R4,MED4PED: Mobility Experience Decision support system for pre-assessingPEDedestrian walkability through on-site and off-site simulation.,Università degli studi di MILANO
2022EYHYKS,"TRANSHEATIONS. Urban design for UHI (Urban Heat Island) mitigation, as a strategy for ecological transition in the metropolitan areas of Rome and Naples",Università degli Studi ROMATRE
2022F4FLSF,"ATM, Drones and D.A.N.T.E. (Digitalizazion, Artificial intelligence and NewTechnologies for Environment)",Università degli studi di MESSINA
2022FK8TRT,Italia di mezzo. Designing the urban-territorial transition,Università degli studi di Napoli Federico II
2022FPFPT5,"Integrated environmental monitoring via the use of Unmanned Aerial Systems(drones), environmental management systems and Life Cycle Assessment (LCA): set-up forimproving the environmental profile of landfill sites and industrial plants",Università degli studi di BARIALDO MORO
2022H7jPE2,Looking into the dark. For a new epistemology and public action on territorialinequalities,Università degli studi di ROMA La Sapienza
2022HAT5L7,"Digital by default: older people, digital public services, and risks of social exclusion",Università degli studi di MILANO-BICOCCA
2022HKE2CY,"JUSTAINABILITY - Just sustainability. Rhizomatic social innovations, transformative knowledge, and prefigurative practices for a just transition",Università degli studi di CATANIA
2022HY4P2T,SUITABLE (SUstainable mobliTy and AccessiBiLity in pEriurban environments),Università degli studi di MILANO-BICOCCA
2022HZ3PHX,Administrative Geography and the Territorial Question in Italy: Weaknesses inthe Administrative Framework and Possible Solutions,Università degli studi di FIRENZE
2022J38sR9,SMART3R-FLITS: SMART Transport for TRavellers and Freight Logistics IntegrationTowards Sustainability,Università degli studi di CATANIA
2022J7RWNF,INSPIRE - Improving Nature-Smart Policies through Innovative ResilientEvaluations,Università degli studi della BASILICATA
2022JB2NBN,Socio-demographic determinants of Information and CommunicationTechnologies (ICT) use among older people in taly (ICTAGE),Università degli Studi di PADOVA
2022JBp39B,Monitoring and reporting in transport infrastructures and services concessions:,Università degli studi di BOLOGNA
2022JEM7HW,Development of an integrated economy and goods mobility model withapplication to Italy,Università degli studi di ROMA La Sapienza
2022JNNJX,Towards Circular and Sustainable Agri-food Systems: Metrics for Assessment,Università degli studi 'G.d'AnnunzioCHIETI-PESCARA
2022JPFYE8,"The border is no more, long live the border.De-materialization and re-materialization of internal borders in the European Union.",Università degli studi di TRENTO
2022JPWKCS,GLOsSSA: A GLOcal knowledge-System for the Sustainability Assessment ofurban projects,Università degli studi di Napoli Federico II
2022JW88K9,"Place-based Unfolding, Localities and Participation (PULP) in NRRPs",Università degli studi di CATANIA
2022JZLL7J,H-SMA-CE: a decision support system for circular economy transition,Università degli studi di MESSINA
2022KBTEBN,Causes of deAth dependence stRuctures and the cOmpositioNal effecT on ovErallmortality (CARONTE),Università Commerciale Luigi Bocconi MILANO
2022KLZANJ,Reframing spatial justiceA co-operative approach for a fair distribution of benefits from PNRR projects.,Università IUAV di  VENEZIA
2022KTEZPX,"Digitally-enabled Social nnovation in the city: implications for urban spaces,societies and governance",Università degli studi di TORINO
2022KYAFWE,Value-driven Architecture: a chronotopic case study,Università degli studi di PERUGIA
2022LWA9W7,"URGET VADEMECUM 2030-50(URban de-pollution and de-carbonisation from emissions GEnerated by Transport systems:eVAluation of DEdicated Methodologies, technologies and EConomic thresholds for anUnprecedented Mobility at 2030-50)",Università degli studi di FIRENZE
2022M7W3BM,"Safeguard of Modern Urban Heritage: a cross-disciplinary WebGIs forKnowledge, Monitoring and Risk Analysis",Università degli studi di ROMA Tor Vergata
2022M87K4F,TOWARDS LOCAL DEVELOPMENT THROUGH A SUSTAINABLE VALORIZATION OFCULTURAL HERITAGE,Università degli Studi di BOLOGNA
2022NXFLPN,Micro and peer-to-peer shared mobiity for Urban Sustainability and Accesibility(MUSA),Università degli Studi di BARIALDO MORO
2022P8KTY7,Cultural Capital and Pro-environmental Behavioural Changes,Università degli Studi G.d'AnnunzioCHIETI-PESCARA
2022PBP894,"Narration and Medicine in Latin American Culture: Application Perspectives toTherapeutic Approaches, from Latin America to Europe, Towards an Inclusive and FlexibleSociety",Università Cattolica delSacro Cuore
2022PFL7ZB,The Children of Immigrants Have Grown Up.The transition to adulthood for youth with a migratory background,Università degli Studi di TRENTO
