codice,finanziamento
202239PCNR,258.749
20223CEZSR,253.77500000000003
20223PNJ8K,265.818
20224HPEJP,295.86699999999996
2022534259,174.695
202253N2NY,310.701
20225A8KMN,317.442
20225JYFET,257.563
20225TN2R9,243.878
20225YEWNS,253.87
20225YY2HL,266.467
20227LAPJT,208.008
20227TS4WN,240.171
20228H7WF3,232.049
20228PSZC8,279.46000000000004
20229CWYXC,160.791
20229KAEFJ,250.51600000000002
20229KFBTY,199.562
2022AKRM8S,230.941
2022AMC93A,229.415
2022AYFBNT,243.966
2022B4TT2M,265.884
2022BLK9TS,248.132
2022CENE9F,234.83499999999998
2022CHTHEF,286.885
2022CZZXZS,262.403
2022E3JYZA,283.837
2022E3RY23,271.789
2022E7XKX5,232.831
2022EE33TA,261.49
2022EJRHK7,298.291
2022EKECST,227.19600000000003
2022EKH5R4,241.733
2022EYHYKS,285.512
2022F4FLSF,202.50000000000003
2022FK8TRT,283.79200000000003
2022FPFPT5,302.13
2022H7JPE2,266.541
2022HAT5L7,220.62
2022HKE2CY,234.98899999999998
2022HY4P2T,229.653
2022HZ3PHX,233.575
2022J38SR9,251.993
2022J7RWNF,307.294
2022JB2NBN,221.30400000000003
2022JBP39B,220.167
2022JEM7HW,258.852
2022JNNJJX,285.777
2022JPFYE8,225.17600000000002
2022JPWKCS,208.946
2022JW88K9,263.305
2022JZLL7J,202.428
2022KBTEBN,202.41899999999998
2022KLZANJ,222.86100000000002
2022KTEZPX,223.286
2022KY5LYJ,211.378
2022KYAFWE,277.344
2022LWA9W7,256.705
2022M7W3BM,234.704
2022M87K4F,265.262
2022NXFLPN,232.25900000000001
2022P8KTY7,202.148
2022PBP894,263.207
2022PFL7ZB,243.35500000000002
2022PMRYCF,202.498
2022PZ5MWJ,284.825
2022RCXRB2,233.11
2022RK5MRN,327.789
2022RNKSEL,265.009
2022SJPJYM,201.733
2022T4P5WP,220.861
2022T7TMSM,238.714
2022TRFAA5,261.627
2022WBH59A,254.559
2022WXH873,254.123
2022X2788M,202.238
2022XLX3FF,274.483
2022XSM5SX,246.24800000000002
2022XZZYA5,244.96800000000002
2022YL3NHN,196.735
2022Z348HC,235.40699999999998
2022Z4L3HK,239.419
2022ZBRAY8,305.23699999999997
2022ZCM5MY,218.52100000000002
2022ZEEEPN,202.5
2022ZFT73K,224.071
2022ZKW4F5,246.58100000000002
2022ZLE8HC,284.99699999999996
