codice,finanziamento
202223C3X9,254.591
202223C8Z4,296.59000000000003
202224MEMK,243.917
20222NFMAH,200.11599999999999
20222RJE32,239.639
20222ZRMFZ,187.176
202232Y8YA,173.287
202238L4HZ,224.306
20223H7759,201.697
20223HNTT8,226.443
20223LE4AB,200.601
20223NMEP4,280.995
20223NMRBC,257.644
202242MS2F,168.85000000000002
20224BPEXZ,278.71500000000003
20224K2JA8,259.346
20224KFTLP,223.784
20224MFWHC,268.203
20224WA39R,230.15
2022582NRJ,237.795
2022594MAA,255.892
20225E9XZM,235.93
20225KT494,270.55400000000003
20225LFCMZ,291.595
20225REWBB,234.184
202273E9F4,274.735
202279SXRM,240.858
20227AF8Y3,295.543
20227CHRR2,213.92200000000003
20227KSKN5,262.322
20227M8RS7,212.764
202283FJF7,265.19500000000005
202285ZT47,245.14000000000001
202288K2BX,248.083
20228APAFR,219.893
20228BA393,237.56799999999998
20228CJRLK,231.425
20228JHK5L,268.685
20228MHXCM,267.571
20228MRWL2,259.948
20228P3LYC,226.309
20228TEZ9T,271.73699999999997
20228X5F3E,240.861
20228Z4LX3,243.142
20228Z92FK,238.99
202297ATKC,244.522
2022987EAH,221.797
20229AWNX2,250.36
20229B57SX,218.67200000000003
20229E83B3,235.01
20229LLFK2,222.019
20229MY34B,220.611
20229RTTBJ,226.13400000000001
20229YECPS,185.943
2022A2LXSP,252.945
2022A5FHFY,312.497
2022A773E4,238.35
2022A97CER,265.379
2022A9TNXX,219.87099999999998
2022AETLCK,223.32600000000002
2022AHREBP,199.589
2022ANJWAZ,286.671
2022ARJYES,239.726
2022ASYE4K,273.555
2022B2EXJP,191.00599999999997
2022BAYPL5,267.19100000000003
2022BBPB8N,218.421
2022BE7TAT,283.768
2022BPCP8N,203.647
2022BSMKX8,292.979
2022C7KF8X,215.043
2022CA8BW3,223.317
2022CEJ348,235.6
2022CFA3L8,282.952
2022CHASRE,236.151
2022CP88KY,220.244
2022CW8EYT,200.69099999999997
2022CWL4H2,193.279
2022CYBW9R,271.259
2022CZWWKP,253.442
2022EAZH78,189.312
2022EHZFWB,284.834
2022EK7P7F,200.113
2022EZ7WMW,268.304
2022F38ZB3,275.69
2022FENML2,301.669
2022FJ22CF,238.82600000000002
2022FJX9YZ,246.601
2022FK9THF,227.249
2022FL299Z,252.587
2022FL4775,308.71
2022FLT28B,209.554
2022FNR3ZJ,218.67600000000002
2022H3X748,229.566
2022H82FCX,228.192
2022H88MAC,185.886
2022H8SZ92,178.889
2022HE32C5,223.918
2022HE8ZHS,260.621
2022HHBXF8,252.957
2022HJW23K,228.40800000000002
