codice,finanziamento
2022HNTCXS,194.703
2022HT3XYP,199.80499999999998
2022HTJ7MN,230.488
2022HYE33P,234.566
2022HYSFNR,274.209
2022HZPCL9,200.75099999999998
2022J4ER9X,178.198
2022J52TZY,246.687
2022JCYBXM,306.179
2022JELMNK,311.579
2022JJF8PL,256.248
2022JM4H92,174.957
2022JMBC38,251.64000000000001
2022JMJLC2,264.15999999999997
2022JML3N9,551.707
2022JPNKZ4,270.321
2022JR8Z8P,240.76
2022JRXA9L,200.75
2022JYMWMS,248.48399999999998
2022K4CP7C,271.736
2022KHWYLM,235.481
2022KPWZFL,218.358
2022KWJ4SH,237.999
2022KWLTWA,219.469
2022KZFEKX,221.89499999999998
2022L547TR,237.212
2022LB2FNL,234.14200000000002
2022LB5YW4,315.155
2022LB835Y,257.827
2022LF72JW,262.379
2022LFR494,232.823
2022LHSKKR,247.268
2022M3FK9C,212.667
2022M92E5J,186.442
2022MAAYRT,237.815
2022MKPF9Y,260.45
2022MMPYF4,257.269
2022MPSE2P,214.279
2022MRWN2K,241.434
2022MS47SC,247.826
2022MYMSLK,247.413
2022N2WTM4,218.514
2022NE2LWP,242.708
2022NSAXYP,271.548
2022NSS7AK,251.69
2022NW5BCC,331.477
2022NZRBRH,199.305
2022P5FA2H,243.76000000000002
2022P749MT,289.415
2022PCN7BY,227.068
2022PCRLJ9,257.145
2022PEA4ZK,239.334
2022PEL788,200.293
2022PPRLJW,243.144
2022PRHZJY,312.63
2022PXTYCL,283.28499999999997
2022PYXKPT,199.535
2022PZYKER,245.909
2022R2WHFJ,230.88100000000003
2022R2ZJS2,199.947
2022R43S2A,226.65800000000002
2022R4PYH3,187.041
2022R7NKFZ,261.283
2022RBB99R,260.983
2022RFC5ZR,244.273
2022RHCY5P,250.627
2022RMYM9L,236.148
2022S3NCNT,276.544
2022S3XZZ5,276.745
2022S5LET5,312.946
2022SA97FP,270.923
2022SEK27B,200.458
2022SLEC3C,217.50400000000002
2022SSEAZK,241.916
2022SW5X3C,215.82999999999998
2022SYRN27,228.534
2022T7L8HK,242.92
2022T9SCN8,220.832
2022TBN35M,263.997
2022THKLFF,252.41
2022TM7WEJ,278.101
2022TNP3K8,209.984
2022TWKJTR,227.897
2022W2CBXS,250.901
2022W33NXT,234.496
2022W8FAHM,315.081
2022W8WYYJ,250.94400000000002
2022WA2Y3Y,269.097
2022WAPW5X,276.39300000000003
2022WSBEE9,375.11400000000003
2022WSXJC5,248.701
2022WXWWMC,229.952
2022WZT75F,226.82299999999998
2022X5B4EM,220.407
2022X78ZKL,221.154
2022XJ8CXS,275.267
2022XLTAJK,236.99599999999998
2022XRFSXR,214.44299999999998
2022XS25NZ,228.69400000000002
2022Y9S3H4,220.622
2022YHNX9M,252.431
2022YNB8MR,200.75
2022YRSNNS,198.251
2022Z39LJH,261.071
2022Z77ZP2,233.00900000000001
2022ZAH9HC,243.713
2022ZAKMJH,200.65800000000002
2022ZEATEY,229.07
2022ZJ3PT9,199.32
2022ZJ4N9E,227.189
2022ZS873Y,245.784
2022ZT2NZJ,200.75
2022ZTES8N,237.86
