codice,progetto,istituzione
202223c3X9,"The Angevin World, the Papacy and the East: 1250-1450",Università degli Studi di NAPOLI L'Orientale
202223c8Z4,The Germanic Reception of Lanfrancs of Milan Chirurgia magna: Critical Editionand Terminological Commentary of the English and German Branches of the Tradition,Università degli studi di GENOVA
202224MEMK,De rerum figura. Things inside Images in pre-Roman Italy DRF,Università degli studi di PAVIA
20222NFMAH,Folklore and oral traditions in the Greek culture. From the Archaic to theHellenistic period.,Università degli studi di NAPOLL'Orientale
20222RJE32,"SCORPiò-NIDI. Comparative Analysis and Certified Reconstructions for a correctexperimental archeology: Roman Scorpions and Ballistae for the Imperial mechanical culture,origin of European identity. Governance policy for the development and sustainable fruition ofCultural Heritage.",Università degli studi della Campania Luigi Vanvitelli
20222zRMFZ,"Islamic Literatures in Sub-Saharan Africa: Themes, Genres and Publics",Università degli studi di NAPOLIL'Orientale
202232Y8YA,DT^2 - The Recovery Demand and the Educational Supply: A Design Toolkit forDesign Teaching,Università degli studi di Napoli Federico II
20223H7759,Literary translation and cultural transfer between Italy and Romania: creation ofa bilingual digital archive of literary translations from Italian into Romanian and from Romanianinto Italian,Università degli Studi di PADOVA
20223HNTT8,LeGeRe LEI Germanismi Reloaded,Università degli studi di NAPOLI L'Orientale
20223LE4AB,"Towards a technical history of early modern Italian wooden sculpture: a digital database of diagnostic and historical investigations (significant case examples from Florence,Lazio, Naples and Southern Italy).",Università degli studi di ROMA Tor Vergata
20223NMEP4,Building Civic Identities. Towards an Atlas of Communal Palaces in Italian UrbanHistory (12th-20th Centuries),Università degli studi di GENOVA
20223NMRBC,"Italian Instrumental Music 1750-1850: Contexts, Practices, Imaginaries",Università degli Studi ROMATRE
202242Ms2F,Re-Visualizing the West: geo-literary images of Europe in contemporarySinophone writings,Università degli studi di MILANO
20224BPEXZ,"Next Generation Ita. Increasing Trust, Making Future Generations Possible",Università degli studi di TORINO
20224K2JA8,HYPERsTAGE: an Open Knowledge base for the semantic reconstruction of theatrical performances through the harvesting and processing resources from the New ItalianNetwork of theatrical digital archives.,Università degli studi di ROMA Tor Vergata
20224KFTLP,Hegelian constelltions of the feminine: a hyper-archive for an inclusive Bildung.,Università degli Studi ROMATRE
20224MFWHC,Habits in (Time of) Crisis (HiToC). Conceptual Tools for Dealing with DisruptiveEvents,Università degli Studi ROMATRE
20224WA39R,TeLPhTeaching and Learning Philosophy in the Regnum Italiae (1250-1450): from Exception toEuropean Heritage,Università degli studi di ROMA Tor Vergata
2022582NRJ,A Model of Digital Commentary for Twentieth-Century Literature. The Case ofCarlo Emilio Gaddas LAdalgisa. Disegni milanesi,Università per Stranieri di SIENA
2022594MAA,Applied Shakespeare: Developing New Educational Models for TransversalCompetences and Life-skills,Università degli Studi ROMATRE
20225E9XZM,"A Question of Honor: Duels in Italian Culture from the Risorgimento to the FascistPeriod, between Imaginary, Representation, and Reality",Università degli Studi di FIRENZE
20225KT494,The Primo Levi Thesaurus: The Genesis and Dissemination of a Twentieth-CenturyCorpus,Università degli studi di PAVIA
20225LFCMZ,"Itineraries of Philosophy and Science from Baghdad to Florence: Albert the Great,his Sources and his Legacies",Scuola IMT Alti Studi -LUCCA
20225REWBB,"PLanETsProduction Landscapes through Energy Transitions: Industrial heritage preservation, socio-political processes and potential reuse in Lombardy, Sardinia, and Calabria",Università degli studi di CAGLIARI
202273E9F4,EByRome. Epigraphy of Byzantine Rome: medieval Greek inscriptions from/inRome and Latium (6th-15th cent. AD),Università degli studi di ROMA Tor Vergata
202279SXRM,PatriarX: PAths of the TRansmlssion of SAint CyRils LeXicon,Università degli studi di MESSINA
20227AF8Y3,"Narration and care.The deinstitutionalization of asylum system in Italy: history, cultural imaginary, planning (from1961 to today)",Università degli studi di CAGLIARI
20227CHRR2,MEDITA - Medieval Latin documentation and Digital Italo-Romance Lexicography. Integrated Resources for the New Historical and Etymological Lexicography,Università degli studi di Napoli Federico II
20227KsKN5,A Physical Geography of German-speaking Literature,Università degli Studi di ROMA La Sapienza
20227M8Rs7,The ATLAS of talian Digital Humanities: a dynamic knowledge graph of digitalscholarly research on Italian Cultural Heritage,Università degli studi di BOLOGNA
202283FJF7,"Texts of Uncertain Authorship in Thirteenth-century Italian Lyric Poetry. Methods,Practices and Tools of Attributive Philology.",Università degli studi di ROMA Tor Vergata
202285zT47,Identity Heritage and Cultural Memory. The elaboration of the past through thetheatre of democratic Spain (1975 to the present),Università degli studi di TORINO
202288K2BX,202288K2BX -I_PAD Italian Performance Archive in Digital.Mapping and Dissemination of the Iconographic and Audiovisual Heritage of Italian MediaPerformance: Giacomo Verdes Archive.,Università degli studi di MILANO
20228APAFR,ESCAPES: Experimental Sustainable & Collective Architectural Places forEmployes-Carers,Università degli studi di MILANO
20228BA393,TRAFFIC - Tracing American and Foreign Funds in Italian Cinema (1945-1962),Università degli studi di BOLOGNA
20228CJRLK,CLIO. Corpora for Italian Lyric of the Origins,Università per Stranieri di SIENA
20228JHK5L,CHIARA Cultural Heritage Innovation Adopting Risk AssessmentAdvanced procedures for the enhancement of nationwide built heritage (positioned in isolatedand/or peripheral locations),Università degli Studi di BOLOGNA
20228MHXCM,PAVES-eTowards an Archive-Edition of Paveses Work,Università degli studi di CATANIA
20228MRWL2,Cinephemera. Ephemeral materials for the study of Italian cinema between the1930s and 1960s,Università degli studi di UDINE
20228P3LYC,"The art of the stage in Bronze Age Anatolia. Reconstructing Hitite festivals usingtexts, images and comparative cultural anthropological evidence",Università degli studi di NAPOLI L'Orientale
20228TEZ9T,The forms of the museum: pilot project for a digital atlas of talian museums,Università degli studi di Napoli Federico II
20228X5F3E,LALALEXiT. Late Latin Lexicon in Transition,Università Ca' FoscariVENEZIA
20228Z4LX3,CoenoBl(u)M. Art and architecture of the Cassinese Benedictine Congregation (XV-×XVIll centuries): digital and spatial analysis strategies through BiM models.,Università degli studi di PADOVA
20228Z92FK,Obscene Freedom. Libertinism and Radical Enlightenment in ContemporaryFiction and Imagery,Università degli studi di PADOVA
20228sERKN,Laugh Tracks. Greek Comedy in Ptolemaic Egypt,Università degli studi di GENOVA
202297ATKC,spaNice: Spanish cultural models in Early Modern Venice (the development and circulation of Spanish literature and language in 16th-17th century taly),Università degli studi di VERONA
2022987EAH,"BorderArt(E)Scapes. Contemporary Art, Anthropology and Borderscapes: from the late nineteenth century to the 2ooos, reading contemporaneity and experimenting with newresearch practices",Università degli Studi di FIRENZE
20229AWNX2,"Atlas of Antagonist Discography: taly, 1958-1980",Università degli studi di TORINO
20229B57sX,Circulating Populist Sentiments in 21st Century Film and TV Fiction in Italy,Università degli studi di Urbino Carlo Bo
20229E83B3,Resilient Septuagint.,Università degli studi di BOLOGNA
20229LLFK2,Women in the History Philosophy,Università della  CALABRIA
20229MY34B,TransLATINg Italian Literature,Università degli studi di ROMA La Sapienza
20229RTTBJ,Borrowing a boat to go out on the oceanThe image of China as a cultural power promoted by the PRC Governments strategies and Italianborn Chinese,Università degli studi di TORINO
20229YEcPs,Petronius and Apuleius: new critical editions and related studies,Università degli studi di FIRENZE
2022A2LXSP,"IDEA | THE DIGITAL ZUCCARI CORPUS. Texts, Contexts, Sources and Lexicon",Università degli studi di TORINO
2022A5FHFY,French phenomenology today,Università degli studi di SASSARI
2022A773E4,Peripheral Baroque Sculpture 1630-1750: knowledge and engagement.Census and Digital Atlas of the Lazio provinces and the border areas,Università degli studi di FIRENZE
2022A97cER,The reception of Vico and the early twentieth century In Italy: a Digital Exhibition,Università degli studi di BOLOGNA
2022A9TNXX,FilmBaseMatters: A Material Approach to the History of Small-_gauge Film in Italy,Università degli studi di UDINE
2022AETLCK,Italy outside Italy Italian intellectual migration and the emergence of a modernEuropean identity,Università di  PISA
2022AHREBP,"ARIANNAAn interoperable platform for aRchaeologlcAl sites: conservatioN, eNvironmental design andwider Accessibility after covid.",Università degli studi di Napoli Federico II
2022ANJWAZ,"Light prefabrication: knowledge, monitoring and requalification of thearchitectural heritage of the second half of the twentieth century in the regions of Calabria andLazio",Università della  CALABRIA
