codice,progetto,istituzione
2022ARJYES,"A NEW OPEN ACCESS CRITICAL EDITION OF DANTES COMMEDIA FOSTERINGDIGITAL HUMANITIES PROJECTS. COLLATION OF 580 MSS, PROVISIONAL TEXTS ANDAPPARATUSES, AND LEXICAL UPDATINGS TO THE VOCABOLARIODANTESCO (AcCADEMIA DELLA CRUSCA/ CNR)",Università degli Studi di FERRARA
2022AsYE4K,Actresses and actors writing between Italy and Europe: art and memory,Università degli Studi di MILANO
2022B2EXJP,External vs Internal Objects of Knowledge in the Late Middle Ages: from DirectRealism to Representationalism,Università degli studidel'AQUILA
2022BAYPL5,Venezia Libro Aperto (acronym: VeLA),Università Ca' FoscariVENEZIA
2022BBPB8N,"Ancient Science, Ancient Philosophy (the ASAP Project). The PhilosophicalFoundation of Sciences",Università degli studi di TORINO
2022BE7TAT,"FALSVM - Forging Authorship in Literature, Scholarship, and Visual MediaPhase 1: Classical Antiquity",Università degli studi di TRENTO
2022BPCP8N,The Transmission of Old Church Slavonic Texts,Università Ca' FoscariVENEZIA
2022BsMkx8,Romes defensive systems between past and present.The heritage-recognition process of the Aurelian Walls and of the military Forts (19th-21stcenturies),Università degli Studi ROMATRE
2022CA8BW3,MERMAID - MEdieval Romance Miscellanies As Instructional Devices,Università degli studi di MILANO
2022CEJ348,AMATI Vi(H)olinAdvanced Multimodal Analysis based on noninvasive fullield physics Techniques for InnovativeViolins Holistic inspection,Università degli studi di VERONA
2022CHASRE,Radical Exhibited ThoughtExhibitions of Architecture in Italy in the Contemporary Age,Università degli studi di BOLOGNA
2022CW8EYT,ArDiTeHis (Digital Archive of Spanish Text) and the digital editions of certainSpanish texts from the XVI to the XiX centuries,Università degli studi di CATANIA
2022EAZH78,TRAMED. Edition and Translation of Latin Medical Works of Late Antiquity.,Università degli studi di PERUGIA
2022EHZFWB,"COLERE HEREDITATEM BETWEEN PEACE, CONFLICTS AND GLOBAL CHANGE. A NEW AND OLD CHALLENGE FOR EUROPE",Università degli studi di BOLOGNA
2022EK7p7F,The CLALI project: a corpus for studying the language of autographs of Italianwriters (1450-1550).,Università degli studi di ROMA La Sapienza
2022EZ7WMW,"The British Wave: The Impact of British Views of Human Nature, Morality, andReligion on 18th-Century German Philosophy",Università degli studi di MILANO
2022F38ZB3,DIgital twin and Modern HEritage modelliNg towards Sustainable InfOrmedmaNagement - DIMHENSION,Università degli studi di ROMA La Sapienza
2022FENML2,"Theories, Philosophies and Politics of Bodies in Network-Connected DigitalUniverses",Università degli studi di BARI ALDO MORO
2022FJ22CF,Medieval Churches: Building Site Practices in a Comparative Perspective,Università degli studi di PADOVA
2022FK9THF,"PolEmA - Polycentric Empires in Western AsiaConnectivity, texts and settlements from Ctesiphon to Afrasiyab and beyond.",Università degli Studi di ROMA La Sapienza
2022FL299Z,Universal Latin Chronicles in Medieval taly (1183-1340): Evolutions and Networksbetween Traditional Models and (Pre-)Humanistic Experiments,Università degli studi di MILANO
2022FL4775,Philosophical Reviews in German Territories (1668-1799),Università Ca' FoscariVENEZIA
2022FLT28B,A direction in transition. A study of directing processes in Italy starting from the1990s. Digital cataloging of documentary material and historical and critical analysis.,Università degli studi di NAPOLI L'Orientale
2022FNR3ZJ,Digital Bandello: Scholarly Edition and Commentaries.,Università degli studi di MODENA e REGGIO EMILIA
2022Fjx9YZ,"Chinese narratives and the narration of China in Iltaly: literature, cinema and art at the intersection of cultural diplomacy and cultural industry",Università Ca' FoscariVENEZIA
2022H3X748,"Understanding Natural History: Nature, Evolution and Human Beings. A NewPhilosophical Framework",Università degli studi di PADOVA
2022H82FCX,Greece in Italy: Cultural Intersections from the 1821 Greek Revolution to theEconomic Crisis of the 2010s,Università degli studi di ROMA La Sapienza
2022H88MAC,"Lterature and Sciences in the Nuova tali (1848-1915): Psychology,Anthropology, Medicine.",Università degli studi di GENOVA
2022H8sz92,Between Text and Performance: Race and Gender in Anglophone Literatures andCultures (1970s-today),Università degli Studi ROMATRE
2022HE32C5,DAEL - Digital Archive of Eighteenth-century Letters,Università degli studi di PADOVA
2022HE8ZHs,"Detached frescoes, conservation and museum setings. Historical research, non- invasive diagnostic and Digital Heritage for a new inclusive Museology.",Università degli Studi di VERONA
2022HHBXF8,"DIS-AR-MER*-Drawings of Architecture ) in Southern Italy (15th -18th century)*The acronym, derived from the Italian title (DIsegni di ARchitettura nel MERidione), prefiguresthe intent to defuse (disarm) the commonplace of cultural delay in Ssouthern Italy and of thesimple local acceptance of models which had been elaborated elsewhere",Università degli Studi di PALERMO
2022HJW23K,RETI REndering Texts and Images. Digital Scholarly Editions with EditionVisualization Technology,Università di  PISA
2022HNTcXS,"Aeschylean Tragedy: Text, hypotexts, performance",Università di  PISA
2022HT3xYP,"Chivalric Spaces. A digital landscape of texts, stories and narrative motifs ofprinted popular chivalric literature in Italy and Spain",Università degli studi di ROMA La Sapienza
2022HTJ7MN,FILMUSP – Music Publishing and Film: Toward a Production History of theSoundtrack in Italy (1958-1976),Università degli Studi di MILANO
2022HYE33P,Cultural Communities and Seventeenth-Century Books of Verse: The ItalianContext,Università degli studi di BERGAMO
2022HYsFNR,The Crossmodal Congruence Toolkit: a Behavioural Neuroscience Framework forSpatial Design,Università degli Studi di PARMA
2022HZPCL9,DAISI. Anastilosi digitale e interpretazione interativa degli spazi: nuovemetodologie per la storia delarte.Tre laboratori esemplari sulle chiese mendicanti italiane tardo-medievali (secc. Xll-XV).DAISI.Digital Anastylosis and Interactive Spatial Interpretation: new methods for Art History.Exemplary case studies of Italian late medieval mendicant architecture (Xl-XV centuries).,Università degli Studi di FIRENZE
2022J4ER9X,A Pilot Project in the Digitisation of Epigraphic Manuscripts (ProDEM): Senator Filipo Buonarrots Papers and Antiquarian Culture under the Last Medicis,Università degli studi di FIRENZE
2022J52TZY,The Mediterranean through Chinese Eyes: An Analysis Based on Geographical andTravel Sources from the Song to Qing Dynasties (960-1911),Università degli studi di PALERMO
2022JCYBXM,"INFORTREAT. Reconstructing the Early Modern bastioned front. INformationmodels for the fruition of constructive knowledge in FORtified architecture TREATises (16th-18thCentury): a new integrated analysis tool for the interpretation, restoration and maintenance ofEarly Modern fortified heritage.",Università di  PISA
2022JELMNK,1920-2020: Phantasmagories of war in contemporary literary experiences,Università degli studi di PALERMO
2022JF8PL,The return to painting and the persistence of the image.The New Italian Way,Università degli studi di FERRARA
2022JM4H92,Plurilingualism in Hitite Anatolia: the case of the Hurrian and Hattic traditionbetween reception and translation.,Università degli studi di PAVIA
2022JMBc38,"VeLoCi- The Vesuvian Lost Cities before the “Discovery. Sources, Experience, Imagery in Early Modern Period",Università degli studi della Campania Luigi Vanvitelli
2022JMJLc2,Italian Cinema in light of new sources from the Vatican Archives on the Pontificateof Pius XIl (1939-1958): Strategies of Communication between silence and Public Rhetoric fromthe World War to the Cold War,Università degli Studi di MILANO
2022JPNKZ4,SPLASCH | Smart PLatform and Applications for Southern Cultural Heritage,Università degli Studi di Napoli Federico II
2022JR8z8P,Social Transformations and the Crisis of Expertise,Università degli studi di TORINO
2022JRXA9L,Hidden in plain sight: gold and silver altarpieces in medieval Venetia,Università Commerciale Luigi Bocconi' MILANO
2022JYMWMs,"MIsERABILIA: Spaces and Specters of Misery. Epicenter of Studies, Research,Theories and Projects for the Development of an Image and a Reality for the ContemporaryItalian City",Università IUAV di  VENEZIA
2022K4CP7C,Deconstructing Lombard Identity. For a new Vision of Romanesque Sculpture in the North Italian Context,Università degli studi di PAVIA
2022KHWYLM,"Sport Politics: Football, Media, and National Identity in Italy (1968-2006)",Università degli Sstudi di ROMA La Sapienza
2022KPWZFL,"Cinema and the LGBTQ+ movements, from the first traces to institutionalization(1945-1989)",Università degli Studi di MILANO
2022KSNJ4,Petrarch online: New Perspectives,Università Cattolica delSacro Cuore
2022KWLTWA,Digital Leopardian Letters (EDiLe),Università degli studi di MACERATA
2022KZFEKX,Dante in the contemporaneity. Theatrical rewritings,Università degli studi di TORINO
2022L547TR,"Epic writing and Tassos Library. Cultural spaces, critical perspectives and digitalenvironments.",Università degli studi di PADOVA
2022LB2FNL,An idle question? Rethinking and commenting on early nineteenth-centuryLiterature,Università degli studi di ROMA La Sapienza
2022LB5YW4,"Bodies, ecology and moving identities: towards a partnership paradigm(Acronim: BEAM)",Università degli studi di UDINE
2022LB835Y,"MOV..E. - Moving Images Exhibitions. Film museums, audiovisual heritage:historical perspectives, strategies of enhancement and contemporary ecosystems",Università degli studi di CATANIA
2022LF72JW,"VENUSIA JUDAICA: ADVANCED TOOLS FOR EPIGRAPHICAL, ARCHAEOLOGICAL,GEOMINERALOGICAL INVESTIGATION, SUSTAINABLE FRUITION AND PRESERVATION OF THEJEWISH CATACOMBS OF VENOSA",Università degli studi di NAPOLL'Orientale
2022LFR494,The technological mediation of the Human. Faces and gestures in the forms ofdigital self-representation.,Università degli studi di PAVIA
2022LHskKR,"Transmission of performing knowledge in Italian theatre culture. History, theoryand practices",Università degli studi di ROMA La Sapienza
2022M3FK9C,"Reviving The Liberal: Literature and Poliics between Britain and Italy, 1821-23",Università degli studi di PARMA
2022M92E5J,"Monsters, Sorcerers, and Witches of Northwestern Europe: The Medieval and Early Modern Construction of Otherness in Literature for Popular Audiences",Università degli studi di SIENA
2022MAAYRT,Populist landmarks between theory and history. Hegemony and regimes oftruth as keys to determining the epistemic relevance of populisms,Università degli studi di Urbino Carlo Bo
2022MKPF9Y,The Paradigm Shift in the Modern Understanding of Freedom,Università degli studi di FERRARA
2022ML3N9,"Transmediality: media, science, genres, arts in Panhispanic poetry (1980-2022)",Università degli Studi di PADOVA
2022MMPYF4,Reception and Transmission of Greek Texts from Byzantium to the Renaissance:Towards a Repertorium of the Greek Scribes in the Italian Libraries (RCG-Italia),Università degli studi di MILANO
2022MPsE2P,"Literary California 1884-2022: Spaces of Exception, Spaces of Disaster",Università Ca' FoscariVENEZIA
2022MRWN2K,Movement Experience Through Rhythmic Organization in AudiovisualRepresentational Texts (METRO_ART),Università Cattolica delSacro Cuore
2022MS47sC,"LiMINA - Lost in Manuscripts. Ideas, Notes, Acknowledgments",Università degli studi della Campania Luigi Vanvitelli
2022MYMsLK,Female voices in a public context: authorial articulation and mimeticrepresentation in ancient Greek literature,Università degli Studi di Napoli Federico II
2022N2WTM4,The neo-Kantian reception of Schiller between Platonism and Kantianism(neokasch),Università degli studi di Napoli Federico II
2022NE2LWP,"ParaText – Refining methods, tuning tools, enhancing book heritage for the studyof the relationship between text and exegesis in manuscripts of ancient Greek poetry.",Università degli studi di PAVIA
2022NSAXYP,RE3WORK - REsilient REtrofitting and REuse of Water heritage and builtenvironments: multi-objective Optimization for RisK mitigation and cultural enhancement,Università degli studi di ROMA La Sapienza
2022NW5BcC,Ancient and modern tools for the transmission of linguistic knowledge: thetradition of Latin grammar,Università degli studi di VERONA
2022NZRBRH,The Wheel of Time: An Inquiry into New Sources of Late Indian Buddhism (X-Il ent.),Università degli studi di NAPOLI L'Orientale
2022Nss7AK,Classica Serica. The language and literary characteristics of East Asian Latin and the impact of classical texts on Latin Texts of Eastern Asia between Medieval and Early ModernAge,Università degli studi di TORINO
2022P5FA2H,Ariostos library. For a new commentary on 1532 Orlando furioso,Università degli studi di FERRARA
2022P749MT,"Performing arts, economics, and cultural policies. New interpretative paradigmsbetween aesthetics and social sciences",Università degli studi di BOLOGNA
2022PCN7BY,"Scholars at War Digital Library: an Innovative Environment for AdvancedDocument Management.Philology, Politics, Society, from the Franco-Prussian War (1870) to the fall of the Berlin Wall(1989) and Beyond",Università degli studi di CATANIA
2022PEA4ZK,"Reframing Italian Film Festivals: Histories, Politics, Cultures (RIFF)",Università degli studi di BARI ALDO MORO
2022PEL788,"The Galleria Borghese and its Public(s), 1888-1938",Scuola Normale Superioredi PISA
2022PPRLJW,Roman Orientalism: Mapping Cultural Interactions through Latin Literature (Ist c.BCE - IInd cC. CE),Università degli studi di Napoli Federico II
2022PRHZJY,SICINState of Information and Communication between Italy and Northern Europe,Università di  PISA
2022PXTYCL,M.A.R.E: Manuscripts and books from Asia Reaching Europe. A semanticallyenhanced digital library mapping Asian books circulation along the silk Maritime Routes.,Università di  PISA
2022PYXKPT,WInGS. Women Intellectuals in Greek Society,Università degli studi di MILANO
2022PZYKER,From Unconventional* Households to Unconventional Affordable Housing,Università degli studi di TRIESTE
2022PcRLJ9,"Vitruvius De Architectura in the Classical and in the Early Modern Age. Philology,Archaeology, Digital Library, and 3D Modelling",Università degli studi di BOLOGNA
2022R2WHF,Survey and digitization of spectacle sources. Identity patterns and socio-culturalexchanges in the migration of Italian artists to the United States (1850-1930),Università degli studi di BERGAMO
2022R2ZJs2,NEREIDE - NEw Reading Experiences In the Digital Ecosystem,Università degli studi ROMATRE
2022R43s2A,WOmen Writing around the camera (WoW),Università degli studi di SASSARI
2022R4PYH3,"Marco Polo - from Venice to World Literatures (MarVeLs). Textual, inguistic, andsocio-cultural factors in the spreading of Devisement dou monde through space and time(13th-16th centuries).",Università Ca' FoscariVENEZIA
2022R7NKFZ,Womens Writings and national identity,Università degli Studi di FOGGIA
2022RBB99R,Letters for the arts: Farnese art patronage through correspondence (1534-1589).,Università degli studi della TUSCIA
2022RFC5ZR,The Dante Ancient Commentaries Corpus (CoDA). Digital Tools for Lexicographyand Exegesis of the Commedia.,Università degli studi di Napoli Federico II
2022RHCY5P,Knowledge of Things: Reassessing the Indigenous American Heritage in Italy(KNOT),Università degli studi di ROMA La Sapienza
2022RMYM9L,"Reuse, reworking and repurposing of Medieval Sculpture in the Modern Age:material evidence, historical research and new technologies",Università degli studi di TRENTO
2022SA97FP,"Early Modern Spanish Theater (1570 - 1700): textual transmission, europeancirculation, new digital resources",Università degli Studi ROMATRE
2022SLEC3C,TOMMASEO PAPERS ONLINE,Università degli studi di FIRENZE
2022SW5X3C,INTEGRATION_INTEllectual miGRATION: circulation of philosophical books and ideas around the ancient Mediterranean through the evidence of Graeco-Roman papyri.,Università degli Studi di FIRENZE
2022T7L8HK,Teaching Literature: a Field of Research,Università degli Studi di SIENA
2022T9sCN8,"From the Pen to the Type-sort. A Renaissance Mass-media Revolution, 1465-1515",Università Cattolica delSacro Cuore
2022TBN35M,Web-based Textual Corpus of Central-Italian Dialects (CorTIM),Università degli studi G.d'AnnunzioCHIETI-PESCARA
2022THKLFF,GO-IN!diGital platfOrm for INner areas.Interactive virtual platforms for the enhancement of fragile contexts and their cultural heritage.,Università degli Studi di PAVIA
2022TM7WEJ,Collectives at the table - COLTA,Università degli studi di PALERMO
2022TNP3K8,"Diplomacy, Rhetoric and Pragmatism. A Study on Greek Acts and Privileges issuedby the Byzantine Emperors to the Italian Mercantile Cities (AD 1100-1400)",Università degli studi di BOLOGNA
2022TWKJTR,Theatre Festivals between Local and Global. Rethinking Theatre and Performance in Italy from the 1950s to the 1970s,Università degli studi di ROMA Tor Vergata
2022W2cBXS,MUSE. MUSical Ecosystems of Ancient Northern Italy (X B.C.-VIl C.E.),Università degli studi di PADOVA
2022W33NXT,Kanon: Epicurus Epistemology and Its Roots,Università degli studi di ROMA La Sapienza
2022W8FAHM,"Dicendo discitur. Assessing the educational value of declamation, from early imperial age to current times",Università degli studi di GENOVA
2022W8WYYJ,"Claudio Magris, European Intellectual: Archival Survey, Critical Study andEnhancement of the Collection at the Archivio Bonsanti (Florence)",Università degli studi di FIRENZE
2022WA2Y3Y,Schopenhauers Impact. The Schopenhauer-Schule and nocturnal humanism(Schop-Act),Università del SALENTO
2022WAPW5X,"Renegotiating Europes indentities. Trans-integrations, cross-roads and bordes inEast-Central Europe.",Università degli Studi di TORINO
2022WZT75F,INSITE - INTEGRATED SHARED KNOWLEDGE: FROM GEO-PALEONTOLOGICAL HERITAGE TO PRESENT TERRITORIAL CHALLENGES,Università degli studi di Napoli Federico II
2022WsBEE9,Dear Linder.: histories of texts and editions in the ALl-Erich Linder archive,Università degli studi di PADOVA
2022WsxJc5,"The mask between rituality and theatre. Archaeological, iterary, historical,anthropological, and performative investigation of material culture in the classical world throughDigital Humanities tools with a view to a broader, fairer and more inclusive cultural fruition.",Università degli studi di Urbino Carlo Bo
2022WxWwMC,The multisensory and interactional nature of music experience. Mergingaesthetics with bioengineering to investigate the multidimensional structure of musical sound.,Università degli studi di VERONA
2022X5B4EM,MediArsI - Interlacing Medieval Art in Southern Italy from the Normans to theHohenstaufen (11th-13th century),Università degli studi di BARI ALDO MORO
2022XJ8cxs,Display: the presence of futureAn archive/laboratory of the immaterial heritage of architectural exhibitions,Università degli studi di CAMERINO
2022XRFSXR,The French in/of Italy: Code-MixiNG in Medieval Europe (FrIngE Project),Università degli studi di PADOVA
2022XS25NZ,"Towards the History of a Heterodox Tradition in Analytic Philosophy:Transformative, Humanistic, Conversational",Università degli studi di ROMA La Sapienza
2022Y9s3H4,Textual Data and Tools for Coreference Resolution of Latin,Università Cattolica delSacro Cuore
2022YHNX9M,Dissonant Heritage and War. Conservation and Communication of a dificultlegacy- Co.Co. War,Università degli Studi di BOLOGNA
2022YNB8MR,"Entangled chronotopes: language, power, bodyscapes and religion in the first tenbooks of the Saunaka Atharvaveda-Samhita Šs.An overall reassessment (more than one century ater Whitneys magnum opus) of the Ss, in terms of its time-space coordinates within the Vedic cultural landscape,through a newly devised English (and Italian) translation of the verse and prose sections ofbooks I-X,adopted as a hermeneutical device to map language onto real and imaginary objects andinstitutions.",Università degli studi di CAGLIARI
2022YRSNNS,"WilDebate.Coexistences, Bio-cultural Frictions and Pastoralism in Protected Areas",Università degli studi delMOLISE
2022ZAH9HC,Manuscripta Italica Allographica (MIA). ltalo-Romance Texts Written in non-LatinCharacters from the Middle Ages to Modern Times,Università di  PISA
2022ZAKMJH,"Rome in the Nordic Countries. Images of ancient and modern architecture, 17th-19th century: diffusion, collections and functions in the development of a shared Europeanlanguage of Classicism",Università degli studi di ROMA La Sapienza
2022ZJ3PT9,"A Case of Minor History?Agency and dissent in Italian independent cinema, between art and counter-information,viewing modalities, and experimental film-format practices (1961-1976)",Università degli studi di UDINE
2022ZJ4N9E,NAPLES DANTE PROJECT,Università degli Studi di Napoli Federico II
2022ZT2NZJ,The Digital Encyclopedia of Boccaccios Decameron,Università degli Studi ROMATRE
2022c7KF8X,The Golden Age of talian Animation. From Economic Boom to the Years of Lead(1957-1977),Università degli Studi ROMATRE
2022cFA3L8,"Women, theatre, fascism",Università degli studi ROMATRE
2022cP88KY,"LIBMovIT - Libraries on the move: scholars, books, ideas traveling in Italy in the18th century",Università degli Studi di BOLOGNA
2022cWL4H2,PoetRi. Female poetry of the Renaissance.,Università degli studi ROMATRE
2022cYBW9R,"Performing Arts and Digital Humanities: a mapping of the dissemination of the Italian model of spectacle in the 18th century Europe. The migration of professionals, the circulation of spectacle practices and ideas of theatre at the roots of European identity.",Università degli studi di FIRENZE
2022czWWKP,Musical Metaverse: an inclusive Extended Reality platform for networkedmusical interactions,Università degli studi di TRENTO
2022kKWJ4sH,Mapping the history of subaltern literature in Southern Italy,Università della  CALABRIA
2022s3NCNT,"Open Science: Theoretical Presuppositions, Historical Developments andOperative Applications",Università degli Studi di SALERNO
2022s3Xzz5,From Post-Trauma to Ecology: Contemporary Gender Narratives in SIlavic CulturalTexts,Università del SALENTO
2022s5LET5,The textual legacy of the Ostrogoths in taly: The Bible version and other texts(Acronym: LegOst),Università degli studi di PERUGIA
2022sEK27B,Politics of Worship pre- and post-Reformation,Università degli studi di ROMA La Sapienza
2022sSEAZK,Representing Arcadia Before and After the Arcadia (1504-1790),Università degli Studi di PADOVA
2022sYRN27,ArDIRe. Digital archives and dictionary for the early artistic recipe books in theItalian Language (late 14th-16th century),Università degli Studi di TORINO
2022x78zKL,"Minor Italian poets of the XIVth century. A reconsideration of the historiographicalcanon by means of new editions, commentaries, archival research.",Università degli Studi di TRENTO
