codice,progetto,istituzione
2022EHLWYE,"Spatializing Jews and the Economy. Towards A Digital and Dynamic Atlas: People,Business, Artifacts in Global Italy (14th-20th centuries)",Università degli studi di MILANO
2022EJ2NM5,Why did people settle in that place? An integrated and comparative approach tothe study of environment history and setlement choices in the island highlands: the case study,Università degli studi di CATANIA
2022EKBY9R,"Boundless Mobilities. People, Geographies and the Courts f talin MilitaryJustice in the 20th century",Università degli studi di PADOVA
2022ELZECR,MALTHUS. Rise and fall cycles of Bronze age populations in Northern Italy,Università degli Studi di BOLOGNA
2022F73293,"Nuclear deindustrialization. Human capital, business restructuring, andenvironmental change in Italy (1971-1999)",Università degli studi di TORINO
2022FATAHZ,SAPiens and SAPajus: evolution of technology in human and non-human primates,Università degli studi di ROMA La Sapienza
2022FFYLKT,Books of Science. Vernacular Mathematics and Medicine Books in Fourteenth-Century Italy,Università degli Studi di FIRENZE
2022H3K7W9,EARTHERITAGE. Earthen Heritage in the Eastern Mediterranean betweenArchaeology and Sustainability,Università degli studi di SIENA
2022HAELRH,"MATERIAL CULTURE AND RISORGIMENTO: ACTIVISM, EMOTIONS, MOBILITY",Università degli studi di PADOVA
2022HC5ALS,Humans & animals @ Tarquinia & Gravisca.A new approach to investigating rituals and rituality through zoarchaeology,Università degli studi di MILANO
2022HFMcYY,"The age of the knights. Knightly pre-eminence, local societies and powers:new perspectives on the Italian countryside (11th - 13th century)",Università degli studi di ROMA Tor Vergata
2022HMH5MJ,"FRAME - Framing Medievalisms: Historiography, Cultural Heritage, MediaCommunication and Languages in Italy (1980-2022)",Università degli studi di ROMA La Sapienza
2022J4R8HA,"Mediterranean coastal lifestyles and mobility - an integrated and comparative study of paleo-environmental, archaeological, and social perspectives",Università degli studi di BOLOGNA
2022JJEAXT,"CRIME STORIES. JUSTICE AND PUBLIC SPACE (ITALY,18TH-19TH CC.)",Università degli studi di ROMA La Sapienza
2022JLFMNL,Unconventionally mendicant. Voluntary poverty and mendicancy betweenreligious inspiration and institutions.,Università degli studi di VERONA
2022JLc8sF,CHRONOs -The obsidian route in the central Mediterranean: diaCHRONic pathwaysand cultural connectiOns,Università degli studi di CAGLIARI
2022JNEHAS,"Engaged Citizens. Public-private partnerships and hybrid practices of sharedmonopoly on violence in Italy, 1861-1926",Università degli studi di PADOVA
2022K249PC,Kings men. The Imperial polical Network in taly (12th century),Università degli Studi di TORINO
2022K2FYZs,"Visualizing Jewish Cultural Heritage. Toward a Digital and Dynamic Atlas: People,Artifacts, Books and Manuscripts in Global taly (15th-20th centuries)",Università degli studi di BOLOGNA
2022K4Z8WL,SHERDs - networks in HelleEnistic and Roman meDiterranean - Making andManaging History with Material Culture,Università degli studi di CATANIA
2022K8YKMR,"WALL-Fare. The earliest citadels. Walled landscapes, conflict and social change inBronze Age South-Eastern Italy",Università del SALENTO
2022K9882Y,Tradition Processing (TRA.PRO). Forms and patterns in the transmission and tradition of the Book of the Dead,Università Ca' FoscariVENEZIA
2022KEZ2ES,"Bronze Encounters Context: Archaeological and physical Understanding of pre-Roman bronze Statues Excavated at San Casciano dei Bagni (Siena, Italy)acronym: BECAUSE",Università per Stranieri di SIENA
2022KKWTTK,"The Economic Thought of talian Women (1750-199): Methodological Issues,Ideas, Impact, International Links, a Census and an Online Database",Università del SALENTO
2022KRK73N,Gis-DIARIES of Gortyna. A Digital Integrated Archaeological Repository of Information for the Enhancement and Study of Gortyna,Università degli studi di SIENA
2022KS4TMT,"Say, do, vote. Mobilization for political citizenship in the age of suffrage (1819-1920): Italy in the Euro-Atlantic space",Università degli studi di BOLOGNA
2022L5HLY,"2022L5HLY- eartHeritage -A cultural rescue initiative for earthen heritage: An interdisciplinary, diachronic and trans-areal approach to interconnected artistic productions in clay and stucco in Iran, Iraq, Central Asia and the north of the Indian subcontinent (3rd cent. BCE-8th century CE)",Università degli studi di NAPOLI L'Orientale
2022LE33T8,APENNiNEsCAPE. Marginal landscapes and production processes along the Renoand the Bisenzio-Sieve valley districts during the 1st millennium BC,Università degli studi di BOLOGNA
2022LFKPNH,"SLOW sUMER. Repair, Reuse, Recycling and Southern Mesopotamian Society inthe Changing World of 2500-2000 BC",Università degli studi di ROMA La Sapienza
2022LKZEPA,One Hundred Years of European Historiography. Study and Valorization of theRivista Storica Italianas Archive.,Università degli studi della Campania Luigi Vanvitell
2022LP8CF4,"Social Envy.Competition, rivalry, ambitions (1st century B.C. - 3rd C. A.D.)",Università Cattolica delSacro Cuore
2022LPTKM2,SCribes and notaRles in Byzantine Oxyrhynchus (SCRIBO),Università degli studi di UDINE
2022LR3MXJ,INVISIBLE ACTORS. AN INTERDISCIPLINARY RESEARCH ON WOMEN & CHILDREN IN LEVANTINE AND WESTERN PHOENICIAN-PUNIC HUMANSCAPES DURING THE 1STMILLENNIUM BC,Università degli studi di SASSARI
2022LX5XMY,BRINGING OUT AN INVISIBLE FEMALE LITERARY CORPUS: RELIGIOUS WRITING IN THE FRENCH-SPEAKING WORLD AT THE TIME OF THE COUNTER-REFORMATION. CENSUS ANDREPERTOIRE OF A NEW CORPUS. TOWARDS A REORGANIZATION OF THE CANON IN A GENDEREDPERSPECTIVE,Università degli studi di UDINE
2022LcsM5Z,"Redde rationem. Order, calculation and reason in the urban societies of lateMedieval taly",Università degli studi di CAGLIARI
2022M4WPFS,Ancient Landscapes of Anatolia in the Bronze Age (ALandA),Università degli studi di MILANO
2022M9HP3X,The Twilight of Internationalism,Scuola Normale Superioredi PISA
2022MAF7XH,Europes Search for Strategic Autonomy : from the late Cold War to the NewMillennium,Università degli Studi ROMATRE
2022MR88HA,Alla moderna Fortresses for a Prototypical Early Modern State. The BastionForts of the Papal State of the Sixteenth and Seventeenth Centuries: New Urban Roles beyondCentre and Periphery,Università TelematicaPEGASO
2022MTZYJL,BIOGRAPHICAL DATABASE OF ITALIANS IN CHINA: 1866-1970(BDIC 1866-1970),Università degli studi di ROMA La Sapienza
2022MWNY2A,Inequality and generations in Italy (1914-2008),Università degli studi di BOLOGNA
2022MzTN82,Nationalist networks in Europe 1919-1933,Università degli Studi ROMATRE
2022NBP4AW,"Near Eastern Empires at Work (NEEW). An archaeological approach to the studyof empires, their organisation and impact on local societies and landscapes in northern Iraq.",Università degli studi di UDINE
2022NL9XHJ,Populating Byzantine Southern Italy,Università del SALENTO
2022NY99ZP,"Municipal promotions in Africa Proconsularis and Numidia between Caesar andGallienus: institutions, society, economy",Università degli Studi di SASSARI
2022NYWKHF,The assessment of regional development policies in Italy through a newdatabase (1950s-2000s),Università degli studiMagna Graeciadi CATANZARO
2022P3BXJT,Loyalty Allegiance Consensus. Europe and Spanish Colonies in 18th century,Università degli studi di FIRENZE
2022P9Ks5K,Italian Lily. People and Books from Italy to France in the Sixteenth Century,Università degli studi di ROMA La Sapienza
2022PNKHAP,"Environment, Settlement and Production: Exploring Human-Environment Interaction in the Productive Landscapes of Medieval ItalyAcronym: ESP",Università degli studi di BOLOGNA
2022Pc8Y93,#EtiamEgo. Violence against women in ancient Rome: historical perspectives andsymbolic constructions.,Università degli Studi di TORINO
2022RM5sFJ,"Musealising the Italian Scientist (1839-1939): Practices, Narratives, Memories",Università degli studi di BOLOGNA
2022RTJ5AM,Truce as damage imitation in violent conficts: language and practices of treuga in Medieval taly (Xll-XV centuries),Università degli studi di MACERATA
2022RYN7BX,Reframing Globalization in European Peripheries: Intellectual and Expert Networks Facing Political and Economic Transformations (1975-2022).,Università degli studi di FIRENZE
2022T382KE,From deglobalization to autarky: crisis and metamorphosis of Italian economy inthe 1930s,Università degli studi di PADOVA
2022T3J3LF,"Memory and space in ancient Athens. Topography, monuments, mindscapes",Università degli Studi di TRENTO
2022T4T3Y8,West and East: an interdisciplinary approach to the archaeology of Alpineecosystems (AlpEcoArchaeology),Università degli Studi di VERONA
2022TETCAM,"Exile, Transnational Intellectual Networks, Knowledge Transfer: The Italian Casebetween 1940s-1960s",Università degli studi di VERONA
2022TF9cK2,Corpus of the Medieval and Renaissance Scribes in Italy (Scriblt),Università degli studi di FIRENZE
2022THRFNH,Universalism and Rights of Man: Late Enlightenment,Università degli studi di TORINO
2022TJPFW2,"An anti-Protestant International: Strategies, Networks and Actors ofTransnational Catholic anti-Protestantism (1898-1958)",Scuola Normale Superioredi PISA
2022TT5797,Constructing Intergenerational Ties: Charity and Welfare in Italy and the IberianWorld (16th-19th Centuries),Università Cattolica delSacro Cuore
2022TW7PHJ,Mediterranean Multipolarity and Roman Unipolarity. Power Competition and Collaboration in the Graeco-Roman Geopolitics (3rd-2nd century BCE),Università degli studi di BERGAMO
2022W8NH4E,The quality of life in Greek and Roman cities: perception and policy,Università degli studi di NAPOLIL'Orientale
2022WFLZ3K,RIPRESa - Re-assessing Italian prehistorical studies from a transdisciplinaryperspective,Università degli studi di VERONA
2022X38CP8,"ARCHITA - ARCHaeological and ARCHitectural Integrated platform for TAras From scientific research to a new interactive platform for knowledge, conservation, managementand dissemination of archaeological data related to an ancient settlement",Università TelematicaUNITELMA SAPIENZA
2022XBMWZ3,Political Repression and International SOlidarity Networks (PRIsON). The Transnational Mobilization on Behalf of Political Prisoners in the Interwar Period (1918-1939ca.),Università Ca' FoscariVENEZIA
2022XTsEZ3,ON: Objects in network.The social life of things in the fifteenth century between notarial sources and semantic web,Università degli studi di BOLOGNA
2022Y893Ys,Urban Economy Begins: Structural and Quantitative Aspects of Early City StateEconomies in the Ancient Near East (2900-2350 a.C.),Università Ca' FoscariVENEZIA
2022YE9NBH,"Arms, Beads and Cloth. African Consumers and the 19th-century Global Economy",Università degli studi di BOLOGNA
2022YsxWKs,Digital Inquisition: tools for multimedia access and exploitation of the Archive of the Congregation for the Doctrine of the Faith,Università degli studi di MODENA e REGGIO EMILIA
2022Z4LL54,Disentangling human infants Plasticity during sUbsistEnce tRansitlons: an innovative integrated approach - PUERI,Università degli studi di PADOVA
2022c24YSJ,"The lagoon of Venice in Antiquity.Settlement dynamics, adaptive behaviours, paleoenvironmental reconstructions",Università Ca' FoscariVENEZIA
2022c3BLH5,"We want bread, not bullets: lraqi fod politics in historical perspective",Università degli studi di NAPOLI L'Orientale
2022ccEA2R,Synchronized with Nature. Measuring time in ancient Egypt and Mesopotamia:archaeological and textual evidence,Università degli studi di ROMA La Sapienza
2022ccKT93,Copernicanism and the Holy Scriptures. The debate on heliocentric cosmologyand theology from Copernicus to Newton (1543-1687),Università Cattolica delSacro Cuore
2022pWY2Ys,Pyro-Transitions: prehistoric cultural changes in the use of fire from foraging tothe earliest farming societies,Università degli Studi di TRENTO
2022s23sZZ,"Making Korea a Religiously Plural Society? Historical, Legal, and Social Approaches",Università Ca' FoscariVENEZIA
2022sLF84R,VERNACOsM Vernacular Cosmopolitanism: History and Archives of ItalianSubalterns in Colonial Egypt (1864-1937),Università degli studi di BOLOGNA
2022sMJCHX,"Investigating Resilient Roman Agricultural Landscapes in Southern Italy. An integrated and open IT approach to modelling centuriation through archaeology, remotelysensed data, palynology and ancient texts (acronym In.Res.Agri)",Università degli studi di Napoli Federico II
2022sNTEFP,"How economics is changing: A multilayer network analysis of the recent evolution of economics journals, between specialization and self-referentiality (1980-2020)",Università degli studi di SIENA
2022sTEAZC,"Coping with environment: Economy, Ecology, and Sustainability in Early Modernnorthern Italy (1500-1800)",Università degli Studi di PAVIA
2022sW2xRF,"Sacred Fire: Inquisitions, Capital Punishment and Rites of Justice in Italy (13th-19th centuries)",Università degli studi di BOLOGNA
2022sszFT7,"Under Uncertainty. Coping with Risks in the Mediterranean Maritime Business(Italy, 16th-19th centuries)",Università degli studi di PARMA
2022x7M7XN,Italin Cold War Borders. A new Research Framework on Transformation duringDétente,Università degli studi di SIENA
2022xYsH4K,Italys energy governance in the global economy and politics: the role of naturalgas in the national energy transition strategy,Università degli studi di ROMA La Sapienza
2022xz5YAC,Lord of the rings: Dendro-isotopic curves from archaeological wood to reconstructmid-Holocene climate evolution and human impact.,Università degli studi di PADOVA
2022zT9HBW,"Ancient materia medica, modern therapeutic substances and drugs of abusethrough dental calculus",Università degli Sstudi di ROMA La Sapienza
2022zc82s8,"Worlds apart. Politics, Knowledges, and Representations of Confinement (16th-19th centuries)",Università degli studi di PERUGIA
2022zsT22H,Exploring scribal minds: the structural and visual organization of knowledge in,Università degli studi di TORINO
