codice,progetto,istituzione
202224R7K3,RuRES - Rural Resilience. Decentralised Landscapes and Ecological Strategies ofNon-elite Groups in Cisalpine Gaul,Università degli studi di MILANO
20222JZE7R,Cursing God. Blasphemy and its repression in Early Modern taly (late fifteenth -early nineteenth century),Università degli studi di BARI ALDO MORO
20222WZLNW,"The Italian Parliament in action. Players, issues and praxis(1968-1994)",Università degli studi di SASSARI
20222XZE8B,Writing communities. Council records in the late medieval AIlps,Università degli studi di TORINO
20222sY2K7,"Mapping and Translating Spaces, Cultures and Languages. Experiences from the Missions connected to the Portuguese Empire (1540-1700)",Università degli Studi di ROMA La Sapienza
2022392NLZ,Illusion and allusion. Rediscovering colours in roman and early medievalarchitecture,Università Cattolica delSacro Cuore
20223KRB3M,"CATO-POPULISMOS - Nationalisms and Populisms in the Pius XIls Age: CulturalCirculations, Religious Perceptions and Devotionals Practices across Europe and Latin America(1939-1958)",Università degli studi di  MODENA e REGGIO EMILIA
20223LYF7W,Trademarking Made in Italy. Trademarks and industrialization in Italy (1860s-1960s),Università degli studi di BRESCIA
20223N9FRS,EDUCATING TO DEMOCRACY.Historical investigations on the crisis of political representation and on the evolution of themodes of participation in Early Modern and Modern societies. Acronym: EADEM,Università degli studi di Napoli Federico II
20223W24AB,ARCHIM3DES - ARchaeological and Cultural Heritage documentation In Marineenvironment using advanced 3D mEtric Survey techniques,Università del SALENTO
20223jYc3T,Rome and the Others (300-1300). Foreigners in the city between conflicts andintegration,Università degli studi di ROMA Tor Vergata
202248BTEL,On the Edge.Archaeology and History of marginal landscapes of contemporary Apulia,Università degli studi di BARI ALDO MORO
20224W3J43,URCHIN - Unravelling changes in islands connectivity through integrated studies: the long-term perspective from Malta and the Tas-silg sanctuary,Università degli studi di ROMA La Sapienza
20224X9ATP,"Resilience of Ancient Coastal Communities. Multidisciplinary investigations intothe human setlement of the lranian coast of the Persian Gulf between the 6th century BC and the 1oth century AD, the climatic and environmental changes in the area and the reciprocal influences on the relationship between man and the environment.",Università degli studi di BOLOGNA
20224sFz7T,"The cloister and power. Maps and destinies of Benedictine monasteries in Apulia,Campania and Basilicata in the 14th-16th centuries: papacy, monarchy and feudality.",Università degli studi della BASILICATA
202254TLE7,"IN-FACTOR. The Factory of Indignation: Nature, Forms and Functions of aPhilosophical Passion in Modern Thought.",Università degli studi di MILANO
20225AFJ9E,MaBEMapping Byzantine Economy. An open digital platform to study byzantine coin hoards (498-1204CE),Università degli Sstudi di TRIESTE
20225H7WKE,CHILD Children History Italian Life Documentation. Children and everyday life in the ltalian postwar (1918-1922),Università degli studi di PARMA
20225N4ZNA,Hidden Landscapes of Latium,Università degli studi di FIRENZE
20227AXMFY,Gendering the Tenth Century: a tailored model for exploring the sources,Università degli studi di BOLOGNA
20227FYTRK,Civil Calendar and Memory Politics in Italy: National and Transnational Dynamics,Università degli Studi di PADOVA
20227JXEB2,"EStimating PREhistoric MObility in the mountainous regions of the Near East:animal management, raw materials procurement, technology and settlement patterns as indicators of movement and interconnections",Università Ca' FoscariVENEZIA
20227s7YXL,"FortNet: Fortification and population network in coastal Chaonia, Northern Epirus(Albania) between Iron Age and the Medieval period: a longue durée approach to the study ofsettlements, economic and defensive systems.",Università degli studi di BOLOGNA
202282LcSZ,Going global: An international history of Italy (1979-1996),Università degli studi di PADOVA
20228B294N,"AFTER THE ICE - Forager Uses of Persistent Places in the Late Upper Palaeolithicof the Circum-Adriatic Region: Perspectives from the Riparo Tagliente (Verona, Italy) and Badanj (Bosnia and Herzegovina)",Università degli Studi di FERRARA
20228C8EFW,ArchaeoAdWines - Archaeology of Adriatic Wine,Università degli studi di VERONA
20228KR93P,"FAmilies, Gender, Mobility and Interculturalism in the etrusco-italic necropolis.Some cases from Campania and Veneto (FaGeMI)",Università Ca' FoscariVENEZIA
20228ML5XY,For a Critical History of Artificial Intelligence,Università degli Sstudi SuorOrsola Benincasa - NAPOLI
20228sNZ2T,"ADigTex. Archaeology, Archaeometry, and Digitalisation of Ancient Textiles. FromPompei to the Roman Empire",Università degli studi di ROMA La Sapienza
20229MY7MJ,IdeNtity and SPECializaTion in Upper Mesopotamia (InSpect): the genesis ofsocial complexity during the Early Chalcolithic,Università degli Studi di ROMA La Sapienza
20229ZLWSH,BUILDING AN OPEN ACCESS LITHOTHEQUE OF ITALIAN KNAPPABLE ROCKSEXPLOITED DURING PREHISTORY - OPENLIT,Università degli studi di FIRENZE
20229zxsKA,"Eastern Europe between Russia and the West: Contested Spaces, IdentityBuilding and Memory Policies in Historical Perspective",Università degli studi di Napoli Federico II
2022A2s8A4,Glocal Spanish Influenza,Università degli Studi di SIENA
2022A8MY72,Imperial Entanglements: Latecomer Colonial Empires and the “Politics ofComparison (1880s-1940s),Università degli studi di Napoli Federico II
2022AL3XL2,MAPPING DAMAGE. Research on the archaeological heritage in the Tartus region(Syria). MAPDAM,Università degli Studi di FIRENZE
2022AZYHY3,Towards a Meta-Archive of Economic Expertise: Knowledge and Positive Law inLate Modern Experiments of Power (Kingdoms of Naples and Sicily).,Università degli Studi di FOGGIA
2022B39PAK,"PRIVIT. The Politics of Italian Privatisations. State, Energy and SocialTransformations in the International Context",Università degli studi di BARI ALDO MORO
2022B5FLRB,Governing consensus. The political role of knowledge in Italy (1789-1870),Università Ca' FoscariVENEZIA
2022B7RP3P,What went wrong? A retrospective analysis of destination policies inovertouristed hotspots.,Università Ca' FoscariVENEZIA
2022B9MBWY,"Framing the People (Italy, 12th-16th centuries)",Università degli Studi di FIRENZE
2022BC2Z5F,HABITs - Life-histories of prehistoric human groups in South America: a tale onenvironmental adaptations and subsistence economies,Università degli studi di BOLOGNA
2022BMsNA3,"Work, workplaces and mobility in preindustrial ltaly: a gender perspective",Università degli studi di PADOVA
2022BP9TJF,The Price of Progress. A Multidisciplinary Research on Human-EnvironmentInteractions in the Levant at the Dawn of Urbanism (3500-2000 BCE),Università di  PISA
2022BTKA9Y,"Marshlands, islands and marine coasts. Social complexities, tribal alliances andhuman mobility between Southern Mesopotamia and Eastern, South-Eastern Arabia during the3rd and 2nd millennium BCE.",Università degli Studi di ROMA La Sapienza
2022BTT2Y2,Bioarchaeology of climatic change: an investigation on the Late Antique Litle lceAge(acronym: BIOLALIA),Università di  PISA
2022BXT33X,The Renaissance Papacys Political Theology and Its Projects of Religious Reform,Università degli studi di ROMA La Sapienza
2022C2TAJT,Criminal Portraits. History and Photography of talian Crime News (1861-1961),Università degli studi di MILANO-BICOCCA
2022CY2J5S,"Historicizing AIDS.Polies, rights, discourses, and memorie in the talin case",Scuola Normale Superioredi PISA
2022CZN8WB,The missing link.Early Medieval urban public courts as centres of resilience and reinterpretation of Antiquity.,Università di  PISA
2022E9RTH8,A social history of horses in the age of italian communes (HIsTHOR),Università degli studi di MILANO
2022EA8FC7,The Digital Kennicot: Textual Transmission of the Hebrew Bible in the Middle Ages- DiKe (TexTHBM),Università degli studi di TORINO
