codice,finanziamento
2022JLC8SF,225.001
2022TW7PHJ,208.5
202224R7K3,271.4
20222JZE7R,187.272
20222SY2K7,366.683
20222WZLNW,240.099
20222XZE8B,271.13599999999997
2022392NLZ,220.63
20223JYC3T,232.75000000000003
20223KRB3M,253.174
20223LYF7W,377.345
20223N9FRS,351.70799999999997
20223W24AB,242.695
202248BTEL,347.05899999999997
20224SFZ7T,271.182
20224W3J43,281.92199999999997
20224X9ATP,295.519
202254TLE7,307.51
20225AFJ9E,208.407
20225H7WKE,194.824
20225N4ZNA,270.66
20227AXMFY,255.666
20227FYTRK,334.319
20227JXEB2,217.152
20227S7YXL,218.199
202282LCSZ,194.225
20228B294N,259.602
20228C8EFW,230.92399999999998
20228KR93P,296.368
20228ML5XY,244.502
20228SNZ2T,263.823
20229MY7MJ,247.88400000000001
20229ZLWSH,281.361
20229ZXSKA,251.076
2022A2S8A4,279.387
2022A8MY72,237.571
2022AL3XL2,312.132
2022AZYHY3,191.80400000000003
2022B39PAK,285.598
2022B5FLRB,262.121
2022B7RP3P,240.821
2022B9MBWY,267.9
2022BC2Z5F,208.334
2022BMSNA3,300.03
2022BP9TJF,465.511
2022BTKA9Y,187.563
2022BTT2Y2,216.185
2022BXT33X,208.068
2022C24YSJ,258.847
2022C2TAJT,219.945
2022C3BLH5,214.144
2022CCEA2R,320.2
2022CY2J5S,287.06399999999996
2022CZN8WB,342.40000000000003
2022E9RTH8,241.11700000000002
2022EA8FC7,250.0
2022EHLWYE,223.822
2022EJ2NM5,321.947
2022EKBY9R,195.835
2022ELZECR,271.261
2022F73293,215.18099999999998
2022FATAHZ,303.4
2022FFYLKT,310.848
2022H3K7W9,263.603
2022HAELRH,258.151
2022HC5ALS,216.888
2022HFMCYY,288.698
2022HMH5MJ,263.13
2022J4R8HA,292.996
2022JL5HLY,221.676
2022JLFMNL,269.689
2022JNEHAS,204.342
2022K249PC,296.76
2022K2FYZS,259.57399999999996
2022K4Z8WL,250.98
2022K8YKMR,197.45600000000002
2022K9882Y,248.774
2022KEZ2ES,395.18399999999997
2022KKWTTK,348.584
2022KRK73N,286.827
2022KS4TMT,250.358
2022LCSM5Z,296.344
2022LE33T8,259.7
2022LFKPNH,286.34999999999997
2022LKZEPA,195.31199999999998
2022LP8CF4,228.005
2022LPTKM2,157.293
2022LR3MXJ,235.98399999999998
2022LX5XMY,300.705
2022M4WPFS,320.837
2022M9HP3X,215.058
2022MAF7XH,288.505
2022MR88HA,296.51800000000003
2022MTZYIL,221.221
2022MWNY2A,285.394
2022MZTN82,238.871
2022NBP4AW,257.074
2022NL9XHJ,271.89
2022NY99ZP,302.96999999999997
2022NYWKHF,299.112
2022P3BXJT,373.75
2022P9KS5K,196.444
2022PC8Y93,294.937
2022PNKHAP,254.879
2022PWY2YS,258.687
2022RM5SFJ,221.872
2022RTJ5AM,249.45000000000002
2022RYN7BX,204.348
2022S23SZZ,145.59
2022SLF84R,271.046
2022SMJCHX,267.338
2022SNTEFP,231.608
2022SSZFT7,248.467
2022STEAZC,237.5
2022SW2XRF,227.001
2022T382KE,192.925
2022T3J3LF,208.501
2022T4T3Y8,302.236
2022TETCAM,286.048
2022TF9CK2,331.27799999999996
2022THRFNH,303.921
2022TJPFW2,228.721
2022TT5797,281.347
2022W8NH4E,198.644
2022WFLZ3K,232.804
2022X38CP8,235.88599999999997
2022X7M7XN,229.039
2022XBMWZ3,255.30700000000002
2022XTSEZ3,252.49400000000003
2022XYSH4K,249.118
2022XZ5YAC,229.404
2022Y893YS,194.49
2022YE9NBH,255.514
2022YSXWKS,207.477
2022Z4LL54,240.25400000000002
2022ZC82S8,258.3
2022ZST22H,235.05
2022ZT9HBW,291.628
2022ccKT93,228.882
