codice,finanziamento
202222EJZE,229.75900000000001
202223PL4N,253.785
2022289RNA,244.614
20222AW3JL,137.7
20222B4ZHF,253.497
20222FC7A8,229.748
20222HHXAX,212.30700000000002
20222ZLPFC,273.953
202233C93X,106.675
20223EHJKW,265.127
20223FZJR4,204.95999999999998
20223K8B3X,227.006
20223SRYFJ,240.362
20223XH5XM,262.295
202245M2HA,257.233
2022494P5L,290.87800000000004
202249C5XL,216.64
202249CYPP,325.376
20224CEJE8,281.421
20224FWF2J,252.084
20224H5ZYF,198.976
20224HXFLY,212.5
20224RFY93,303.336
20224RHTNL,157.25
20224SX547,233.643
20224X95JC,286.624
20224XEE9P,243.969
20224XSWRH,212.5
202254RHRT,220.0
202255SLRT,273.30999999999995
20225BZY5J,222.85899999999998
20225ECXPP,324.13300000000004
20225EJ4CJ,268.775
20225MH5NM,295.202
20225PJ2JM,248.20999999999998
2022748MSA,274.072
202275ZA5H,288.274
2022772HTJ,252.73600000000002
20227BY8BA,253.44099999999997
20227FWEZ5,216.393
20227MPSEH,257.926
20227ZYLH9,332.35
202284WCP9,219.53199999999998
20228A5WPZ,318.609
20228JCCPN,321.226
20228JMSSN,198.64999999999998
20228NXSAY,159.814
20228P4H2K,248.386
20228XPP9T,269.515
20228Y4ZAM,237.888
20229FS8MZ,252.499
20229MRLMR,211.65300000000002
20229NZEKP,249.129
20229PSYEP,249.466
20229PT9WN,228.425
20229R3JMA,200.0
20229SHZC4,240.261
20229W73WR,277.714
20229ZFAJ3,218.947
2022A74X79,255.106
2022AKTAK8,258.885
2022AL38E4,247.01500000000001
2022AP2ZT3,253.494
2022APAFFN,187.2
2022ARRY9N,263.33
2022B9NZC4,247.14000000000001
2022BNE97C,260.13599999999997
2022BNMZJC,211.56199999999998
2022CA2FK8,244.273
2022CCPJ3J,233.854
2022CEXC5T,240.162
2022CR8E8W,271.433
2022CS3XR3,231.642
2022CTH74H,212.61399999999998
2022CX5TLZ,212.10399999999998
2022CZF8KA,261.762
2022E5TBEM,204.984
2022EBC78W,277.55899999999997
2022EC7LZF,245.886
2022EMT25Y,258.395
2022EX4W8E,292.677
2022EZT393,200.0
2022F4Z8YH,269.19500000000005
2022FFPSBY,330.523
2022FL4W7L,249.846
2022FT8HNC,248.918
2022FZ595K,245.197
2022H2J3N3,285.855
2022H4WZKN,153.0
2022H4ZRSN,263.842
2022HBK4NP,229.847
2022HEKCWH,236.07999999999998
2022HXZR5E,493.175
2022JB5KAL,273.966
2022JLB83Z,269.86400000000003
2022JS4SY2,246.598
2022JT5N3J,242.959
2022K744JB,182.08499999999998
2022K7FR2H,234.736
2022KBW99S,267.094
2022KPNY3B,249.69899999999998
2022KR9Y29,232.30700000000002
2022KTB2KX,260.378
2022KXJYJA,222.493
2022L3AALJ,240.404
2022LC4FT7,248.501
2022LHWSEE,192.005
2022LJZRBY,232.765
2022LLLN7B,271.21799999999996
2022LR399B,212.784
2022LYRT8E,259.507
2022M4T9SB,238.738
2022MWZYKT,255.76299999999998
2022N3EH4K,299.541
2022N87CR9,227.544
2022NEE53Z,262.041
2022NH8W3C,229.53199999999998
2022NPXYHH,271.736
2022NTCHYF,322.002
2022NWRENN,287.34000000000003
2022P7WP37,251.664
2022PFSJNW,260.116
2022PMFMSE,211.36399999999998
2022R8P3TZ,238.627
2022R9K3AR,200.61
2022RAESSJ,239.35999999999999
2022RAR7EY,196.248
2022REJEB4,237.278
2022RSTTAZ,290.336
2022RTK44N,247.066
2022RYY2A7,325.76300000000003
2022S8PEY7,276.503
2022S9ZMAY,212.478
2022SJPY9E,212.78199999999998
2022SM4XC8,295.926
2022SP5K99,204.98399999999998
2022SYAW7A,310.633
2022T42HSZ,212.419
2022T43ACR,275.08
2022TA92HS,212.5
2022TE3XMT,208.76999999999998
2022TFXFWR,186.0
2022THXT58,186.358
2022TN4ETY,260.91700000000003
2022TYNY32,238.791
2022TYX52H,212.21
2022WHZJ98,339.298
2022WPY4L3,261.227
2022WX3FM5,300.589
2022X37WMB,255.107
2022XKZBFC,212.5
2022XMRNF9,236.54
2022YACK2L,270.602
2022YAPFNJ,205.0
2022YJA4TB,241.59
2022YKJ8FP,280.834
2022YLTSWF,220.083
2022YMARNM,256.312
2022YWWCP7,303.764
2022YXBJWX,235.75
2022YYL4RE,237.21999999999997
2022Z38HCB,239.24099999999999
2022Z4BB82,262.24
2022Z7425F,233.515
2022ZCE5RA,223.203
2022ZLLR3T,312.122
