codice,progetto,istituzione
20224xEE9P,Parameter theory on historical corpora: Measuring the power of parametersetting theory on historical corpora - PARTHICO,Università degli Studi di PADOVA
202254RHRT,To the Origin of MATHematical aptitude: a comparative approach to highlightcognitive and neural evolution (To Math),Università degli studi di ROMA La Sapienza
202255sLRT,Neurocognitive mechanisms of distractor fitering,Università degli Studi di TRENTO
20225BzY5J,"Childrens interactional competence at school: conversational social norms,participation forms and language structures",Università degli studi di  MODENA e REGGIO EMILIA
20225EJ4C,Development of an intervention model for mothers in fragility conditions duringpostnatal period: Feasibility of an online short mentalization videofeedback program on mother- infant interaction,Università degli studi di ROMA La Sapienza
20225EcxPp,"When the body tricks the mind: movement, action and touch as determinants ofmemory illusions",Università degli studi di ROMA La Sapienza
20225MH5NM,Disentangling heteRogeneity in autism: from EArly behavioral markers toindividual treatment responses through a Machine learning approach (DREAM).,Università degli Studi di TRIESTE
20225PJ2JM,Interactions between visuo-spatial attention and semantic memory in large-scalecortical networks,Università degli studi di ROMA La Sapienza
2022748MsA,The impact of rhythmic and predictable patterns on neuro-cognitivedevelopment,Università degli studi di MILANO-BICOCCA
202275ZA5H,(Psycho)Logical Primitives: Social and Cognitive dimensions (PLPS),Università Ca' Foscari'VENEZIA
2022772HTJ,HOW DO ATTENTIONAL TRAINING PROGRAMS IMPROVE READING SKILLS?,Università degli Studi di BERGAMO
20227BY8BA,"Users experience and cognitive improvement in high-technology rehabilitationprograms for post-stroke patients. A multi-method, multi-informant, patient-centred approach",Università degli studi di MILANO-BICOCCA
20227FWEz5,Biomedical discourse and communication in multicultural societies,Università degli Studi di MILANO
20227MPsEH,"Meta-learning-based decision-making in normality and depression: Combininglarge-scale computational modelling, functional neuroimaging and behavioural methods for asystem-level perspective (MetaDeM)",Università degli studi di ROMA La Sapienza
20227N2Y73,Numbers and the Undisclosed MEchanisms of their Representation ALong Space(NUMERALS),Università degli studi di TRIESTE
20227ZYLH9,Motor intentions in plants,Università degli studi di PADOVA
202284Wcp9,"Testing the efficacy of remote, sustainable empowerment protocols in promotingpsycho-physical well-being in the life-span",Università Cattolica delSacro Cuore
20228A5WPZ,"Oral Toponomy in Sicily, Between History and Local Areas. A Digital,Lexicographical and Atlas Model",Università degli studi di PALERMO
20228JccPN,Discourses and Contexts of Well-being in the History of English,Università degli studi di MILANO
20228NxsAY,"The social perception of new, emerging social identities: The CategoryIntersection in the Context (Cic) model",Università degli studi di TRIESTE
20228P4H2K,"Cognitive, affective, and neural mechanisms of depression vulnerability:searching for endophenotypes and risk factors",Università degli studiEUROPEA di  ROMA
20228XPp9T,A novel behavioral and brain functional approach to social cognition in the blindbrain,Università degli studi di PAVIA
20228Y4ZAM,20228Y4ZAM -A technology-driven linguistic intervention for children with language and literacyweaknesses,Università degli studi di VERONA
20228jMssN,Learning by social interactions: behavioral and cognitive mechanisms andpotential trans-diagnostic applications,Università degli StudiMagna Graecia di CATANZARO
20229Fs8MZ,Clearer Acts. VocAdv: the lexicon of the defence advocate,Università degli Studi di GENOVA
20229MRLMR,Atlas of the Languages of Ancient Intramedian Italy,Università degli Studi di NAPOLI L'Orientale
20229NZEKP,RELIEVING CHRONIC PAIN: PSYCHOSOMATIC MECHANISMS AND PSYCHOLOGICALINTERVENTIONS IN FIBROMYALGIA AND CHRONIC HEADACHE (FIBROMIG STUDY).,Università degli Studi di ROMA La Sapienza
20229PT9WN,Exploring the relation between tactile perception and body ownership in healthyand pathological brains.,Università degli studi di PAVIA
20229PsYEP,Clinical markers of linguistic and literacy vulnerabilities in adulthood: its never toolate!,Università degli Studi di FOGGIA
20229W73WR,A new digital space for the lessicographical heritage: The Tesoro digitale dellalessicografia bilingue spagnolo-italiano,Università degli studi di PADOVA
20229ZFAJ3,The Effects of Gamma Sensory Stimulation on Cognitive Functions,Università degli Studi G.d'Annunzio CHIETI-PESCARA
20229sHZc4,"Intergroup dehumanization: the social, neural, and physiological roots of mindattribution in infants and adults",Università degli studi di TRENTO
2022A74x79,Corpus SIM (Senectus Ipsa Morbus) - Spontaneous speech in healthy ageing,Università degli studi di Napoli Federico II
2022AKTAK8,The Necessary Conditions for Depressive and Anxiety Symptoms in Adolescence,Università degli studi di TRIESTE
2022AL38E4,Ergogenic words. Characterizing the cognitive and neural mechanisms of theplacebo effect in the motor domain,Università degli studi di VERONA
2022AP2ZT3,SensoriMotor Assessment of digital Capacity and aCcessibility (sMACC),Università degli Studi di FERRARA
2022APAFFN,The attentional curve of forgetting visual information in younger and older adults:experimental and computational insights.,Università degli Studi di ROMA La Sapienza
2022ARRY9N,"Reasoning with hypotheses: Integrating logical, probabilistic, and experimentalperspectives",Università degli studi di TORINO
2022B9Nzc4,From an individual to a shared sense of agency in humans and non-humanprimates,Università degli studi di MILANO-BICOCCA
2022BNE97C,"The Language Of Dreams: the relationship between sleep mentation,neurophysiology, and neurological disorders",Scuola IMT Alti Studi -LUCCA
2022BNMZJC,Structure of COgnition-PErsonality aRchiTecture in Ageing (SCOPERTA),Università degli studi di MILANO-BICOCCA
2022CA2FK8,PREferences related to Quality Of LIfe atributes in Multiple Sclerosis: patient andhealth professionals views PREQOLIMs,Università degli studi di TORINO
2022CCPJ3J,RIGHTSTRESS - Tuning arousal for optimal perception,Università di  PISA
2022CEXC5T,LearN: Learning in Noise,Università degli studi di PADOVA
2022CTH74H,IBisCO - Interpersonal Biofeedback Intervention Supporting Caregivers Online,Università degli studi di PADOVA
2022CX5TLZ,DA VINCI. In Da Vincis mind: Fundamental Correlates of Creativity for Artists and Scientists,Università degli studi di TRIESTE
2022E5TBEM,"Language, gender and citizenship in democratic societies. DiLeGIs - Observatoryon legislative discourse and gender in Italy and Spain",Università degli studi di TRIESTE
2022EBc78W,"Sense of number vs. sense of quantity: modeling, neuroimaging, behavior",Università degli Studi di PADOVA
2022EMT25Y,"Returning the body to the mind: on the association between higher-order bodyrepresentations, interoceptive dimensions, and navigational memory abilities across the lifespanand pathological aging (REMAPthebody)",Università degli studiMagna Graeciadi CATANZARO
2022EX4W8E,The articulatory organization of the Italian syllable in healthy and pathologicalspeech,Università del SALENTO
2022EZT393,Where is it? Ask to my hand! Examining the role of proprioceptive cues inperception and action.,Università degli Studi di TRENTO
2022Ec7LZF,Instruments of digital lexicography in support of the OIM (Osservatorio degliItaliansimi nel Mondo),Università degli Studi di FIRENZE
2022F4Z8YH,Analogical Reasoning in Contemporary Physical Theories,Università degli studi di Urbino Carlo Bo
2022FFPsBY,"Young new migrants, multilingual spaces and Italian non native language betweenspontaneous and guided learning",Università degli studi di PALERMO
2022FL4W7L,How Emotional Reactivity and Memory Evolve over Sleep: psychophysiologicalDescription via Exogenous manipUlation of Sleep features (HERMEs-DEUs),Università degli Studi di PADOVA
2022FT8HNC,Perceiving and predicting multisensory speech: a window on the interplaybetween sensory and motor processes and brain representations,Università degli studi di PADOVA
2022FZ595K,Cognitive & emotional pathways to hidden STEM: longitudinal and intervention studies fostering higher educational choices,Università degli studi di GENOVA
2022H2J3N3,Brain plasticity in ageing and pathology,Scuola InternazionaleSuperiore di  studi Avanzatidi TRIESTE
2022H4WzkN,Your eyes on me: Neural and oculomotor mechanisms of gaze processing andsocial attention,Università degli studi di PADOVA
2022H4ZRSN,Predictive waves in human perception and individual differences along theautism-schizophrenia continuum,Università degli studi di BOLOGNA
2022HBK4NP,MinEdu - Supporting minority languages in educational contexts,Università degli studi di PAVIA
2022HEKcWH,Interactions between central and peripheral vision: how the rich and detailedvisual world is created,Università degli studi di PADOVA
2022HXZR5E,DICI-ADizionario delle Collocazioni ltaliane per ApprendentiA Learner Dictionary of talian Collocations,Università per Stranieri di PERUGIA
2022JB5KAL,UNITE - UNiversally Inclusive Technologies to practice English,Università degli Studi di BOLOGNA
2022JLB83Z,Psychologically-tailored approaches to Debunk Fake News detected automaticallyby an innovative artificial intelligence approach,Università degli studi di PADOVA
2022JS4sY2,Interception and Active Aging (InterActing),Università degli Studi G.d'AnnunzioCHIETI-PESCARA
2022JT5N3J,Repetition Experiments as Probes on Linguistics Analysis and Integration (REPLAI),Università degli studi di TRENTO
2022K744JB,CROss-linguistic interference in the assignment of meaning during sentencecomprehension in bilINGual speakers: investigating semantic and syntactic processing and thecase of code-switching (CROssING),Università degli studi di MILANO-BICOCCA
2022K7FR2H,2022K7FR2H -LisDiGio. Language and history of discrimination in the pressin contemporaryItaly,Università per Stranieri di SIENA
2022KPNY3B,LingUistic Complexity Evaluation in educaTion (LucET),Università Ca' FoscariVENEZIA
2022KR9Y29,LOL! The evolutionary roots of human laughter,Università di  PISA
2022KTB2KX,Financial Thinking for Reflective Citizenship. Development and evaluation of theefficacy of a Financial Education program for primary school children,Università degli Studi di FIRENZE
2022KXJYJA,A PROSOCIAL TRAINING PROGRAM TO HARNESS GENES AND ENVIRONMENTINFLUENCING SOCIAL BEHAVIOR,Università degli Studi di BARIALDO MORO
2022L3AALJ,At the roots of the anti-vaccination atitude. A study on the psychophysiological correlates of hesitation and resistance to the COVID-19 vaccine,Università degli Studi di MESSINA
2022LC4FT7,Problematic Social Media use among Italian mid-Adolescents: from theidentification of Risk/proTective factors to the co-design and evaluation of a self-help app.(SMART Project),Università degli studi di PERUGIA
2022LHWsEE,The eco-friendly flexible teaching Model (EFFTMod). A survey of existing experiences for the creation of a good practice network,Università degli studi di CATANIA
2022LJZRBY,"Behavioural, molecular and neuroanatomical characterization of two models ofautism in domestic chicks and zebrafish",Università degli Studi di PADOVA
2022LLLN7B,"MobACT - Development, clinical eficacy and cost-effectiveness of a MobileAcceptance and Commitment Therapy-based treatment for Chronic Primary Pain",Università Cattolica delSacro Cuore
2022LR399B,The relation between mood and the spatial representation of time fromadolescence to adulthood. A new sight on the reciprocal influence of psychopathological and cognitive processes with common treatment perspectives,Università degli studi di PARMA
2022LYRT8E,"Understanding WHat Is Mine (WHIM): theory, models, experiments on the senseof ownership over objects",Università degli studi di BOLOGNA
2022M4T9sB,Promoting Multiingual Competence in Different Contexts,Università del SALENTO
2022MWzYKT,The Body as a Source of Evidence (BosE): Characterizing dysfunctional interoception in Anorexia Nervosa,Università degli Studi di ROMA La Sapienza
2022N3EH4K,"HCAI4Gend - Human-Centered Artificial Inteligence for Gender SensitiveLinguistic Simplification in German, English and Italian Institutional Communication",Università degli studi di MILANO
2022N87CR9,EPITHETS - Explaining Pejoratives In THeoretical and Experimental TermS,Università degli studi di GENOVA
2022NEE53Z,Visual awareness without visual cortex: from monkey neurophysiology to humanpatients,Università degli studi di BOLOGNA
2022NH8W3C,"PersonCareinCogl: Personalized Care in Cognitive Impairment, from diagnosis tointervention.",Università degli Studi di ROMA La Sapienza
2022NPXYHH,CIP - Corpus of Italian language for Preschoolers.Lexicon directed to Italian preschool children from 3 to 6 years collected from heterogeneoussources in Italian and Italian Sign Language,Università degli studi di MODENA e REGGIO EMILIA
2022NTCHYF,The Varieties of Grounding,Università degli studi di PADOVA
2022NWRENN,E-MOTIONS: Investigating Aesthetic Emotions in Virtual and Real Environments,Università Cattolica delSacro Cuore
2022P7WP37,PAROLA. Parenting APP for promoting language acquisition,Università degli studi di BOLOGNA
2022PFSJNW,"SACre-D. Schizoprenia, Autism and the Myth of Creativity. An InterdisciplinaryPerspective on Psychopathological Expression and its Digitalization",Università degli Studi di BOLOGNA
2022PMFMsE,"Poor sleep during pregnancy as risk factor for post-partum stress and mentalhealth: A translational, longitudinal and clinical study. Maternal Outcome after THERapy for Sleep (MOTHERS)",Università degli studiGuglielmo Marconi'-Telematica
2022R8P3TZ,An ecological and virtual reality based battery for the automatic assessment ofmemory: VR-Memory Ecological Battery (V-MEB).,Università Telematica E-CAMPUS
2022R9K3AR,Enhancing ESP competence in educational and professional contexts viaAugmented Reality,Università degli studi di BERGAMO
2022RAESSJ,DEVELOPMENT AND TESTING OF PSYCHO-PROMOTION INDICATORS FOR A SUCCESSFUL AGING IN OLD-ADULTS,Università degli studi di BERGAMO
2022RAR7EY,"SyllaRus - A teaching syllabus for the Russian language: reception, testing andextension",Università degli studi di VERONA
2022REJEB4,SENSing Inner BodiLy state: understanding the role of interoception in obEsity(SENSIBLE),Università degli studi di TRENTO
2022RTK44N,Virtual Immersive Training in Aging (VITA): A Dual Cognitive/Motor Training inVirtual Immersive Reality for Successful Aging.,Università degli studi di Napoli Federico II
2022RYY2A7,Digital learning: socio-cognitive and emotional-motivational factors involved instudying supported by digital materials,Università degli Studi di BARI ALDO MORO
2022RsTTAZ,"Non-finite verbal forms in ancient Indo-European languages: diachronic,synchronic and cross-linguistic perspectives",Università per Stranieri di SIENA
2022S9ZMAY,PARALLEL SEMANTIC READING OF MULTIPLE WORDS DURING THE LIFE-SPAN,Università degli studi di MILANO-BICOCCA
2022SJPY9E,Perceived Fatigability during Physical Tasks: Neurophysiological Correlates andPractical Interventions (PERCEPT),Università degli Studi G.d'Annunzio CHIETI-PESCARA
2022T42HsZ,Placebo and nocebo effects as Bayesian brain phenomena: the overlooked role oflikelihood and attention,Università Cattolica delSacro Cuore
2022T43ACR,Cooperation nudges for sustainable development: leveraging behavioural insights to encourage cooperative behaviour in environmental social dilemmas (cooPDEV),Università Cattolica delSacro Cuore
2022TA92HS,Longitudinal assessment of multidomain reading-FREE neurocognitive markers forearly detection of Developmental Dyslexia (FREE-DD),Università degli studi di MILANO-BICOCCA
2022TE3xMT,The World in Words: Moving beyond a spatiocentric view of the human mind(acronym: WoWo),Università degli Studi di PAVIA
2022TFXFWR,ME in aCTION: toward a multidimensional neurocognitive model of bodily self-awareness (MEcTION),Università degli studi di MILANO-BICOCCA
2022THXT58,Computational and linguistic benchmarks for the study of verb argumentstructure,Università di  PISA
2022TN4ETY,"BISSCo, Behavioral Immune System and Social Conformity",Università degli StudiMagna Graeciadi CATANZARO
2022TYNY32,"Proof and understanding in mathematics (PUMa).Purity of methods, simplity, and explanation in mathematical reasoning.",Scuola Normale Superioredi PISA
2022TYX52H,At the origins of sound symbolism. A comparative investigation.,Università degli studi di PADOVA
2022WHZJ98,The lexicalization of the adjective class in Indo-European and Semitic,Università degli studiGuglielmo Marconi -Telematica
2022WPY4L3,The function of the left and right Temporal Parietal Junction: a low-dimensionaloverarching account (Low-DimOverarchTPJ),Università degli studi di ROMA La Sapienza
2022WX3FM5,"Searching for sensitivity to stimulus statistics: Evolutionary mechanisms, development and critical periods underlying efficient neural coding",Università degli Studi di TRENTO
2022XMRNF9,InALC - Investigating African Languages and Cultures,Università degli studi di TRIESTE
2022YACK2L,"Rethinking, Understanding Modal particles (RUM)",Università Ca' FoscariVENEZIA
2022YAPFNJ,Linked WordNets for Ancient Indo-European languages,Università degli studi di PAVIA
2022YJA4TB,ASsO (Abstract conceptS and Social InteractiOn),Università degli studi di ROMA La Sapienza
2022YKJ8FP,"ReMind: an ecological, cost-effective AI platform for early detection of prodromalstages of cognitive impairment",Università degli studi di BOLOGNA
2022YLTsWF,Targeting attentional biases in depression: A longitudinal multimodalneuroimaging investigation,Università degli Studi ROMATRE
2022YMARNM,"Repertory of courts. Language, languages and cultural textuality ReCoLLeCT",Università degli studi di Urbino Carlo Bo
2022YWWCP7,ARDIPSArchivio Digitale delltaliano Parlato-scritto (1860-1953)Digital Archive of Spoken-Written Italian (1860-1953),Università degli studi di CATANIA
2022YXBJWX,Higher-order Perceivable Properties (HOPP),Università degli studi di TORINO
2022YYL4RE,"Intersectional Stigma and Health Equity Promotion for LGBT People in Primary,Sexual/Reproductive, and Mental Health Care Settings",Università degli studi di PAVIA
2022Z4BB82,Routine outcome monitoring and therapist feedback: an application to thepsychology bonus context in Italy,Università degli studi di BERGAMO
2022ZLLR3T,CORTEX The COst of Reasoning: Theory and EXperiments,Università degli studi di MILANO
2022cR8E8W,Dialogic interaction in diachrony: a pragmatic history of the Italian language -DIADIta,Università degli studi delPIEMONTE ORIENTALEAmedeo Avogadro-Vercelli
2022cZF8KA,ACTIVe communication: Assessment and enhancement of pragmatic and narrativeskil in hEaLthY aging (ACTIVELY),Università degli studi di TORINO
2022cs3XR3,"Bittersweet, Ancient and Modern: Mixed Affect in Emotional Experience from Plato to Brain Imaging.",Università degli studi di BOLOGNA
2022kKBW99s,Tails or types? Testing the dimensional hypothesis in neurodevelopmentaldisorders,Università degli studi di PADOVA
2022s8PEY7,"Long-term impact of complementary feeding approach in preschool children:developmental outcomes, eating behaviour and food sustainability",Università degli Studi di ROMA La Sapienza
2022sM4Xc8,DeKLA: Developing Kleene Logics and their Applications,Università degli Studi di CAGLIARI
2022sYAW7A,Normative Kinds: Values and Classificatory Decisions in Science and Policy-making,Università degli studi di MILANO
2022sp5K9,Motor resonance during action planning and social interactions: from singleneurons to brain circuits,Università degli studi di PARMA
2022x37WMB,Prediction of psychopathological outcome and parental rflective functioningbased on perinatal risk factors: a machine learning quanti-qualitative longitudinal study onmothers and fathers,Università degli studi di PALERMO
2022xKzBFC,The influence of emotions on action control: brain network plasticity and potentialtrans-diagnostic applications,Università degli studi di BOLOGNA
2022z38HCB,DigiWell: Digital Technologies for promoting wellbeing in university students,Università degli studi di BOLOGNA
2022z7425F,Learning to use words: the statistical nuances of category bootstrapping,Scuola InternazionaleSuperiore di  studi Avanzatidi TRIESTE
2022zcE5RA,European and extra-European metalanguage and grammars: syntactic theoriestowards the concept of language in the history of ideas,Università degli Studi di VERONA
