codice,progetto,istituzione
202222EJZE,LAterality DIstribution across the two SEXes (LADIsEX): Comparative data fortheoretical models,Università degli studi di TRENTO
202223PL4N,T-GRA2L: Testing GRAdeness and GRAmmaticality in Linguistics,Università degli studi di SIENA
2022289RNA,"The Fragility of Metaphors (FraMe): learning, loosing, and how to train them",Università degli studi di PAVIA
20222AW3JL,Bayesian inference reconsidered in the light of new visual ilusions,Università degli studi di SASSARI
20222B4ZHF,SOCRATE- Self-criticism On Chair: Realizing an Application for TherapeuticExercises,Università degli studi della Campania Luigi Vanvitell'
20222FC7A8,Archive of the Lexicography of the Nineteenth-Twentieth Century (ALON),Università degli studi di FIRENZE
20222HHXAX,Org(SB-EAI) - An Organizational Approach to the Synthetic Modeling of Cognitionbased on Synthetic Biology and Embodied AI,Università del SALENTO
20222ZLPFC,Adaptive Brain Connectivity and Cognition ABC&C,Università degli studi di TRENTO
202233c93X,MetaLing Corpus: Creating a corpus of English linguistics metalanguage from the16th to the 18th century,Università degli Studi di MILANO
20223EHJKW,Virtual Bodies for Real Pain: a Window on the Mind-Brain-Body Interaction inVirtual Spaces (VRelief),Università degli studi di MILANO-BICOCCA
20223FZJR4,Old Words for a New World: Translating Christianity to Baltic Pagans,Università di  PISA
20223XH5xM,Verbs constructional patterns across languages: a multidimensionalinvestigation,Università degli studi di PAVIA
20223k8B3X,Touch to see: neural and functional effects of crossmodal remappinng,Università degli studi di MILANO-BICOCCA
20223sRYFJ,GAMEFUL. Videogame-based Assessment of Executive Functions through machineLearning,Università degli Studi di GENOVA
202245M2HA,"European Language Centres as a multilingual community of practice: Amultimodal discourse analysis of academic, cultural and social growth conveyed through thelanguage of websites.",Università della  CALABRIA
2022494P5L,EEG and PET studies of the relation between K-complexes and brain metabolic connectivity in isolated Rapid Eye Movement Sleep Behavior Disorder (iRBD),Università degli studi di ROMA La Sapienza
202249CYPP,A.L.AR..CO (Archivio Linguistico ARbëresh e ltalo-romanzo in COntatto)Testo italianoA.L.AR.l.Co (Arberesh and Italo-Romance language corpus in contact),Università della  CALABRIA
202249c5XL,COordination and iNtegration of motion in the TACTile and motor system -CONTACT,Università degli studi di ROMA La Sapienza
20224CEJE8,AGLIO 2.0. The new phase of the Atlante grammaticale dell lingua italiana delleorigini,Università degli studi di NAPOLIL'Orientale
20224FWF2J,FORWARD: neuropsychological and neural circuit mechanisms for projectingmemory into future choice,Scuola InternazionaleSuperiore di  studi Avanzatidi TRIESTE
20224H5zYF,Linguistic complexity: Structural perspectives to local complexities across WestAfrican languages,Università degli studi di NAPOLI L'Orientale
20224HXFLY,The Philosophical Reception of Quantum Theory in France and German-speaking countries between 1925 and 1945: Conceptual lmplications for the Contemporary Debate.,Università degli Studi ROMATRE
20224RFY93,Contact-induced language change: perspectives from the minority languages inthe ltalian linguistic space,Università degli Studi di UDINE
20224RHTNL,"Sounding Complex. Morphological structure and lexical information in speechproduction, perception and comprehension (CompLeXSpeech)",Università degli studi di MILANO
20224X95JC,HERB - Human Explanation of Robotic Behaviour,Università degli studi di MILANO-BICOCCA
20224XsWRH,A novel indirect prevention intervention targeting distress and academic deceitin university students,Università degli studi di PADOVA
20224sx547,Problematic Sexuality and Psychotic risk. Protective and prodromal factors in therelationship between sexual behaviour and mental health.,Università degli studi di ROMA La Sapienza
