codice,finanziamento
20222BS5PN,159.056
20222ERHBA,217.94
20222TSACT,297.961
202234YLYH,265.28
202235FZEH,247.55599999999998
20223FL4XJ,155.682
20223KNYEX,310.998
20223RJNHY,219.506
20223Z3C9W,235.72
202247TFMW,294.85900000000004
20224JBFKT,225.0
20224LLB2N,265.73
20224TPEYC,224.957
20224ZH79X,375.339
202258RNM9,253.477
20225BT9KY,291.517
20225HNW83,266.278
20225NZ7J8,270.562
20225SNKHE,240.767
20225TJJSY,354.431
202274KT5X,309.525
202277S37K,297.114
20227C3F48,262.71
20227JP9KP,250.494
202284YHRN,224.052
202289LLXB,281.644
202289MEPH,373.234
20228E3T44,285.68399999999997
20228K2MT4,256.852
20229FBYXS,293.484
20229RRCJW,273.766
20229W5P3X,147.506
20229ZC93K,224.784
2022A7X849,275.78200000000004
2022ABWLJA,189.26600000000002
2022AJ2PR9,314.137
2022AJA5NS,161.379
2022BEZENP,268.67
2022BFN5KR,315.08
2022BXT5HR,256.36400000000003
2022C88ZN5,218.41500000000002
2022C9STMM,213.505
2022C9STX2,264.83
2022CB3H93,301.166
2022CTSPHJ,265.353
2022CWNCH8,252.30599999999998
2022CZ7CLC,214.61800000000002
2022E8XCBX,255.919
2022EJALS2,186.839
2022ENCNP8,248.713
2022EPRMH9,256.699
2022F74F8T,327.657
2022FA5YPL,249.069
2022FFM3R9,396.281
2022FLXBBL,291.639
2022FR5NNJ,305.976
2022FRWSPF,268.588
2022FZYCPY,212.501
2022H3C8R5,412.95900000000006
2022H4ECRZ,245.042
2022HJM4JC,318.183
2022HKEYAW,144.54500000000002
2022HPPFNL,210.599
2022HWP8WB,316.26
2022JA2TLT,227.273
2022JCMHFS,239.59799999999998
2022JMJWY5,267.598
2022JNR27Z,225.0
2022JPHWP9,212.423
2022K4HBFA,274.399
2022K52ES9,207.024
2022K8L99X,253.028
2022KAEWYF,239.91199999999998
2022KFLF3E,242.691
2022KLAJ4P,293.11400000000003
2022KLW4CM,344.291
2022KTMSWB,234.828
2022KTTSBC,265.823
2022L5ENR4,245.378
2022L799SN,263.31
2022LEBME7,281.375
2022LJTTBP,212.415
2022LP29MM,128.586
2022LRL2C2,261.138
2022LSRL82,316.141
2022M54KCK,222.247
2022M7LMS8,323.23199999999997
2022M8EASR,311.4
2022MBZKNT,276.098
2022MK9SZ5,309.553
2022MNTY4Y,305.651
2022MSCEEA,233.76
2022MYEW4J,237.0
2022NBR87C,251.66199999999998
2022NKEY7J,264.6
2022NKLAFW,224.798
2022NKR59X,327.12
2022P23BRW,283.672
2022P3Y2H2,207.5
2022PA7X4K,265.407
2022PLENEZ,231.608
2022PM25BP,211.18800000000002
2022PMJ5LN,304.618
2022PPLTLJ,273.9
2022R739JM,276.23
2022R7SS2F,244.851
2022RCSPF3,230.474
2022RL5SSN,300.844
2022RNMA92,243.27700000000002
2022RPL53N,262.484
2022RSZW83,292.063
2022S532MK,212.5
2022S8PLB5,272.473
2022SJ3SBT,300.929
2022SL3RRM,287.983
2022SMSAYX,192.558
2022THANHJ,292.406
2022TJMHW2,237.66
2022TL8TAE,212.466
2022TMFTHK,244.22899999999998
2022TNRRT9,315.88399999999996
2022TSYM3T,245.86
2022W2Y8ES,249.498
2022W8CT4J,266.816
2022WHM2RC,209.836
2022WMF8JW,278.63
2022WTAKL4,342.788
2022X2P5S2,243.701
2022X3ZFXF,262.955
2022XL7HL2,232.43200000000002
2022XN3SCN,253.826
2022XRYZR5,303.86199999999997
2022XYHPTC,289.23800000000006
2022Y7798S,242.25
2022YB89EH,213.023
2022YK45F9,292.299
2022YP7KH5,330.00800000000004
2022YPWF3H,285.888
2022YXTHZF,297.02
2022YXYK8F,226.61599999999999
2022Z4BRES,251.764
2022Z7NS3L,340.952
2022ZC8HNA,321.606
2022ZFZKXJ,284.04200000000003
2022ZJL8SA,303.03
2022ZPA2N4,223.993
2022ZT5S7A,266.022
2022ZYZ244,270.493
