codice,progetto,istituzione
20222Bs5PN,Tit: Courts in troubled times. Adapting judicial decision-making to the systemstrains,Università degli studi di VERONA
20222ERHBA,The visual politics of populism,Università degli studi di TRIESTE
20222TSACT,PUBLIC ADMINISTRATION IN THE SIGN OF FINANCE: HOW THE PUBLIC FINANCIAL RULES SHAPE THE NATIONAL AND EU ADMINISTRATIVE SYSTEMS FinPA project,Università degli studi di CATANIA
202234YLYH,The President in the control room. Mapping presidential actorness inparliamentary democracies during times of crisis,Università degli Studi di SASSARI
202235FZEH,"Punishing, Reforming and Re-inserting: Prison Institutions between CriminalScience, Penitentiary Law, Prison Administration, Work, Health Treatment and Architecture: Three Case Studies in the <lsland of Punishmenty in the Kingdom of Italy (the Penal Bath of San Bartolomeo, the Penal Colony of Castiadas and the Buoncammino Prison)",Università degli studi di CAGLIARI
20223FL4XJ,Financing public budget from illegal economy: coherence and efficiency of interaction between taxation and criminal confiscation in for-profit and no-profit sectors,Università degli studi di BOLOGNA
20223KNYEX,TOWARDS STRICTER RULES ON TRANSPARENCY AND LIABILITY FOR ONLINE PLATFORMS IN THE EUROPEAN DIGITAL SINGLE MARKET,Università degli studi di BARI ALDO MORO
20223RJNHY,Cyber Interference: Social Cohesion and Consensus Manipulation Between International Law and Private Autonomy,Università degli studi di Napoli Federico II
20223Z3c9W,End of Life in the Roman World. Last Wills and Persons Projections after Death,Università degli studi di Napoli Federico II
202247TFMW,Enhancing the autonomy of vulnerable adults in legal matters,Università di  PISA
20224JBFKT,Safe Artificial Intelligence Systems for Public Administrations (SafeAI4PA),Università degli studi di FIRENZE
20224LLB2N,Artificial Intelligence between generating and tackling gender-baseddiscriminations (AiGeDi).,Università degli Studi di MILANO
20224TPEYC,PRIMA (PRivacy Infringements Machine-Advice),Università degli studi di BOLOGNA
20224ZH79X,The Virtues of the Rule of Law as an Institutional Ethos,Università degli Studi di PALERMO
202258RNM9,Digital vulnerability. An intergenerational path between personal rights andmarket relations,Università Ca' FoscariVENEZIA
20225BT9KY,ESODI - Engaging with Settlement Obstacles: legal Diversity and socio-economic Inclusion of migrant families,Università degli studi di TORINO
20225HNW83,Governance for a Reticular Mountain: Co-design and contratto dabitare as tools for the territorial regeneration in Seriana Valley,Università degli studi di BERGAMO
20225NZ7,Rediscovering European Integration through Legal Storytelling (REILs),Università degli studi di Napoli Federico II
20225SNKHE,CAMBIARE - Change Again: Mothers and Babies In A Right Environment.The external implementation of sentencing for women with children,Università degli studi di TORINO
20225TJsY,Concept of the Rule of Law: Empirical and Analytical Research (CLEAR),Università degli studi di BOLOGNA
202274KT5X,Defensive Bureaucracy and Responsibility in the Italian Administrative System(DEBRIAS),Università degli studi della TUSCIA
202277s37K,"Energy transition, interest groups, incumbent companies and alternativecoalitions: navigating the Italian energy policy between the post-pandemic recovery plan and theRussian-Ukrainian war",Università degli studi di MACERATA
20227C3F48,"The Hybridization of the fight against crime through non-criminal or BORDERLINEmeasures: principles, rules, imits and opportunities for an integrated system",Scuola Superiore di  studiUniversitari ePerfezionamento Sant'Anna
20227JP9KP,FUEL-IT : FUture gEnerations and international Law: boosting an ITalian response,Università degli studi di FIRENZE
202284YHRN,"Global value chains, human rights and the law.Subtitle: The Italian, European and international path towards accountability.",Università Ca' FoscariVENEZIA
202289LLXB,To Be or to Teach? To be Labour Lawyers or to Teach Labour Law. Interactionbetween Knowledge and Transfer of Knowledge through University Studies in The Field of SocialScience,Università degli Studi di GENOVA
202289MEPH,"Migration and Religion in International Law (MiRelL).Research-based Proposals for Inclusive, Resilient, and Multicultural Societies.",Università degli studi di TRIESTE
20228E3T44,S.0.S. MOBlILITY - Smart and/Or Sustainable Mobility: when is smart mobilitysustainable for consumers and SMEs?,Università degli studi di BOLOGNA
20228K2MT4,RITE - Responsibility In Technological Ecosystem,Università degli studi di PAVIA
20229FBYXS,Next Generation PA: Digital Transformation For An Innovative PublicAdministration-NgPA,Università degli studi di FERRARA
20229RRCJW,"SUsPECTs - StUdying SuPply, demand, and Endorsement of Conspiracy Theoriesin six European countries",Università degli studi di TORINO
20229W5p3X,"Health, security and human rights in e-sports: plural approaches towards legalsolutions.",Università degli studi di PARMA
20229ZC93K,Analyzing Regime CHange Évolutions (ARCHÉ),Università degli studi di Napoli Federico II
2022A7x849,Reconceptualising immigration: from exceptionality to normality,Università degli studi di GENOVA
2022ABWLJA,REPLAN-EU Explaining the formulation and implementation of Recovery andResilience Plans in Europe: a comparative approach,Università degli studi di BOLOGNA
2022AJ2PR9,Territorial Disparities and NRRP: the Development of National Reforms andRegional Policies in the Light of the Next Generation EU,Università degli studi di ROMA La Sapienza
2022AJA5Ns,Shields and bridges: Immunity of International organizations and the diversity oflegal systems,Università degli Studi di ROMA La Sapienza
2022BEZENP,State CApture and Legal POlitical corruption in Italy (Acronym SCALPO),Università di  PISA
2022BFN5KR,New Conflicts Mapping in the age of Globalization (NEWCOMING),Università degli studi di SIENA
2022BXT5HR,Framing National Human Rights Institutions: European and ComparativeInterplays (FRAME),Università Commerciale Luigi Bocconi MILANO
2022C9STMM,PA-LIVESPublic Administration and Legal Instruments for Valuing Ecosystem Services,Università Commerciale Luigi Bocconi MILANO
2022E8xcBX,Genetic identity and parenthood in the era of reproductive techniques,Università degli studi di CASSINO e del LAZIOMERIDIONALE
2022EJALS2,"Law, history and the human body",Università degli studi di PADOVA
2022ENCNP8,"TOWARDS A EUROPEAN MODEL OF COMMUNITY SPONSORSHIP FOR REFUGEES:ACCESS, RECEPTION AND INTEGRATION",Università degli studi della TUSCIA
2022EPRMH9,"The Future of Food, the Food of the Future. Novel Food, Innovation,Sustainability and Legal Issues (Acronym: F4F - Food for Future)",Università degli Studi di PARMA
2022F74F8T,"Intergenerational solidarity, collective human rights claims and environmentalsustainability in international and European law",Università degli studi ROMATRE
2022FA5YPL,Post-truth politics and the resilience of the public sphere in Europe (POPsPHERE),Scuola Normale Superioredi PISA
2022FFM3R9,Valorising rural commons for a greener and fairer society. Insights from Southernand Northern Italy,Università degli studi di PALERMO
2022FLXBBL,REhabilitating Peripheral Areas through Innovative Regeneration - ((REPAIR),Università degli studi di ROMA La Sapienza
2022FR5NNJ,Fluidity in family structures: international and EU law challenges on parentagematters,Università degli studi di PAVIA
