codice,progetto,istituzione
20225J7H4K,"Econometric and Macro-Financial Models of Climate Change: Transition, Policiesand Extreme Events",Università degli studi di ROMA Tor Vergata
20225Pc98R,The effects of climate change in the evaluation of financial instruments,Università degli studi di MILANO-BICOCCA
20225RC7R,Algorithms and economic choices,Università Commerciale Luigi Bocconi' MILANO
20225YEPCT,Designing a Governance for The Token Economy in a Decentralised Era,Università degli studi di TORINO
20227339KC,"Communicable diseases and economic activity: individual behavior, social interactions and macroeconomic outcomes",Università di  PISA
202274Z54B,A Multidimensional Model for the Transition of SMEs to the Circular Economy,Università degli studi di BRESCIA
20227FK9E7,Reaction to discrimination: Experimental Evidence,Università Commerciale Luigi Bocconi MILANO
20227KF2ZK,"Environmental Awareness, Environmental Policies, and International Shocks: aTheoretical and Empirical Investigation",Università degli studi di NAPOLI Parthenope
20227N3BMK,"Public policies and firms: the impact of credit- and liquidity-enhancing policies,public infrastructure investments, and green policies on the corporate sector.",Università degli studi di Napoli Federico II
20227NN492,"The Economics of Beliefs, Culture and Institutions",Università Politecnica delleMARCHE
20227PZBE8,REVeRT - Relaunching cultural and heritage Experiences through Virtual RealityTourism,Università degli Studi di SASSARI
20227RMKFP,20227RMKFP -Is old really gold? International consumers perceptions and attitudes towards Italian cultural heritage and long-lasting brands,Università degli studi di NAPOLI Parthenope
20227SC9CC,BUMOLDS: a Business Model for Local Delivery Platforms,Università degli studi di BOLOGNA
20227Tcx5W,Liquidity and systemic risks in centralized and decentralized markets,Università degli studi di BOLOGNA
20227sNASs,Empirical Evaluation of Historical Policies: Fascist Land Reclamation Program andHuman Capital Accumulation in the Long-Run,Università degli studi di BERGAMO
20227xKP34,Exploited labour. An interdisciplinary research on the polities aimed at preventinglabour exploitation,Università degli studi di FOGGIA
2022825Y5E,Scik-Health: Mapping Scientific Knowledge about health for decision-making,Università degli Studi di Napoli Federico II
2022844s7K,Environmental regulation and the pressure towards a sustainable reallocation of international trade flows,Università degli studi di TORINO
202288ES9Z,Strategic Information Transmission Between Enemies (ENEMY),Università Commerciale Luigi Bocconi MILANO
202288L9YN,Evaluation of policies for enhancing sustainable wheat production in Italy(ECOWHEATALY),Università degli studi G.d'AnnunzioCHIETI-PESCARA
202288NZT7,"Can Environmental, Social and Governance (ESG) Profiles Improve Credit Risk",Università del SALENTO
20228JRZYZ,INfrastructure: Firms and INdividual ouTcomEs (INFiNITE),Università degli studi di GENOVA
20228N49BJ,Market Design Architecture and Industrial Policy in the Digital Era,Università degli studi di BERGAMO
20228W79W3,From Schools to Labour Markets: Fostering Social Inclusion and EconomicIntegration of Migrants and Refugees,Università degli studi di MILANO
20228XTY79,Market Learning and Robust Predictions (MALERP),Università degli studi di BOLOGNA
202298s8YE,Opening the black box of proof-of-concept projects: challenges and opportunities,Università degli studi di CAGLIARI
20229BN5BH,"hell, purgatory, or paradise? institutionalising Smart Working IN Governments(SWING)",Università degli Studi di SIENA
20229EHBN7,"Live long and prosper. Combining financial, ESG and social media data throughArtificial Intelligence to predict business crisis",Università della  CALABRIA
20229LRAHK,The impact of past experience and of social identity on risk perception of (new)unforeseen contingencies,Università degli studi di ROMA Tor Vergata
20229M9MM8,The contribution of Humane Entrepreneurship and Purpose-Driven Companiesto reimagine Capitalism,Scuola Superiore di  StudiUniversitari ePerfezionamento Sant'Anna
20229NB2MT,GREEN COMPETITIVENESS FOR A STRONGER AND MORE SUSTAINABLE ITALIANECONOMY - GREENGO -,Università della  CALABRIA
20229PFAX5,Uncertainty and tail risks,Università Commerciale Luigi Bocconi MILANO
20229RB8HY,Gender Stereotypes and Womens Achievements (GENs),Università Commerciale Luigi Bocconi MILANO
2022A33AT3,"How Incentives Shape Decision-Making, Investments and Outcomes forImmigrants",Università degli Studi di TORINO
2022A9AHXF,The Organizational Economics of Banking: Evidence from Ethiopia,Università Commerciale Luigi Bocconi MILANO
2022A9PAT3,"Inflation: Causes, Consequences, and Policy Implications",Università degli studi di PADOVA
2022AAB4WL,Paths and bundles in industry 4.0: how SMEs order and orchestrate technologylayers and organizational capabilities to enhance performance in digital transformation,Università degli studi di UDINE
2022ACJ2Ws,"Automation, Trade, and Global Value Chains: New Empirical Evidence and TheoryDevelopment",Scuola Superiore di  studiUniversitari ePerfezionamento Sant'Anna
2022AE5BCC,BREAK THE BIAS: new data and methods to investigate the presence and impact of gender stereotypes on economic outcomes,Università degli studi di BERGAMO
2022AEXLTC,International trade shocks and consequences for the Italian gender gap,Università degli studi di PAVIA
2022AFCMEA,"Banking transformation, bank jobs, and firms",Università Ca' FoscariVENEZIA
2022ALBsWX,Teaming up with social artificial agents,Università di  PISA
2022AP3B3B,Models for dynamic reasoning under partial knowledge to make interpretabledecisions,Università degli studi di PERUGIA
2022AS4WYR,Consumer analytics and technology transformation in sports marketing andmanagement (CATTsMM),Università degli studi di BOLOGNA
2022AYY9RK,"Institutions, Education and Entrepreneurship Studies: a Novel Perspective onUniversity Impact (IEES)",Università degli studi di BERGAMO
2022B8WMTX,UNderstandIng energy COmmunity maRkets for the development of inNer andprotected areas (Acronym: UNicORN),Università degli Studi di FOGGIA
2022BBMA3T,"Economic growth, inequality and poverty in the long run: taly, 1861-2021",Università degli studi di ROMA Tor Vergata
2022BMNR2E,"Tracing the roots of human capital inequality in early-modern Italy, 17th-19thcenturies",Università degli Studi di SIENA
