codice,progetto,istituzione,finanziamento
2022RFC5ZR,The Dante Ancient Commentaries Corpus (CoDA). Digital Tools for Lexicographyand Exegesis of the Commedia.,Università degli studi di Napoli Federico II,244273
2022SA97FP,"Early Modern Spanish Theater (1570 - 1700): textual transmission, europeancirculation, new digital resources",Università degli Studi ROMATRE,270923
2022TBN35M,Web-based Textual Corpus of Central-Italian Dialects (CorTIM),Università degli studi G.d'AnnunzioCHIETI-PESCARA,263997
2022Y9S3H4,Textual Data and Tools for Coreference Resolution of Latin,Università Cattolica delSacro Cuore,220622
2022S5LET5,The textual legacy of the Ostrogoths in taly: The Bible version and other texts(Acronym: LegOst),Università degli studi di PERUGIA,312946
2022SYRN27,ArDIRe. Digital archives and dictionary for the early artistic recipe books in theItalian Language (late 14th-16th century),Università degli Studi di TORINO,228534
2022EA8FC7,The Digital Kennicot: Textual Transmission of the Hebrew Bible in the Middle Ages- DiKe (TexTHBM),Università degli studi di TORINO,250000
2022TF9CK2,Corpus of the Medieval and Renaissance Scribes in Italy (Scriblt),Università degli studi di FIRENZE,331278
2022XTSEZ3,ON: Objects in network.The social life of things in the fifteenth century between notarial sources and semantic web,Università degli studi di BOLOGNA,252000
2022CCEA2R,Synchronized with Nature. Measuring time in ancient Egypt and Mesopotamia:archaeological and textual evidence,Università degli studi di ROMA La Sapienza,320000
2022ZKKW4F5,The geography of the “twin transition: mapping the regional combination of thegreen and the digital transition - GEoTWIN,Università degli studi di PADOVA,247000
