codice,progetto,istituzione,finanziamento
20229RB8HY,Gender Stereotypes and Womens Achievements (GENs),Università Commerciale Luigi Bocconi MILANO,226498
2022A33AT3,"How Incentives Shape Decision-Making, Investments and Outcomes forImmigrants",Università degli Studi di TORINO,546558
2022A9AHXF,The Organizational Economics of Banking: Evidence from Ethiopia,Università Commerciale Luigi Bocconi MILANO,242.5
2022A9PAT3,"Inflation: Causes, Consequences, and Policy Implications",Università degli studi di PADOVA,508674
2022AAB4WL,Paths and bundles in industry 4.0: how SMEs order and orchestrate technologylayers and organizational capabilities to enhance performance in digital transformation,Università degli studi di UDINE,219751
2022ACJ2WS,"Automation, Trade, and Global Value Chains: New Empirical Evidence and TheoryDevelopment",Scuola Superiore di  studiUniversitari ePerfezionamento Sant'Anna,234.52
2022AE5BCC,BREAK THE BIAS: new data and methods to investigate the presence and impact of gender stereotypes on economic outcomes,Università degli studi di BERGAMO,243056
2022AEXLTC,International trade shocks and consequences for the Italian gender gap,Università degli studi di PAVIA,116.03
2022AFCMEA,"Banking transformation, bank jobs, and firms",Università Ca' FoscariVENEZIA,256.40000000000003
2022ALBSWX,Teaming up with social artificial agents,Università di  PISA,304832
2022AP3B3B,Models for dynamic reasoning under partial knowledge to make interpretabledecisions,Università degli studi di PERUGIA,141.06400000000002
2022AS4WYR,Consumer analytics and technology transformation in sports marketing andmanagement (CATTsMM),Università degli studi di BOLOGNA,271532
2022AYY9RK,"Institutions, Education and Entrepreneurship Studies: a Novel Perspective onUniversity Impact (IEES)",Università degli studi di BERGAMO,255361
2022B8WMTX,UNderstandIng energy COmmunity maRkets for the development of inNer andprotected areas (Acronym: UNicORN),Università degli Studi di FOGGIA,280332
2022BBMA3T,"Economic growth, inequality and poverty in the long run: taly, 1861-2021",Università degli studi di ROMA Tor Vergata,323954
2022BMNR2E,"Tracing the roots of human capital inequality in early-modern Italy, 17th-19thcenturies",Università degli Studi di SIENA,209.72
2022BMZKNH,The European green energy industry: equity financing instruments and policiesin the climate action agenda,Università degli studi di BOLOGNA,342885
2022BNPZY3,Evolutionary Poisson Games: Theory and Applications,Università degli studi di MILANO,192649
2022BR2N2M,WORkeRs In Emergency Departments (WORRIED).Comparing effects of multi-level interventions for supporting quality of working life and services in emergency departments,Università Cattolica delSacro Cuore,220576
2022BSL9RB,Measuring Scientific Output via Preferences Elicitation,Università Cattolica delSacro Cuore,323587
2022BTNAC9,"Differentials in WELL-being: the role of family dynamics, cohort trends and LIFE",Università Ca' FoscariVENEZIA,242528
2022BWNJBA,Sustainable Food Labels for Product Communication,Università degli studi di PARMA,243629
2022C43LYC,"A European study on ESG-literacy, financial advisory and investors perception ofsustainability",Università Cattolica delSacro Cuore,231.24
2022C799SX,PRICE: A New Paradigm for High-Frequency Finance,Università degli studi di ROMA Tor Vergata,201.72
2022CA3ZZC,Debunking Ancestral Narratives: ethnic identity and cooperation in Italy (DANIT),Università degli studi di BOLOGNA,265786
2022CTBNRN,Fostering sustainability mindset: How non-financial disclosure and corporate risk assessment may drive ESG value creation,Università Ca' FoscariVENEZIA,269751
2022CZKPMY,Health and Wellbeing of the Elderly,Università degli studiINSUBRIA Varese-Como,260445
2022E8B2BK,Complexity and non-optimal decision making. An experimental investigation,Università degli studi di TERAMO,196442
2022E9C3ZE,Corruption risk in municipal governments: the managerial perspective,Università degli studi di ROMA Tor Vergata,329319
2022ELYHCW,Insurance and Finance for Sustainable and Inclusive Growth (IFsIG),Università degli studi di Napoli Federico II,204959
2022EPTMLJ,"Banks, Infrastructures and Global Value Chains",Università degli studi di ROMA La Sapienza,229476
2022ESBL34,Pandemic Risks across Markets and Crisis Stages,Università Commerciale Luigi Bocconi MILANO,241.53
2022ETEHRM,Stochastic models and techniques for the management of wind farms and powersystems,Università degli Studi G.d'Annunzio CHIETI-PESCARA,320294
2022F5CLN2,Trust Machines for TrustlessNess (TruMaN): The Impact of Distributed Trust on theConfiguration of Blockchain Ecosystems,Università degli studi di MODENA e REGGIO EMILIA,286046
2022F8WNBA,LO-VEg: Nudging-based field-experiments to promote vegetable and legume consumption among children and parents,Università degli studi di MILANO,270.06600000000003
2022FARZPJ,Agri-food value chains efficiency and fairness - AGREF,Università degli studi della TUSCIA,274482
2022FB4LKK,"The Psychology of Attention, Economic Behaviour and Policy Interventions",Università Commerciale Luigi Bocconi MILANO,249973
2022FLBY7J,"AUTOmation, PROductivity and Wage INequality (AUTOPROWiN): Firms andWorkers in Times of Economic Turmoil",Università degli Studi G.d'Annunzio CHIETI-PESCARA,295799
2022FMY5TR,Boosting Ecological Transition in the Agricultural Sector (BETAs),Università degli studi di Napoli Federico II,288124
2022FPLY97,Modeling and valuation of financial instruments for climate and energy riskmitigation,Università degli studi di BOLOGNA,273173
2022FWZ2CR,Building resilience to emerging risks in financial and insurance markets,Università della  CALABRIA,204002
2022FZJ4L7,Small and Smart Vilages Governance: development and validation of a model fromone of the “Borghi più Bell ditalia.,Università degli studi di ROMA Tor Vergata,292784
2022H2STF2,Climate Risk Uncertainty,Università degli studi di BOLOGNA,313249
2022H439FA,"Listen to me, I will respond: A randomized communication trial on healthdecisions",Università degli studi di FIRENZE,258858
2022H82PL5,(Un)healthy food and choice behaviour (ChoiceHealthFood),Università degli studi di VERONA,245.35
2022HFYPCJ,The impact of diversity and inclusion on management control and corporatedisclosure: the role of finance.,Università Cattolica delSacro Cuore,269136
2022HKLEC5,"Platform Monetization: Strategies, Challenges and Implications",Università Commerciale Luigi Bocconi MILANO,232326
2022HLKRTJ,"Wealth, income and consumption inequality after COVID-19",Università degli studi di Napoli Federico II,202.4
2022HLNBEX,Tackling Inequalities in Educational Outcomes: Experimental Evidence from ItalianPrimary Schools,Università degli studi di BOLOGNA,366815
2022HLPMKN,EXTERNALITIES AND FAIRNESS IN ALLOCATIONS AND CONTRACTS,Università degli studi di Napoli Federico II,253146
2022HLSETF,"STEP BY STEP: Educational stages, choices, achievement and long-run outcomes",Università degli studi di PADOVA,288334
2022HTZY2N,Digital Innovation in Price Statistics: Open and Fast Insights from Online ScrapedData,Università degli Studi della TUSCIA,297829
2022HYTLHR,"Information Diffusion, Networks and Polarization (INFONET)",Università degli studi di VERONA,269223
2022HYXBFK,"DEalcoholised and low-alcohol WINEs: market perspectives, social andenvironmental impacts - DEWINE",Università degli studi di PADOVA,273748
2022J8PN5W,The Political Economy of Reforms and the Costs of Populism (PERCOP),Università degli Studi di ROMA Tor Vergata,288814
2022JHZL37,"Data Driven Innovation. Measuring its Effects on Industries, Firms, and BusinessModels",Università degli studi di PAVIA,298.67
2022JRY7EF,"Qnt4Green - Quantitative Approaches for Green Bond Market: Risk Assessment,Agency Problems and Policy Incentives.",Università Cattolica delSacro Cuore,218.49
2022JWFPR3,Intangible assets and asymmetries in European value chains: the position ofItalian firms and sectors,Università degli studi di CAMERINO,263389
2022JYY7SA,Monopsony Power and Inequality,Università Commerciale Luigi Bocconi MILANO,210.0
2022K5PSNP,Climbing the Waste Hierarchy: enabling factors and policies (CLIWEP),Università degli studi di UDINE,336616
2022K5YRAP,"Restrictive Gender Norms, Women Empowerment and Development",Università Cattolica delSacro Cuore,241.53
2022KCEYML,SustainablE LEgaCy DebT (SELECT),Università degli studi di PADOVA,233.93
2022KL4J4J,Sustainable Families: impacts of introduction of ecolabels on householdpreferences and purchasing choices,Università degli Studi di Napoli Federico II,208795
2022KRJR2Z,Vocational Education and Training (VET) in the post-Covid world. Impacts of thedual system and tertiary vocational education on individuals and firms.,Università degli studi di MILANO-BICOCCA,252712
2022KRKBN8,Corporate Policies in Crisis Times: vidence from the COVID-19 Pandemic,Università Cattolica delSacro Cuore,302202
2022LHCKAL,Customer delight: toward a new conceptualisation of the construct in technological environments powered by Artificial Intelligence,Università degli studi di MODENA e REGGIO EMILIA,294746
2022LHHLWM,COMMUNICATING COMPANIES SUPPLY CHAIN SUSTAINABILITY PRACTICES IN ADIGITAL ENVIRONMENT,Università degli studi di FIRENZE,297739
2022LPLNWZ,News Prosumers,Università Cattolica delSacro Cuore,262.12776502732237
2022LRTNZY,A FinTech Regulatory Information Retrieval Model for an Islamic FinanceCompliant Rule System Built from Spontaneous Arabic Texts,Università degli studi ROMATRE,194832
2022LT8P4J,"Networks: decomposition, clustering and community detection",Università degli studi di TRENTO,281017
2022LX8B3E,Multinationals and the green transition of host countries,Università Cattolica delSacro Cuore,302851
2022MNK5JZ,Compensation Rules Among Members of Heterogeneous Energy Communities,Università degli studi di BRESCIA,262.12776502732237
2022MRSYB7,Realized Random Graphs: A New Econometric Methodology for the Inference ofDynamic Networks,Università degli studi di VERONA,217235
2022MCWT4Y,The Language of Innovation,Università degli studi di BOLOGNA,271228
2022N3CEYY,Industry 4.0 and Sustainability: opportunities and challenges for Italian firms,Università degli studi di PALERMO,300363
2022NA2C8Z,Prediction and causal inference on the tail index for policy decisions,Università degli Studi di TRENTO,194.26800000000003
2022NEL482,Monitoring Risks in Financial Markets,Università degli studi di MACERATA,237.8
2022NKLHHT,Reconciling efficiency and equity in the Italian healthcare system ater thepandemic crisis,Università degli studi di BARI ALDO MORO,294434
2022NZ3J4W,"Are we Fit-for-55? Climate policy, actual and perceived distribution effects in Italy",Università degli Studi di SIENA,272012
2022P499ZB,Innovation and Iabor market dynamics,Università Cattolica delSacro Cuore,294707
2022P85F94,Delegation with endogenous states,Università degli studi di TORINO,336923
2022PE7CW3,"Aging, environmental sustainability, and social influence: A mulidisciplinary investigation on older consumers engagement in sustainable behaviors and susceptibility toonline market-related information",Università del SALENTO,246658
2022PFZYBY,Organizational success factors of sustainability-oriented firms: an analysis of Italian firms in different phases of their life cycle,Università degli studi di PALERMO,283685
2022PHJMRY,A capability-based decision support framework for circular economy transition,Università Carlo Cattaneo-LIUC,296802
2022PXE3B7,ASYMMETRIC INFORMATION AND LIMITED COMMITMENT IN FINANCIAL MARKETS: MACROECONOMIC EFFECTS AND POLICY IMPLICATIONS,Università Ca' FoscariVENEZIA,359025
2022PYM7EW,"Equality of opportunity and social mobility: measures, drivers and impacts",Università degli studi di BARI ALDO MORO,270.2
2022RL4WMT,Designing and Evaluating Research Funding (DERF),Università Commerciale Luigi Bocconi MILANO,234043
2022RPXNJB,Organizing for resilience: how do networks and firms face adversities?,Università degli studi di PADOVA,336195
2022RRBJPL,"AUTOMATION AND DIGITALIZATION IN SMEs: COMPETITION, UPSKILLING ANDLABOR POLICIES",Università degli studi di BOLOGNA,203558
2022S2L854,Evaluating Climate Physical and Transition Risks in Italy (ECliPTIc),Scuola Superiore di  StudiUniversitari ePerfezionamento Sant'Anna,212872
2022SA485H,The Origins of the State: Evidence from Bronze Age Mesopotamia,Università degli studi di BOLOGNA,257.63800000000003
2022T7JEL5,"Citizens and local governments response to adverse shocks: the role of politics,elections and media salience",Università degli studi di FERRARA,263.16200000000003
2022T8FXMJ,"Commodity prices, supply chain disruption, and firms financing frictions",Università degli studi di MILANO,249432
2022TJWFWJ,"Public and Corporate Debt, Monetary Policy, and Macroeconomic Stability",Università degli studi di ROMA Tor Vergata,116803
2022TZEXKF,Hidden Markov Models for Early Warning Systems,Università degli studi di PERUGIA,258.72
2022TX2T3Y,Womens inclusion in innovation and entrepreneurship,Università degli studi di FOGGIA,263911
2022W2245M,Unprecedented shocks to G-local value chains and the labor market,Università degli studi di TORINO,282767
2022W2R55L,"TELI - Technology, labour, inequality",Università degli studi di Urbino Carlo Bo,228207
2022W3Y5BB,"Green M&A deals, value creation and sustainability in post-acquisitionperformance",Università di  PISA,261349
2022W8PREB,Emotional Intelligence and Policies towards the Sustainable Transition,Università degli studi di ROMA La Sapienza,335217
2022W9W7L4,Language in Entrepreneurial Ventures,Università degli studi di MILANO-BICOCCA,239092
2022WPXPFE,Furthering performance measurement and management systems in healthcarethrough new digital technologies,Università degli studi di MESSINA,204697
2022WRMPST,Rethinking Corporate Reporting as an open platform for pursuing “SustainableSuccess,Università degli studi di VERONA,263629
2022WS8AJY,Political Persuasion,Università degli studi di PADOVA,291197
2022X9YPZJ,GRIS - Growing Resilient Italian SMEs,Università degli studi di TORINO,321515
2022XJHRCJ,REWiND - Resilient Enterprises and Workers: leveraging INtangibles to addressDisruptions,Università Cattolica delSacro Cuore,281954
2022XPJYSE,The AGILITY project: Developing and strengthening AGll high-quaLITY work,Università degli Studi di MILANO-BICOCCA,235778
2022XXJ3CK,CHROnicall il Workers Sustainable Employment across the Lifespan (CHROWsEL),Università degli Studidel'AQUILA,299742
2022Y3AWN5,Digitization and the inclusiveness of entrepreneurial finance,Università degli studi di BERGAMO,289.70399999999995
2022Y9WFNM,Designing government intervention in entrepreneurial finance: impact onventure capital and entrepreneurial ecosystems (GovEntFin),Università degli studi di MILANO,251698
2022YALETF,Non-Financial disclosure and Audit Quality: Future perspectives in Italy and Europe(n-FAQ),Università degli studi di PAVIA,249043
2022YAPBL3,Behavioral changes in the aftermath of the Covid outbreak: socio-economic consequences of a health and economic crisis.,Università degli Studi di CAGLIARI,287306
2022YJ9SWX,Made in Italy and sustainable development: A multidisciplinary project forshowing the determining role of luxury and aesthetics,Università degli studi di BARI ALDO MORO,197445
2022YMLS4T,TEC - Tax Evasion and Corruption: theoretical models and empirical studies. Aquantitative-based approach for the Italian case.,Università degli studi di MACERATA,240.26
2022YT5HAL,Digital INNOvation: an assessment of the relationship between DATA and other intangible assets and productivity (INNODATA),Università degli studi di PERUGIA,239774
2022Z9RZHT,The Sustainability of Global Value Chains,Università degli studi di NAPOL Parthenope,265494
2022ZFBMA4,Protecting the Environment: Advances in Circular Economy (PEACE),Università degli studi di ROMA La Sapienza,262688
2022ZKA4PZ,"The Role of Skil-Biased Technological Change in Immiserizing Growth, SpatialPolarization, and Product Quality Upgrading",Università degli studi di CAGLIARI,304428
2022ZNCLYL,Fighting Organized Crime,Università degli Studi di MILANO,144.32
2022ZR5FJ8,Fact-checking Politicians,Università degli studi di BOLOGNA,295939
2022C8TFSY,Saving natural resources: an experimental-behavioral approach to intertemporalenvironmental decisions,Università degli Studi di TRENTO,311848
2022CS3Z8X,"TRAces of the Twin Transition on skills and Occupations: nature, quality andeffects of digital and green jobs (TRATTO)",Università degli studi di PARMA,243412
2022CS5X8Y,Digital and green transitions in Italian businesses: An assessment of the mainantecedents,Università degli Studi di MILANO-BICOCCA,226517
2022KKHAF3,"The banking sector facing the challenges of climate-change: how new frontiers in machine learning, econometrics and statistics can help in the identification and management ofcredit and operational risk",Università degli studi di TORINO,245567
2022S4EAS9,The Role of the Public and Private Sectors in Pharmaceutical BreakthroughInnovations (3PBI),Università Cattolica delSacro Cuore,252.25
2022S5KY5L,"Excessive antibiotic consumption in humans: why, where, and how to curb it?",Università degli studi di VERONA,248995
2022SBTFHJ,Inclusive Sustainable Strategies for food products: local and organic districts as laboratories for testing multi-stakeholder participatory food systems (isUsTlab),Università degli studi di VERONA,257592
2022SHHM2A,"Voting mechanisms, socio-economic contextual factors, and electoral outcomes",Università degli studi di BOLOGNA,318197
