codice,progetto,istituzione,finanziamento
2022E8XCBX,Genetic identity and parenthood in the era of reproductive techniques,Università degli studi di CASSINO e del LAZIOMERIDIONALE,255919
2022EJALS2,"Law, history and the human body",Università degli studi di PADOVA,186839
2022ENCNP8,"TOWARDS A EUROPEAN MODEL OF COMMUNITY SPONSORSHIP FOR REFUGEES:ACCESS, RECEPTION AND INTEGRATION",Università degli studi della TUSCIA,248713
2022EPRMH9,"The Future of Food, the Food of the Future. Novel Food, Innovation,Sustainability and Legal Issues (Acronym: F4F - Food for Future)",Università degli Studi di PARMA,256699
2022F74F8T,"Intergenerational solidarity, collective human rights claims and environmentalsustainability in international and European law",Università degli studi ROMATRE,327657
2022FA5YPL,Post-truth politics and the resilience of the public sphere in Europe (POPsPHERE),Scuola Normale Superioredi PISA,249069
2022FFM3R9,Valorising rural commons for a greener and fairer society. Insights from Southernand Northern Italy,Università degli studi di PALERMO,396281
2022FLXBBL,REhabilitating Peripheral Areas through Innovative Regeneration - ((REPAIR),Università degli studi di ROMA La Sapienza,291639
2022FR5NNJ,Fluidity in family structures: international and EU law challenges on parentagematters,Università degli studi di PAVIA,305976
2022FRWSPF,The Papers and the Code. Filippo Vassall and Italian Legal History in the Mirrorof his Archive,Università degli studi di MILANO-BICOCCA,268588
2022FZYCPY,"Italian copyright law after the most recent EU legislative reforms: impactassessments, best practices and reform proposals to build a more efficient and fairer system",Scuola Superiore di  studiUniversitari ePerfezionamento Sant'Anna,212501
2022H3C8R5,THE LEGACY OF PAUL OF TARSUS IN THE WESTERN LEGAL TRADITION,Università degli studi ROMATRE,412.95900000000006
2022H4ECRZ,"Questioning the EU. Politicisation, representation, and agenda setting in theEuropean Parliament (EUQuest)",Università degli studi di CATANIA,245042
2022HJM4JC,"The EUs Impact on Democracy before and after Accession: Tools, Effectivenessand new Perspectives",Università degli studi di MILANO,318183
2022HKEYAW,Early release from a custodial sentence: an investigation in Italian prisons.,Università degli studi di MILANO-BICOCCA,144.54500000000002
2022HPPFNL,2022HPPFNL -Time-less Workers? Legal Challenges in Work Activities Managed by Objectivesand Without Scheduled Working Hours,Università degli studi di BARI ALDO MORO,210599
2022HWPWB,Effectiveness and integration of the policies and measures for administrativeprevention of illegality and corruption,Università degli studi di PERUGIA,261.1865563380282
2022JA2TLT,Whither Sovereignty? Italy and Pan-European Perspectives,Università TelematicaUNITELMA SAPIENZA,227273
2022JCMHFS,Normative artifacts and normative drawings: investigating non-linguisticregulation (NAND),Università degli studi di CAGLIARI,239598
2022JMWY5,UNIversal design for education: legal perspective for a new conception of inTErcultural education.ACRONYM: UNITE,Università degli studi di PAVIA,261.1865563380282
2022JNR27Z,ReFuture - The Return of the Future: democracy and political planning in the ageof CoVID-19 and climate change,Scuola Normale Superioredi PISA,225.0
2022JPHWP9,UNVEIL (UNderstanding Vulnerability to Expand Insight on Local units),Università degli studi di PERUGIA,212423
2022K4HBFA,Clinical trial data between privatization of knowledge and Open Science(acronym: CLIPKOs),Università degli studi di TRENTO,274399
2022K52ES9,Advancing Accountability for International Crimes through Universal Jurisdiction: Challenges for the European Union and its Members States and Proposals for Action (UNIJUR),Università degli studiMediterranea di  REGGIOCALABRIA,207024
2022KAEWYF,Children as vulnerable Users of the loT and AIl-based technologies: a multi-leveland inteRdisciplinary Assessment(cURA),Scuola Superiore di  studiUniversitari ePerfezionamento Sant'Anna,239912
2022KFLF3E,"EquAl: Equitable Algorithms, Promoting Fairness and Countering AlgorithmicDiscrimination Through Norms and Technologies.",Università degli studi di BOLOGNA,242691
2022KLAJ4P,Artificial Administrative Intelligence for territorial equality.Operative Research over the Public Interest and the Protection of Persons in the face of theevolutions of the Digital Era.,Università degli studi G.d'Annunzio CHIETI-PESCARA,293.11400000000003
2022KLW4CM,"About the History of the Praetors Edict. Palingenetic Profiles, JuristsCommentaries and the Construction of the Roman Private Law.",Università degli studi di PAVIA,344291
2022KTMSWB,"Governing by numbers.The impact of indicators on the constitutional system: rules, rights, public policies and judicialreview",Università degli studi di BOLOGNA,234828
2022KTTSBC,"Digital Sovereignty in Comparative Perspective: State Authority, Corporate Powerand Fundamental Rights in Cyberspace",Università degli studi di SALERNO,265823
2022L5ENR4,Governing the Just Transition: Eco-social Politics and Policies in the EU,Università degli studi di PADOVA,245378
2022L799SN,ARTIFICIAL INTELLIGENCE-BASED EARLY WARNING TOOLS (AI-EWT),Università degli studi della Campania Luigi Vanvitelli,263.31
2022LEBME7,Social Cohesion and International Law,Università degli studi di ROMA La Sapienza,281375
2022LJTTBP,"DIMEast - DIVERSITY AND IMPACTs OF MIGRATION AT THE EUS EASTERNBORDERS. Territorial Cohesion, Solidarity and Security as Global Challenges in the WesternBalkans, the Eastern Partnership and the Russian Federation",Università degli studi di BOLOGNA,212415
2022LP29MM,The discipline of security measures: the definitive overcoming of the judicialpsychiatric hospitals (OPG) and the crisis of the dual track system.,Università degli studi di SALERNO,128586
2022LRL2C2,Smart Legal Order in,Università degli studi di BOLOGNA,261138
2022LSRL82,The dark side of algorithms under the comparative lens: automated administrativedecisions between efficiency and due process,Università degli studi di Napoli Federico II,316141
2022M54KCK,A review of personal security measures: interdisciplinary and shared proposals for the rethinking of the healthcare/control binomial,Università degli studi di TORINO,222247
2022M7LMS8,Italy-China 2030: meeting the “upgrading China knowledge in Europe challenge.An assessment of critical isue-areas in sino-ltalian relations and of the strategic capacity gap forresponsible engagement,Università degli studi di TORINO,323232
2022M8EASR,"THE NEW HEALTHCARE BETWEEN TERRITORIALITY, DOMICILIARITY ANDTELEMEDICINE",Università degli studi di PERUGIA,311.4
2022MBZKNT,"Participation, inclusion and the rule of law: for a supportive and participatoryvision of constitutional democracy",Università degli Studi di MILANO,276098
2022MK9Z5,COUNTERCONS - Countering Conspiracy Beliefs: The Role of PrebunkingStrategies,Università degli studi di SIENA,261.1865563380282
2022MNTY4Y,International protection of human dignity through criminal law: strengthening Italys implementation record (DignITA).,Università degli studi di FERRARA,305651
2022MYEW4J,"Health Emergencies and Legal Preparedness - HELP: Global, Regional and",Scuola Superiore di  studiUniversitari ePerfezionamento Sant'Anna,237.0
2022MSCEEA,For a thematic Atlas of the Justinian Code,Università degli studi di CAGLIARI,233.76
2022NBR87C,UPP_the impact of Ufficio del processo (UPP) on Legal Culture and JudicialOrganization,Università degli studi di TORINO,251662
2022NKEY7J,Legal Pathways for Refugees in the Euro-Mediterranean Context: The Feasibility ofProcessing Asylum Claims outside the EU,Università degli studi della TUSCIA,264.6
2022NKLAFW,"Securitizing Human Transit across the Central Mediterranean migratory corridor:shifting mobility governance discourses and practices in Italy, Malta, Libya, and Niger (SHUT-MED)",Università degli studi di MESSINA,224798
2022NKR59X,Parliaments fate beyond the Covid-19 emergency,Università degli Studi di Napoli Federico II,327.12
2022P23BRW,The Impact of the Common Constitutional Traditions of EU Member States on the Process of Europeanisation of Tax Law,Università degli studi di SALERNO,283672
2022P3Y2H2,Crisis and Europe: Between Law and Political Economy (An InterdisciplinaryProject),Università degli studi di ROMA La Sapienza,207.5
2022PA7X4K,"Attractiveness of the historic villages and recovery of the building heritage forresidential and tourist purposes, between ownership and consumption.",Università degli studi di BOLOGNA,265407
2022PLENEZ,"2022PLENEZ -Casuistry and rule-based approach in criminal law. Historical perspectives,current developments.",Università degli studi di FERRARA,231608
2022PM25BP,Proof and Informatic Process - PEPI,Università degli studi di Napoli Federico II,211188
2022PMJ5LN,Religion and emergency rules,Università di  PISA,304618
2022PPLTLJ,"Shifting Paradigms: Biodiversity Law, Ecological Primacy and the Redefinition ofSustainability in the European Green Deal",Scuola Superiore di  studiUniversitari ePerfezionamento Sant'Anna,273.9
2022R739JM,The regulatory will,Università degli Studi ROMATRE,276.23
2022R7SS2F,Politics under commission. How special procedures change democracy,Università della  CALABRIA,244851
2022RCSPF3,DIGITRANS-PAR: Drivers and impact of digital transformation of the Italian PA atthe regional level,Scuola Superiore di  StudiUniversitari ePerfezionamento Sant'Anna,230474
2022RL5SSN,"Hierarchy and market in the transformations of the global, digital and roboticenterprise. Metamorphosis of the powers of the employer and workers rights.",Università degli studi ROMATRE,300844
2022RNMA92,Thiresia - hierarchical clustering and abstracts making of case law decisions,Università degli studi di ROMA La Sapienza,243277
2022RPL53N,Demographic and legal changes. Towards an elder law,Università degli studi di BARI ALDO MORO,262484
2022RSZW83,"Climate change, violent conficts and welfare: A multi-scale investigation of causalpathways in different institutional contexts (cCLIMATE-CONFLICTs)",Università Cattolica delSacro Cuore,292063
2022S532MK,CoPE Project (Consumer Protection Efectiveness) - Towards a Digital Effectiveness of Consumer Protection Through Self-Executing Remedies and ADR Systems: AnEmpirical Approach to European Private Law,Università Commerciale Luigi Bocconi MILANO,212.5
2022THANHJ,"Demania. Common properties and ancient demesnes in southern and central Italy. Legislation, case law and documentary sources from the subversion of feudalism (1806) to the Land Reform (1950): historical sources for trials under the new Law 168/2017.",Università degli studi di PADOVA,292406
2022TJMHW2,"Contentious politics in pandemic times. Analysing protests in Italy, 2020-2023",Scuola Normale Superioredi PISA,237.66
2022TL8TAE,"Legal, ethical and social challenges of the Forensic DNA Phenotyping in Italy(LetFor)",Università degli Studi di BOLOGNA,212466
2022TMFTHK,Testing contractual freedom in limited liability companies: An empirical investigation of crowdfunded and State-owned firms,Università degli studi di MILANO-BICOCCA,244229
2022TNRRT9,A Legal Framework and Feasibility Study for Open Access Biobanks,Università di  PISA,315884
2022TSYM3T,Incentivizing water eficiency in industrial energy production systems: legal andengineering profiles,Università degli studi di  MODENA e REGGIO EMILIA,245.86
2022W2Y8ES,"INsURtech and sustainABILITY. Towards sUStainable ChANges, in the use oftechnologY and in the role of information, in insurance",Scuola Superiore di  studiUniversitari ePerfezionamento Sant'Anna,249498
2022W8CT4J,"Liberal politics and nature. Democratic decisions about animals, plants andclimate change",Università degli studi di GENOVA,266816
2022WHM2RC,"The legislation on psychotropic substances, especiallysoft drugs: an interdisciplinary analysis from a criminal law, criminological, statistic and economic point of viewand reform perspectives.",Università degli studi di Napoli Federico II,209836
2022WMF8JW,Swinging Peripheries And Centers in Europe (SPAcE): Comparative LegalDimensions of Territory,Università degli studi di BOLOGNA,278.63
2022WTAKL4,"The metaphor of the South in the comparative perspective.A legal, sociological and economic attempt to explain regional asymmetries within countries andthe governmental attempts to reduce them",Università degli Studi uorOrsola Benincasa - NAPOLl,342788
2022X3ZFXF,ROOsEVELT IN BRUSsELS. A revival of activist government in post-pandemicEurope?,Università degli Sstudi di ROMA La Sapienza,262955
2022XL7HL2,Social parenthood: analysis of the phenomenon and the public order limits,Università degli studi di MODENA e REGGIO EMILIA,232432
2022XN3SCN,Italian PArties Digitalization - IPAD,Università degli studi di Napoli Federico II,253826
2022XRYZR5,Edu 4 Just,Università degli studi di BRESCIA,303862
2022Y7798S,"SPORTAGE - Sustainable Policies and Organization for a Revolutionary Transition:Accountability, Growth and Equality",Università degli studi di FIRENZE,242.25
2022YB89EH,"MEDICINE+Al, Law and Ethics for an Augmented and Human-Centered Medicine",Università degli studi di TRENTO,213023
2022YK45F9,"Exploring Resilience: Vulnerability, Social Security, Political Inclusion. Promoting a Sustainable Transition based on Local Practices and Governance.",Università degli studi di PALERMO,292299
2022YP7KH5,"ELDERlY PEOPLE,VULNERABILITY,INCLUSIVE SOCIETY. AGEING AND LAW",Università degli studi di PERUGIA,330.00800000000004
2022YPWF3H,Towards a sustainable agrifood system: legal tools for the development ofEuropean agrifood supply chain,Università degli Studi di BARIALDO MORO,285888
2022YXYK8F,LABFIN-Labour policies trough sustainable finance,Università degli studi di TRENTO,226616
2022YXTHZF,Proportionating rules on bank crisis prevention and management to the case ofretail banks: an analysis on the European and national legal framework (Pro.Re.Ba.),Università Ca' FoscariVENEZIA,297.02
2022Z4BRES,The Enforcement of ESG Principles in a Transnational Dimension: a EU and PrivateInternational Law Perspective,Università degli studi di MILANO,251764
2022ZFZKXJ,U.d.r. - University dispute resolution,Università degli Studi di BOLOGNA,284.04200000000003
2022ZJL8SA,"Designing Recovery in Italy between Voices and Expertise - DRIVE - Policy instruments, organised interests, analytical capacities and public opinion in the Italian NRRP",Università degli Studi di TORINO,303.03
2022ZPA2N4,Looking for Legislative Intent in Judicial Reasoning: An Empirical Account,Università Commerciale Luigi Bocconi' MILANO,223993
2022ZT5S7A,"DEmocracy, sustainability and WEllbeing in Times of EmergencY (D.E.W.E.Y.).Reframing political concepts and institutions.",Università degli studi di MILANO-BICOCCA,266022
2022ZYZ244,LET IN Law. Liberal Arts and Digital Arts: Towards Inclusive Education and Trainingin Law,Università degli studi di Napoli Federico II,270493
2022C88ZN5,"Cybersecurity strategy, legal framework and social impact. International andEuropean perspectives",Università degli Studi di Napoli Federico II,218415
2022C9STX2,Toward a more reliable scientific evidence by means of forensic metrology. A novelapproach against miscarriage of justice,Università degli Studi di TRENTO,264.83
2022CB3H93,Reform perspectives of the judiciary: impact on the efficiency of the judicialsystem,Università degli studi di MILANO,301166
2022CTSPHJ,"Lobbies and democracy. How the regulation (or lack of regulation) of groups of interests affects the implementation of social, cultural, environmental and digital rights. Anevidence-basis analysis of comparative law.",Università TelematicaUNITELMA SAPIENZA,265353
2022CWNCH8,"New technologies, biometric data and criminal proceedings",Università degli studi di MACERATA,252306
2022CZ7CLC,Enforcing the EPPO in Italy: An empirical study,Università degli studi di BOLOGNA,214618
2022K8L9X,Conflict management and resolution in the wider Mediterranean: comparingpractices between Western and non-Western actors,Università degli studi di NAPOLIL'Orientale,261.1865563380282
2022S8PLB5,"Private autonomy in the European estate planning: Civil, Business andComparative Law features of inheritance planning tools, and a reform proposal for ItalianSuccession Law.",Università degli studi di MILANO-BICOCCA,272473
2022SJ3SBT,The moving boundaries of the separation of powers in 21st century,Università degli Studi ROMATRE,300929
2022SL3RRM,Tackling social-and green-washing: is the current EU regulatory frameworkenough?,Università degli studi di GENOVA,287983
2022SMSAYX,NetWork - Business networks and employment support,Università degli studi di ROMA La Sapienza,192558
2022X2P5S2,Fairness and Transparency in Online Commercial Speech: From Pragmatic Analysis,Università degli studi di GENOVA,243701
2022XYHPTC,Gendering international legal response to chronic emergencies (GenREm),Università Ca' FoscariVENEZIA,289.23800000000006
2022Z7NS3L,2FAcEDemocracy: Transparency and secrecy in the history of political ideas in themodern and contemporary age,Università degli studi di Napoli Federico II,340952
2022ZC8HNA,Criminal proceedings and the protection of third parties: old and new challengesin the digital era,Università degli studi di MESSINA,321606
202227YF9Z,Promoting Teachers Health through an Interactive Web Portal,Università Cattolica delSacro Cuore,201.67200000000005
2022287PHF,FROB - Family of ROBots for children with disabilities,Università degli studi di BERGAMO,255732
20222RZYJ5,TArgeting Bullying and probullying behaviors using Virtual Reality: indicated actionswithin a multi-tiered approachTAB - VR,Università degli studi di FIRENZE,225128
20223AXXN5,START Surfing Transition to Adulthood: Resources and Timing,Università degli studi di MILANO,223625
20223F9SRE,Learning math in prison: educational design in context of multi-complexity,Università degli Studi di PAVIA,211572
20223JY7NS,National survey on guidance in school. Research-training for the experimentationof a training orientation model and the development of an online community.,Università degli Studi ROMATRE,331755
202243X77E,"Migrants, Institutions, TranslationsEasy-read Law",Università del SALENTO,251734
20224984HS,Pathways for Transversal Competencies and Orientation (PCTO) as a device fordeveloping personal resources and contrasting scholastic dispersion. Tools of analysis and paths of research training in upper secondary school,Università degli studi di ROMA La Sapienza,228457
20224WRLFE,"Educational poverty, cultural disadvantage and social inclusion inside and outside the school. Teachers professional development Research in the post-Covid era",Università degli studi di BOLOGNA,257819
202255J32W,"For a Multivocal History of the Attitudes Towards Non-human Animals in SouthAsia. Ethics, Practices, Symbolism. Investigating New and Unsolved Issues.",Università degli studi di MILANO,256172
20225JPCTL,From high school to university: Assessing peers influence in educational inequalities and performances,Università degli studi di CAGLIARI,239651
20225R7XB3,Preventing Premature Family Maladjustment: an e-Health InterdisciplinaryResearch (e-ParWelB),Università degli studi di MILANO-BICOCCA,223693
20225YEWAB,"Covid-19 as Cultural Trauma. Transformations in Social Solidarity, in Italian PublicOpinion and Public Sphere, following the pandemic",Università degli studi di SALERNO,234738
202272BY39,Gender bias in language: Testing INClusive ITalian language feasibility and impact,Università degli studi di MILANO-BICOCCA,225178
202272TYME,Public policies and collective representation for creative work (CREW),Università degli studi di MILANO,223778
20227BCP93,FEEL GOOD! SOCIAL ROBOT-MEDIATED VIDEO MODELING INTERVENTION TO FACILITATE COMMUNICATION BETWEEN HEALTHCARE PROFESSIONAL AND PATIENT WITHAUTISM SPECTRUM DISORDER,Università degli studidell'AQUILA,264236
20227ZCTKZ,THROUGH THE CITYCo-design of immersive serious games for urban and periurban landscape education and interpretation in formal and informal contexts.,Università degli studi di GENOVA,237633
20228J9LTM,MORality and SciencE communication (MORSE): Social psychological factorsmaking people trust science and scientists,Università degli studi di MILANO-BICOCCA,202.5
20228L2432,Police and social change: the challenges of gender and ethnicity in contemporaryItaly,Università degli studi di BOLOGNA,240218
20228R992T,"Islam and Muslims in Italy: Actors, Social Space and Relations between ReligiousCommunities and the State",Università degli studi di PADOVA,309936
20228W9NE7,Caring for Children with an Immigrant Background: A Cross-Sequential Longitudinal Study on Kindness Pillars and the Role of Dispositional and Contextual Factors inEarly Childhood,Università degli studi di ROMA La Sapienza,220.1
20228YKXAB,"TASKs (Trust, Authority, Sense and Knowledge)",Università degli studi di MILANO,272027
202295MWTJ,Religion in Public: Forms and Dynamics of Religious Publicization in Italy(Acronym: RE-PUBLIC),Università degli studi di MILANO,233134
202297CKET,ALGOLIT: Understanding and boosting algorithmic literacy,Università degli Studi di TRENTO,197997
20229P5J3H,From netizens to metazens: Exploring narratives of virtual worlds and civicengagement in the Metaverse.,Università degli studi di SIENA,271.04200000000003
20229PZXAF,Global Civic Education. Transforming global citizenship education into practicethrough civic education (GloCivEd),Università degli studi di BOLOGNA,277868
20229RL8Z9,Voluntering across Crises: a comparative and longitudinal analysis of social innovation potential VolACRoss,Università degli Studi di MILANO,224724
20229TM9ZJ,Evidence 4 Preventing Early school Dropout (E4PED),Università degli studi di CAGLIARI,260.03
2022AJZTLS,CON.CA - Controlling or Caring? Theories and practices of (neo)institutionalization,Università degli Studi di TORINO,215668
2022AWATR2,E-Hand. Empowering middle childhood Handwriting,Università degli Sstudi di MACERATA,241.12
2022B4S7S8,Framing visual politics in the platform society: the case of the Italian electoralcampaign.,Università degli Studi ROMATRE,229318
2022B58JHF,Social capital as resource of care practice in Italy: Caregiving and social support inpandemic time,Università Cattolica delSacro Cuore,285635
2022BAHBX4,Explicit and mplicit Investigation of LGBTQ Conspiracy Beliefs from an Intergroupand Intragroup Perspective,Università degli studi di VERONA,211767
2022BJLN99,ALMADIA: Active Labour Market Policies and Street-Level Bureaucracy: Discretionin Action,Università degli studi di BOLOGNA,240654
2022BXT34T,The Psychology of Gender Inequality: Processes Underlying the Status Quo andActions for Social Change.,Università degli studi di BOLOGNA,235406
2022BYS4N5,"INWARD. IN-Work poverty, consumption And Regional Disparities in Italy",Università degli studi di TORINO,246265
2022BCEY22,Coping with multiple crises: Youth between individualization and cooperation inMilan and Naples,Università degli studi di MILANO,219162
2022C7PR32,PLACES - PORTRAITs AND LANDSCAPES OF ACADEMIC COMMUNITYENGAGEMENT SCHOLARSHIP,Università degli studi di SASSARI,250904
2022E2RB3H,"Usurious activity, patrimonialisation and recycling of profits. Distorting effects inthe economic and social context in the medium and long term.",Università degli studi delMOLISE,344611
2022E4C3YK,Labour in transition: job-skills development and firm innovation competencies,Università degli Studi di PADOVA,233762
2022E9MLS5,To Be Present: parental phubbing implications on childrens lives. How canparents smartphone overuse decrease? An awareness-raising project on the risks of phubbingand on the importance of reciprocity in parental relations.,Università degli studi di CAGLIARI,217108
2022E9YKYZ,Deviant behaviors and violence in young people after CovID-19: sign of the timesor consequence of the pandemic?,Università degli Sstudi di SIENA,306387
2022EL4MPH,Working for INclusion. The well-being of sexual minority people: Neurophysiological and Behavioral mechanisms (WiN-NB),Università degli studi di ROMA La Sapienza,244962
2022EP5M3B,ECHOES - Epistemic Communities in Healthcare and prOfessional ExpertiSe. The case of early home care network during COVID pandemic in Italy,Università degli studi di BERGAMO,184842
2022EYX28N,Big Sistah — Quantifying the wellbeing of multilingual remote workers in real-time,Università degli studi di BOLOGNA,286102
2022F2TWKY,TRAMIGRART From “places of violence to spaces of memory: the role ofartistic practices in the inscription of forced migration as cultural trauma in the public discourse,Università degli studi ROMATRE,232877
2022F3KA2N,School needs and service delivery models in school psychology. A mixed methodsstudy.,Università degli studi di BOLOGNA,230618
2022F5EZ43,D.A.N.T.E.-U. Design Accessibiity Network to Enjoy University.Design and Implementation of UDL-based university teachers Training online Platform,Università del SALENTO,244.62
2022F74XBL,Active Online Assessment in Higher Education (AcOnHE),Università Telematica E-CAMPUS,313.43
2022H2CFLZ,Datafication and Citizenship: the case of Public Administrations in Italy,Università degli studi di Napoli Federico II,292894
2022H4RAYW,Social representations of cyber-violence against women and girls: advancingknowledge on an under-conceptualized issue,Università degli studi di BOLOGNA,253704
2022HH4XNP,Aloud! Reading aloud to stop the decline of reading literacy in the secondaryschools (middle school).Subtitle: Read aloud to prevent early school leaving and promote equity of learningopportunities. A contribution from educational research to the rebirth and resilience of thecountry.,Università degli studi di PERUGIA,263.25
2022HKAC59,The school as a democratic learning environment: promoting a whole-schoolapproach to civic and citizenship education in the first cycle of instruction,Università degli Studi di BOLOGNA,285014
2022HMCJPH,Family Caregivers and Alzheimer: Promoting Engagement and Community Care inthe Post-Pandemic Society,Università degli studi di BOLOGNA,227.36
2022HN5FZ,Fostering the Right to Equality in Education (FREE): Mental health and academicachievement among LGBTQl+ university students,Università degli studi ROMATRE,246.48230357142853
2022HRFH2C,"Teen-agers and sustainable food (TAsF): how teen-agers conceive, practice andenact sustainable food consumption in the Italian context.",Università degli studi di MILANO-BICOCCA,229461
2022HX2LZ,"REady, SeT, wOrk (RESTO): promoting graduates employability andentrepreneurial skills",Università degli studi della Campania Luigi Vanvitelli,246.48230357142853
2022HXLH47,"STEMMA - Science, Technology, Engineering and Math Motivation & Accessibility",Università degli studi di ROMA La Sapienza,252072
2022HZ4N3H,Fandom democracy? Celebrity and new forms of citizens engagement,Università degli studi di BERGAMO,250417
2022J3CXWT,An online community of relationship-centred university educational innovation,Università degli studi di MILANO,215538
2022J9FXZM,FORWOMEN- FOsteRing WOMens necessity ENtrepreneurship,Università Cattolica delSacro Cuore,254808
2022JF3LC5,"Attributions, Perceptions, and Practices of Political Incivility in Europe (APP_PIE)",Università degli studi di ROMA La Sapienza,267.92
2022JCFTXW,"(Citizen) Engagement for climate change and environmental sustainability: (howdoes it work/change) online, offline or onsite? (E-CLIc)",Università degli Studi di BOLOGNA,243383
2022K479M8,Severe forms of labour exploitation in shipbuilding and tourism industry,Università degli studi di PADOVA,221409
2022K7JAMP,DYNOSOR: DYnamics of SOcial NOrms under collective Risk,Università degli studi di BOLOGNA,222183
2022K7YFCN,"Forgetfulness, between rights, duties and technological possibilities",Università degli studi di BOLOGNA,291.2
2022K8NPZR,"Active Labor Policies, North-South Gaps and Crisis Areas. New Programmes forTerritorial Development, Transitions and the Labor Market: the Role of Public Actors and theSocial Partners",Università degli studi di CATANIA,202485
2022K9RP5Y,Social and Spatial Inequalities Under Pressure (So Spln UP).Individual Life Courses in context during the Covid-19 Pandemic.,Università degli studi di MILANO-BICOCCA,202268
2022KRTPZP,"Profiling traditional, episodic, and online volunteering: pathways from civicengagement to local collaborative networks",Università degli studi di Napoli Federico II,235058
2022LB3WKL,"Water management and environmental change in Central Asia: politics, societyand transnational connections (1948-2020s)",Università degli studi di PADOVA,230441
2022LF9LAS,Developing inclusive societies: The role of valence and intensity of offine andonline interethnic contact,Università degli studi di BOLOGNA,227874
2022LRH5XY,"Digital practices, Gender, and Intimacy in Teens everyday life. (Di.G.1.T.)",Università degli studi di PADOVA,294124
2022LTZXNA,Reconsidering Graduate Employability: Educational Pathways for Transitions toWork,Università degli Studi di FIRENZE,222962
2022LWYSYL,Stem in Higher Education & Women INequalities SHE WINs,Università degli Studi di NAPOLI Parthenope,538542
2022M8R7CA,NAVIGATING RETURNS: West African Experiences of Difficult Homecoming(NADIHO),Università degli studi di MILANO-BICOCCA,199.15
2022MBPWH7,"Indoor and outdoor school environment impact on students cognition, affect,socialization, and well-being",Università degli studi di ROMA La Sapienza,298416
2022MCAA2T,Share_Div: Unveiling the social lives of shared housing between strangers in Italy,Università degli studi di TRENTO,241.35
2022MY3W9P,NUEcity: Mapping and Critically Assessing New Urban Economies in ThreeMetropolitan Areas,Università degli studi di BOLOGNA,233403
2022MSL3AY,Methods for the analysis of scientific collaboration networks,Università degli studi di TRIESTE,235.6
2022NEP5BC,Unraveling school segregation causes and effects towards an Italian urban model,Università degli studi di BOLOGNA,235728
2022NP4FNB,GeNoMa Violence.,Università degli studi di GENOVA,245326
2022NPTNEZ,URBAN GOVERNANCE OF RELIGIOUS DIVERSITY - GoVREL,Università degli studi di PADOVA,222648
2022PAXZ5J,Contrasting Violence against LGBTQl+ people: towards innovation of territorialpolicies,Università degli Studi di PALERMO,246351
2022PX2RAR,"Food MeaSure: Poverty, Vulnerable individuals and Sustainable Diets - Newperspectives on Official Statistical data",Università degli studi della TUSCIA,242798
2022RAYR4H,Young Carers in Italy. A study to design new social work practices and welfarepolicies.,Università Cattolica delSacro Cuore,283179
2022RLTNH3,Care and control of service users: organizational learning and professional practices of social workers in the first and second-level access to social services,Università degli studi di MILANO-BICOCCA,187131
2022RZ7PRM,SEVeso - Support Eco-Victims: strategies and tools for supporting rights andcompensation of environmental harms victims,Università degli studi di BOLOGNA,279.61
2022TWCJAS,Coming to terms not only with the pandemic.Mathematics learning loss in primary school: underlying factors and interventions,Università degli Studi di MILANO-BICOCCA,272.49
2022TCKFYE,Sociology of Taste. Knowledge and judgment in taste-professions,Università degli studi di TRENTO,261241
2022W2L3LT,"Maternal guilt: Measurement, correlates, and policy solutions in the Italiancontext (MatGuilt)",Università degli studi di MILANO,203.44
2022W3NC33,CHECK OUT - Cultural heritage and educating communities. Training competences and professionalism for a new urban welfare,Università degli studi di Napoli Federico II,250768
2022WB2S72,Giving Birth with Care. Conceptions of maternity and professional ethics inobstetrics and gynecology for the prevention of obstetric violence,Università del SALENTO,265475
2022WY5Z7P,SOCIAL WORK AND SUSTAINABLE LOCAL DEVELOPMENT IN ITALY: TOWARDSECOSOCIAL WORK? (ECOSOW),Università degli studi di TRENTO,299011
2022WYEW47,"MIsperceptions, information disorder and polarisation between MEdia andpolitical SYStems (MiMesys)",Università degli studi di MILANO,219.72
2022WC8J4,Fostering text comprehension as a Way to make learning and thinking visible,Università degli studi di  MODENA e REGGIO EMILIA,246.48230357142853
2022X44WX4,Human connections in the Digital Era (CONNECT),Università degli studi di MILANO-BICOCCA,219363
2022XFX3EN,"Di.Co.EACH. - Digital competence in Early Childhood: educating parents andteachers in conscious, critical and creative uses of digital media",Università degli studi di FIRENZE,206562
2022XLC85S,CITYBLE - Developing Two-Sided Citizen Analytics for the Sustainable DigitalSociety,Università degli studi di FERRARA,267359
2022XSS48C,Attitudes towards End-of-Life ISsues in Italy: the ELISI project,Università degli studi di BOLOGNA,192017
2022YRJ83A,Feedback culture: assessing the effects of algorithmic recommendations onplatformized consumption - ALGOFEED,Università degli Studi di MILANO,211378
2022YXHTK4,"Local regimes of poverty: A systematic comparison of poverty determinants inMilan, Rome and Naples.",Università degli studi di MILANO-BICOCCA,231228
2022Z2T23H,Migrant Digital Work (MiDi Work),Università degli studi di MESSINA,200398
2022Z2Y4EC,ADELANTE - Adopting Digitally-Enhanced LAboratories in a Network of TEachers,Università degli Studi di ROMA La Sapienza,268823
2022Z78M8J,"The Digital Transition and the World of Work: Labour markets, Organizations, Jobquality and Industrial Relations",Università degli studi di BARI ALDO MORO,246248
