progetto,istituzione,finanziamento,sito web
Nea_Via – Neapolitan Villa. Antiquities and Nature between Renaissance and Baroque,Università degli Studi L'Orientale di Napoli,218053,https://neavia.it
Memory and the Mezzogiorno (MeMo). A literary map from 1945 to the present,Università Federico II di Napoli,231000,https://www.disum.unict.it/it/content/memory-and-mezzogiorno-memo-literary-map-1945-present-memoria-e-mezzogiorno-memo-una-mappa
Petrarchan Italian Manuscripts. A complete census,Università di Siena,230456,https://studiumanistici.uniroma3.it/ricerca/progetti-di-ricerca/pim-petrarchan-italian-manuscripts-a-complete-census/
MAP FORT - Mapping fortified cities in early modern Southern Italy. Digital tools to investigate architectural heritage,Università Federico II di Napoli,230760,https://riunet.upv.es/server/api/core/bitstreams/b457ff4e-345d-4b29-8f2a-4bbe873fac91/content
MIReSIta. Material and Immaterial Resources in Southern Italy (1250-1550): a realities’ digital repertoire ,Università Federico II di Napoli,230274,
MetaMic. Digital cultural heritage: a participatory metaverse of the unbuilt architectures of Michelangelo Buonarroti,Università di Camerino,230909,https://metamic.it
SoPHiA. Space of Philosophic Heritage in Archive,ISPF-CNR – Napoli,222197,
Literature of Socialist Trauma (LOST): Mapping and Researching the Lost Page of European Literature,Università di Palermo,230683,https://www.unipa.it/dipartimenti/scienzeumanistiche/progetti/lost/
Straniere: the reception of non-European arts and cultures in Italy,Università per stranieri di Siena,231000,https://www.unistrasi.it/1/487/8370/STRANIERE_-_The_reception_of_non-European_arts_and_cultures_in_Italy_(1945-2000).htm
Telling the Territory. The documentary production of local television broadcasters in Calabria and Apulia (1974-2004) ,Università della Calabria – Cosenza,222761,https://www.lacnews24.it/attualita/le-immagini-ritrovate-allunical-un-progetto-che-riscopre-gli-archivi-dimenticati-delle-tv-calabresi-s0nazv5u
DigitHuman. Digital Transition and Human Values,Università del Salento – Lecce,230900,https://sites.google.com/view/digithumanprin
Darkscape Experience,Università Tor Vergata di Roma,217793,
"SAFE – the SustainAbility of italian Film hEritage: Archival Infrastructures, Digital Preservation, Stewardship Strategies",Università di Udine,229685,https://safe-project.uniud.it
BYZANTINE CULTURAL ROUTES between tangible and intangible,Università Mediterranea di Reggio Calabria,228113,https://www.livingcamera.it/portfolio/byzantine-routes-from-byzantine-roots-to-cultural-routes/
KNOW.it. Transition in Digital Age: KNOWing our background to refine our future,Università di Bologna,230995,https://da.unibo.it/it/ricerca/progetti-di-ricerca/progetti-in-ambito-nazionale/know-it-1
"Active archives and contemporary media: repatriation, participation, valorization of sound heritage and community memories",Università di Firenze,227964,https://www.actarproject.org
"A digital scholarly edition of the Leges Langobardorum: social memory, historical legacy and valorisation of cultural heritage",Università Ca' Foscari Venezia,189680,https://iris.unito.it/retrieve/handle/2318/2105992/1963278/Buzzoni-RDT_Il%20progetto%20Leges%20Langobardorum:%20verso%20un%BFedizione%20digitale%20integrata%20dei%20testi%20giuridici%20longobardi.pdf
Chrome- Churches of Rome: Atlas of the Chapels of the Capitoline Nobility (1347-1600),Università Roma Tre – Roma,228963,https://studiumanistici.uniroma3.it/ricerca/progetti-di-ricerca/chrome-churches-of-rome-atlas-of-the-chapels-of-the-capitoline-nobility-1347-1600/
Fotografiste ,IMT Lucca,230846,https://www.fotografiste.com
"ECHOFRIENDLY: acoustemological models and ICT tools for soundscape preservation and ecoacoustic quality assessment of living, working and recreational environments",Università di Torino,230859,https://www.aduim.eu/progetto/echofriendly-acoustemological-models-and-ict-tools-for-soundscape-preservation-and-ecoacoustic-quality-assessment-of-living-working-and-recreational-environments/
MaximHum,Università di Pisa,230538,https://maximhum.fileli.unipi.it
"SeMaTA - Semantic Mapping Through Archives for the safeguard, valorization, dissemination and transmission of Cultural Heritage in Libya ",Università di Urbino,231000,https://www.uniurb.it/progetto-di-ricerca/949
The words of Peace and Pacifism. French Literature in the Inter-war period by exploiting Distributional Semantic Analysis,Università di Bari,230991,https://thewordsofpeacecom.wordpress.com
C.Re.Te. (Catalogue of Renaissance Terracotta Sculpture in North Italy),Università di Trento,228105,https://www.c-re-te.it
Aesthetics and Therapeia,Università La Sapienza di Roma,230668,https://dipfilosofia.web.uniroma1.it/it/sullidea-di-terapia-ambito-filosofico
"University collections of contemporary art: methodologies, digitization, and planning for university and territory. A first approach for a national network",Università di Cassino,206017,
"Theorizing the Passions: Paolo Mantegazza, his cultural network and 19th-century Italian Literature",Università Bicocca Milano,229097,https://www.aspi.unimib.it/it/progetti/theorizing-the-passions-paolo-mantegazza-his-cultural-network-and-19th-century-italian-literature
